LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1709252672.631977,2601191,43723,1,SA,1,100,0.000425
1709252673.164991,2601724,43922,1,SA,1,100,0.003312
1709252674.366022,2602925,43997,1,SA,1,100,0.000437
1709252679.298151,2607857,44807,1,SA,1,100,0.001805
1709252694.431546,2622990,47160,1,SA,1,100,0.000025
1709252795.090175,2723646,63420,1,SA,1,100,0.000937
1709252828.088037,2756643,3292,1,SA,1,100,0.005538
1709252829.421072,2757976,3361,1,SA,1,100,0.000651
1709252832.220145,2760775,3824,1,SA,1,100,0.000197
1709252833.287173,2761842,4066,1,SA,1,100,0.000563
1709252834.020192,2762575,4100,1,SA,1,100,0.000046
1709252834.353200,2762908,4172,1,SA,1,100,0.000148
1709252835.020218,2763575,4291,1,SA,1,100,0.000219
1709252841.619390,2770174,5486,1,SA,1,100,0.001771
1709252842.819422,2771374,5553,1,SA,1,100,0.000264
1709252843.086429,2771641,5628,1,SA,1,100,0.002198
1709252846.619521,2775174,6246,1,SA,1,100,0.002302
1709252847.419542,2775974,6301,1,SA,1,100,0.000499
1709252848.885580,2777440,6540,1,SA,1,100,0.000077
1709252849.152587,2777707,6609,1,SA,1,100,0.000749
1709252850.018610,2778573,6708,1,SA,1,100,0.000127
1709252850.218615,2778773,6762,1,SA,1,100,0.000227
1709252850.752629,2779307,6847,1,SA,1,100,0.000006
1709252851.085638,2779640,6914,1,SA,1,100,0.000150
1709252851.685653,2780240,6984,1,SA,1,100,0.000050
1709252851.885659,2780440,7034,1,SA,1,100,0.000178
