LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1709252672.431972,2600991.000,43655,1,SF,1,100,10.8207
1709252672.698978,2601258.000,43708,1,SF,1,100,10.6955
1709252673.031987,2601591.000,43758,1,SF,1,100,12.6540
1709252673.364996,2601924.000,43808,1,SF,1,100,12.5076
1709252673.699005,2602258.000,43857,1,SF,1,100,12.3629
1709252674.099015,2602658.000,43924,1,SF,1,100,14.3022
1709252674.432024,2602991.000,43978,1,SF,1,100,14.1367
1709252674.765033,2603324.000,44031,1,SF,1,100,16.0554
1709252675.099041,2603658.000,44080,1,SF,1,100,15.8697
1709252675.432050,2603991.000,44130,1,SF,1,100,15.6861
1709252675.699057,2604258.000,44179,1,SF,1,100,15.5047
1709252676.032066,2604591.000,44227,1,SF,1,100,15.3253
1709252676.432076,2604991.000,44292,1,SF,1,100,15.1480
1709252676.698083,2605257.000,44343,1,SF,1,100,14.9728
1709252677.032092,2605591.000,44391,1,SF,1,100,14.7996
1709252677.365100,2605924.000,44440,1,SF,1,100,14.6284
1709252677.698109,2606257.000,44490,1,SF,1,100,14.4592
1709252678.032118,2606591.000,44539,1,SF,1,100,14.2919
1709252678.432128,2606991.000,44604,1,SF,1,100,14.1266
1709252678.698135,2607257.000,44654,1,SF,1,100,13.9632
1709252679.031144,2607590.000,44703,1,SF,1,100,13.8016
1709252679.431154,2607990.000,44770,1,SF,1,100,13.6420
1709252679.698161,2608257.000,44809,1,SF,1,100,15.5664
1709252680.098172,2608657.000,44874,1,SF,1,100,15.3863
1709252680.431180,2608990.000,44922,1,SF,1,100,15.2083
1709252680.698187,2609257.000,44973,1,SF,1,100,15.0324
1709252681.031196,2609590.000,45023,1,SF,1,100,14.8585
1709252681.431206,2609990.000,45088,1,SF,1,100,14.6866
1709252681.698214,2610257.000,45137,1,SF,1,100,14.5167
1709252682.031222,2610590.000,45187,1,SF,1,100,14.3488
1709252682.364231,2610923.000,45236,1,SF,1,100,14.1828
1709252682.698240,2611257.000,45284,1,SF,1,100,14.0188
1709252683.098250,2611657.000,45349,1,SF,1,100,13.8566
1709252683.364257,2611923.000,45400,1,SF,1,100,13.6963
1709252683.698266,2612257.000,45448,1,SF,1,100,13.5379
1709252684.098276,2612657.000,45515,1,SF,1,100,13.3812
1709252684.431285,2612990.000,45566,1,SF,1,100,13.2264
1709252684.698292,2613257.000,45605,1,SF,1,100,13.0734
1709252685.098302,2613657.000,45673,1,SF,1,100,12.9222
1709252685.431311,2613990.000,45722,1,SF,1,100,12.7727
1709252685.697318,2614256.000,45771,1,SF,1,100,12.6250
1709252686.031327,2614590.000,45819,1,SF,1,100,12.4789
1709252686.364335,2614923.000,45870,1,SF,1,100,12.3346
1709252686.764346,2615323.000,45935,1,SF,1,100,12.1919
1709252687.031353,2615590.000,45983,1,SF,1,100,12.0508
1709252687.364362,2615923.000,46033,1,SF,1,100,11.9114
1709252687.764372,2616323.000,46098,1,SF,1,100,11.7736
1709252688.097381,2616656.000,46147,1,SF,1,100,11.6374
1709252688.364388,2616923.000,46196,1,SF,1,100,11.5028
1709252688.830400,2617389.000,46231,1,SF,1,100,11.3698
1709252689.097407,2617656.000,46265,1,SF,1,100,11.2382
1709252689.430415,2617989.000,46316,1,SF,1,100,11.1082
1709252689.764424,2618323.000,46370,1,SF,1,100,10.9797
1709252690.030431,2618589.000,46403,1,SF,1,100,10.8527
1709252690.430442,2618989.000,46468,1,SF,1,100,10.7272
1709252690.697448,2619256.000,46518,1,SF,1,100,10.6031
1709252691.030457,2619589.000,46567,1,SF,1,100,10.4804
1709252691.430468,2619989.000,46632,1,SF,1,100,10.3592
1709252691.697475,2620256.000,46680,1,SF,1,100,10.2393
1709252692.030483,2620589.000,46730,1,SF,1,100,10.1209
1709252692.363492,2620922.000,46781,1,SF,1,100,10.0038
1709252692.763503,2621322.000,46848,1,SF,1,100,9.8881
1709252693.030509,2621589.000,46897,1,SF,1,100,9.7737
1709252693.363518,2621922.000,46945,1,SF,1,100,9.6606
1709252693.697527,2622256.000,46996,1,SF,1,100,9.5489
1709252694.097537,2622656.000,47061,1,SF,1,100,9.4384
1709252694.363544,2622922.000,47109,1,SF,1,100,9.3292
1709252694.696553,2623255.000,47162,1,SF,1,100,11.3036
1709252695.030562,2623589.000,47201,1,SF,1,100,11.1728
