LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1709252672.631977,2601191,43724,1,SR,1,100,0.133333
1709252673.164991,2601724,43923,1,SR,1,100,0.800000
1709252674.366022,2602925,43998,1,SR,1,100,0.133333
1709252679.298151,2607857,44808,1,SR,1,100,0.333333
1709252694.431546,2622990,47161,1,SR,1,100,0.200000
1709252795.090175,2723646,63421,1,SR,1,100,0.533333
1709252828.088037,2756643,3293,1,SR,1,100,1.066667
1709252829.421072,2757976,3362,1,SR,1,100,0.133333
1709252832.220145,2760775,3825,1,SR,1,100,0.200000
1709252833.287173,2761842,4067,1,SR,1,100,0.600000
1709252834.020192,2762575,4101,1,SR,1,100,0.066667
1709252834.353200,2762908,4173,1,SR,1,100,0.133333
1709252835.020218,2763575,4292,1,SR,1,100,0.200000
1709252841.619390,2770174,5487,1,SR,1,100,0.933333
1709252842.819422,2771374,5554,1,SR,1,100,0.133333
1709252843.086429,2771641,5629,1,SR,1,100,0.333333
1709252846.619521,2775174,6247,1,SR,1,100,0.666667
1709252847.419542,2775974,6302,1,SR,1,100,0.133333
1709252848.885580,2777440,6541,1,SR,1,100,0.133333
1709252849.152587,2777707,6610,1,SR,1,100,0.333333
1709252850.018610,2778573,6709,1,SR,1,100,0.066667
1709252850.218615,2778773,6763,1,SR,1,100,0.133333
1709252850.752629,2779307,6848,1,SR,1,100,0.066667
1709252851.085638,2779640,6915,1,SR,1,100,0.200000
1709252851.685653,2780240,6985,1,SR,1,100,0.066667
1709252851.885659,2780440,7035,1,SR,1,100,0.133333
