LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1709252672.224966,2600784.000,43629,1,T1,1,100,37.068
1709252672.358970,2600918.000,43661,1,T1,1,100,37.242
1709252672.491973,2601051.000,43678,1,T1,1,100,37.140
1709252672.624977,2601184.000,43696,1,T1,1,100,37.132
1709252672.758980,2601318.000,43730,1,T1,1,100,37.092
1709252672.891984,2601451.000,43747,1,T1,1,100,37.040
1709252673.024987,2601584.000,43764,1,T1,1,100,37.088
1709252673.158991,2601718.000,43781,1,T1,1,100,37.215
1709252673.291994,2601851.000,43797,1,T1,1,100,37.200
1709252673.424998,2601984.000,43829,1,T1,1,100,37.122
1709252673.559001,2602118.000,43846,1,T1,1,100,37.159
1709252673.692004,2602251.000,43863,1,T1,1,100,37.140
1709252673.825008,2602384.000,43894,1,T1,1,100,37.060
1709252673.959011,2602518.000,43911,1,T1,1,100,37.203
1709252674.092015,2602651.000,43930,1,T1,1,100,37.230
1709252674.225018,2602784.000,43961,1,T1,1,100,37.135
1709252674.358522,2602917.500,43984,2,T1,1,100,37.023
1709252674.492025,2603051.000,43984,2,T1,1,100,37.045
1709252674.625029,2603184.000,44020,1,T1,1,100,37.055
1709252674.758032,2603317.000,44037,1,T1,1,100,37.024
1709252674.892036,2603451.000,44054,1,T1,1,100,37.188
1709252675.025039,2603584.000,44086,1,T1,1,100,37.152
1709252675.158043,2603717.000,44102,1,T1,1,100,37.137
1709252675.292046,2603851.000,44119,1,T1,1,100,37.201
1709252675.425050,2603984.000,44136,1,T1,1,100,37.158
1709252675.558053,2604117.000,44167,1,T1,1,100,37.246
1709252675.692057,2604251.000,44185,1,T1,1,100,37.354
1709252675.825060,2604384.000,44201,1,T1,1,100,37.224
1709252675.958064,2604517.000,44233,1,T1,1,100,37.239
1709252676.092067,2604651.000,44250,1,T1,1,100,37.210
1709252676.225070,2604784.000,44266,1,T1,1,100,37.126
1709252676.358074,2604917.000,44298,1,T1,1,100,37.232
1709252676.492078,2605051.000,44315,1,T1,1,100,37.278
1709252676.625081,2605184.000,44331,1,T1,1,100,37.262
