LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1709252672.239966,2600799.000,43630,1,TH,1,100,36.023
1709252672.373970,2600933.000,43662,1,TH,1,100,36.023
1709252672.506974,2601066.000,43679,1,TH,1,100,36.051
1709252672.639977,2601199.000,43697,1,TH,1,100,36.051
1709252672.773980,2601333.000,43731,1,TH,1,100,36.085
1709252672.906984,2601466.000,43748,1,TH,1,100,36.085
1709252673.039987,2601599.000,43765,1,TH,1,100,36.042
1709252673.173991,2601733.000,43782,1,TH,1,100,36.042
1709252673.306994,2601866.000,43814,1,TH,1,100,36.056
1709252673.439998,2601999.000,43830,1,TH,1,100,36.063
1709252673.574001,2602133.000,43847,1,TH,1,100,36.118
1709252673.707005,2602266.000,43864,1,TH,1,100,36.118
1709252673.840008,2602399.000,43895,1,TH,1,100,36.111
1709252673.973012,2602532.000,43912,1,TH,1,100,36.111
1709252674.107015,2602666.000,43931,1,TH,1,100,35.999
1709252674.240019,2602799.000,43962,1,TH,1,100,35.999
1709252674.373022,2602932.000,43985,1,TH,1,100,36.028
1709252674.507026,2603066.000,44004,1,TH,1,100,36.028
1709252674.640029,2603199.000,44021,1,TH,1,100,36.097
1709252674.773033,2603332.000,44038,1,TH,1,100,36.097
1709252674.907036,2603466.000,44055,1,TH,1,100,36.030
1709252675.040040,2603599.000,44087,1,TH,1,100,36.038
1709252675.173043,2603732.000,44103,1,TH,1,100,36.132
1709252675.307047,2603866.000,44120,1,TH,1,100,36.132
1709252675.440050,2603999.000,44137,1,TH,1,100,36.111
1709252675.573054,2604132.000,44168,1,TH,1,100,36.111
1709252675.707057,2604266.000,44186,1,TH,1,100,36.104
1709252675.840060,2604399.000,44202,1,TH,1,100,36.104
1709252675.973064,2604532.000,44234,1,TH,1,100,36.149
1709252676.107068,2604666.000,44251,1,TH,1,100,36.149
1709252676.240071,2604799.000,44267,1,TH,1,100,36.042
1709252676.373075,2604932.000,44299,1,TH,1,100,36.042
1709252676.506078,2605065.000,44316,1,TH,1,100,36.137
1709252676.640081,2605199.000,44332,1,TH,1,100,36.137
1709252676.773085,2605332.000,44364,1,TH,1,100,36.106
1709252676.906088,2605465.000,44381,1,TH,1,100,36.114
1709252677.040092,2605599.000,44398,1,TH,1,100,36.125
1709252677.173095,2605732.000,44429,1,TH,1,100,36.125
1709252677.306099,2605865.000,44447,1,TH,1,100,36.147
1709252677.440102,2605999.000,44463,1,TH,1,100,36.147
1709252677.573106,2606132.000,44480,1,TH,1,100,36.088
1709252677.706109,2606265.000,44497,1,TH,1,100,36.088
1709252677.840113,2606399.000,44528,1,TH,1,100,36.071
1709252677.973116,2606532.000,44546,1,TH,1,100,36.071
1709252678.106120,2606665.000,44562,1,TH,1,100,36.104
1709252678.240123,2606799.000,44579,1,TH,1,100,36.104
1709252678.373127,2606932.000,44611,1,TH,1,100,36.071
1709252678.506130,2607065.000,44627,1,TH,1,100,36.071
1709252678.640134,2607199.000,44644,1,TH,1,100,36.144
1709252678.773137,2607332.000,44676,1,TH,1,100,36.144
1709252678.906141,2607465.000,44692,1,TH,1,100,36.078
1709252679.040144,2607599.000,44710,1,TH,1,100,36.085
1709252679.173148,2607732.000,44741,1,TH,1,100,36.194
1709252679.306151,2607865.000,44757,1,TH,1,100,36.194
1709252679.440155,2607999.000,44777,1,TH,1,100,36.180
1709252679.573158,2608132.000,44796,1,TH,1,100,36.180
1709252679.706161,2608265.000,44816,1,TH,1,100,36.149
1709252679.840165,2608399.000,44847,1,TH,1,100,36.149
1709252679.973168,2608532.000,44863,1,TH,1,100,36.119
1709252680.106172,2608665.000,44881,1,TH,1,100,36.119
1709252680.239175,2608798.000,44897,1,TH,1,100,36.197
1709252680.373179,2608932.000,44929,1,TH,1,100,36.197
1709252680.506182,2609065.000,44946,1,TH,1,100,36.116
1709252680.639186,2609198.000,44962,1,TH,1,100,36.116
1709252680.773189,2609332.000,44994,1,TH,1,100,36.093
1709252680.906193,2609465.000,45013,1,TH,1,100,36.093
1709252681.039196,2609598.000,45030,1,TH,1,100,36.187
1709252681.173200,2609732.000,45061,1,TH,1,100,36.195
1709252681.306203,2609865.000,45078,1,TH,1,100,36.180
1709252681.439207,2609998.000,45095,1,TH,1,100,36.180
1709252681.573210,2610132.000,45126,1,TH,1,100,36.154
1709252681.706214,2610265.000,45144,1,TH,1,100,36.154
1709252681.839217,2610398.000,45160,1,TH,1,100,36.180
1709252681.973221,2610532.000,45177,1,TH,1,100,36.180
1709252682.106224,2610665.000,45209,1,TH,1,100,36.088
1709252682.239228,2610798.000,45225,1,TH,1,100,36.088
1709252682.373231,2610932.000,45243,1,TH,1,100,36.216
1709252682.506235,2611065.000,45274,1,TH,1,100,36.216
1709252682.639238,2611198.000,45291,1,TH,1,100,36.180
1709252682.773242,2611332.000,45308,1,TH,1,100,36.180
1709252682.906245,2611465.000,45324,1,TH,1,100,36.150
1709252683.039248,2611598.000,45356,1,TH,1,100,36.157
1709252683.173252,2611732.000,45373,1,TH,1,100,36.148
1709252683.306256,2611865.000,45389,1,TH,1,100,36.148
1709252683.439259,2611998.000,45421,1,TH,1,100,36.249
1709252683.573262,2612132.000,45438,1,TH,1,100,36.249
1709252683.706266,2612265.000,45455,1,TH,1,100,36.183
1709252683.839269,2612398.000,45486,1,TH,1,100,36.183
1709252683.972273,2612531.000,45503,1,TH,1,100,36.228
1709252684.106277,2612665.000,45522,1,TH,1,100,36.228
1709252684.239280,2612798.000,45539,1,TH,1,100,36.197
1709252684.372283,2612931.000,45573,1,TH,1,100,36.197
1709252684.506287,2613065.000,45589,1,TH,1,100,36.133
1709252684.639290,2613198.000,45612,1,TH,1,100,36.133
1709252684.772294,2613331.000,45628,1,TH,1,100,36.256
1709252684.906297,2613465.000,45647,1,TH,1,100,36.256
1709252685.039301,2613598.000,45679,1,TH,1,100,36.193
1709252685.172304,2613731.000,45695,1,TH,1,100,36.193
1709252685.306308,2613865.000,45712,1,TH,1,100,36.197
1709252685.439311,2613998.000,45729,1,TH,1,100,36.197
1709252685.572315,2614131.000,45760,1,TH,1,100,36.171
1709252685.706318,2614265.000,45778,1,TH,1,100,36.179
1709252685.839322,2614398.000,45794,1,TH,1,100,36.228
1709252685.972325,2614531.000,45826,1,TH,1,100,36.228
1709252686.106329,2614665.000,45843,1,TH,1,100,36.183
1709252686.239332,2614798.000,45859,1,TH,1,100,36.183
1709252686.372336,2614931.000,45877,1,TH,1,100,36.276
1709252686.506339,2615065.000,45908,1,TH,1,100,36.276
1709252686.639343,2615198.000,45924,1,TH,1,100,36.242
1709252686.772346,2615331.000,45942,1,TH,1,100,36.242
1709252686.905349,2615464.000,45973,1,TH,1,100,36.169
1709252687.039353,2615598.000,45990,1,TH,1,100,36.169
1709252687.172357,2615731.000,46007,1,TH,1,100,36.190
1709252687.306360,2615865.000,46039,1,TH,1,100,36.190
1709252687.439363,2615998.000,46055,1,TH,1,100,36.276
1709252687.572367,2616131.000,46072,1,TH,1,100,36.276
1709252687.706370,2616265.000,46104,1,TH,1,100,36.172
1709252687.839374,2616398.000,46120,1,TH,1,100,36.172
1709252687.972377,2616531.000,46137,1,TH,1,100,36.186
1709252688.105381,2616664.000,46154,1,TH,1,100,36.193
1709252688.239384,2616798.000,46185,1,TH,1,100,36.252
1709252688.372388,2616931.000,46203,1,TH,1,100,36.252
1709252688.505891,2617064.500,46220,2,TH,1,100,36.255
1709252688.639395,2617198.000,46220,2,TH,1,100,36.255
1709252688.772398,2617331.000,46238,1,TH,1,100,36.210
1709252688.905402,2617464.000,46254,1,TH,1,100,36.210
1709252689.039405,2617598.000,46271,1,TH,1,100,36.240
1709252689.172409,2617731.000,46287,1,TH,1,100,36.240
1709252689.305412,2617864.000,46304,1,TH,1,100,36.207
1709252689.438416,2617997.000,46323,1,TH,1,100,36.207
1709252689.572419,2618131.000,46354,1,TH,1,100,36.380
1709252689.705423,2618264.000,46377,1,TH,1,100,36.380
1709252689.838426,2618397.000,46392,1,TH,1,100,36.276
1709252689.972430,2618531.000,46410,1,TH,1,100,36.276
1709252690.105433,2618664.000,46426,1,TH,1,100,36.184
1709252690.238437,2618797.000,46443,1,TH,1,100,36.184
1709252690.372440,2618931.000,46475,1,TH,1,100,36.295
1709252690.505444,2619064.000,46491,1,TH,1,100,36.302
1709252690.638447,2619197.000,46508,1,TH,1,100,36.264
1709252690.772450,2619331.000,46540,1,TH,1,100,36.264
1709252690.905454,2619464.000,46556,1,TH,1,100,36.269
1709252691.039458,2619598.000,46574,1,TH,1,100,36.269
1709252691.172461,2619731.000,46605,1,TH,1,100,36.364
1709252691.305465,2619864.000,46621,1,TH,1,100,36.364
