LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1709252674.384022,2602943.000,43972,1,TL,1,100,2024-02-29_19-24-29-428561
1709252674.403023,2602962.000,43975,1,TL,1,100,2024-02-29_19-24-34-394523
1709252679.492156,2608051.000,44787,1,TL,1,100,2024-02-29_19-24-35-350328
1709252684.600289,2613159.000,45599,1,TL,1,100,2024-02-29_19-24-39-523384
1709252684.602289,2613161.000,45601,1,TL,1,100,2024-02-29_19-24-39-936659
1709252689.709423,2618268.000,46364,1,TL,1,100,2024-02-29_19-24-45-361217
1709252689.716423,2618275.000,46366,1,TL,1,100,2024-02-29_19-24-45-361311
1709252694.820556,2623379.000,47179,1,TL,1,100,2024-02-29_19-24-50-165746
1709252694.823556,2623382.000,47181,1,TL,1,100,2024-02-29_19-24-50-165844
1709252699.951690,2628510.000,48002,1,TL,1,100,2024-02-29_19-24-55-314750
1709252699.954690,2628513.000,48004,1,TL,1,100,2024-02-29_19-24-55-314827
1709252705.078824,2633637.000,48830,1,TL,1,100,2024-02-29_19-25-00-273143
1709252705.085824,2633644.000,48832,1,TL,1,100,2024-02-29_19-25-00-273271
1709252710.186958,2638745.000,49641,1,TL,1,100,2024-02-29_19-25-05-357001
1709252710.192958,2638751.000,49643,1,TL,1,100,2024-02-29_19-25-05-357076
1709252715.313092,2643871.000,50464,1,TL,1,100,2024-02-29_19-25-10-370212
1709252715.315092,2643873.000,50466,1,TL,1,100,2024-02-29_19-25-10-370290
1709252715.372093,2643930.000,50469,1,TL,1,100,2024-02-29_19-25-15-368554
1709252720.450226,2649008.000,51290,1,TL,1,100,2024-02-29_19-25-15-467714
1709252720.470226,2649028.000,51293,1,TL,1,100,2024-02-29_19-25-20-465412
1709252725.579360,2654137.000,52117,1,TL,1,100,2024-02-29_19-25-20-589786
1709252730.705493,2659263.000,52945,1,TL,1,100,2024-02-29_19-25-26-345067
1709252730.711494,2659269.000,52947,1,TL,1,100,2024-02-29_19-25-26-345154
1709252735.830627,2664388.000,53771,1,TL,1,100,2024-02-29_19-25-31-441372
1709252735.832627,2664390.000,53773,1,TL,1,100,2024-02-29_19-25-31-441463
1709252740.937761,2669495.000,54581,1,TL,1,100,2024-02-29_19-25-36-350706
1709252740.941761,2669499.000,54583,1,TL,1,100,2024-02-29_19-25-36-350795
1709252740.997762,2669555.000,54586,1,TL,1,100,2024-02-29_19-25-40-993598
1709252746.057894,2674615.000,55408,1,TL,1,100,2024-02-29_19-25-41-281782
1709252751.178028,2679735.000,56234,1,TL,1,100,2024-02-29_19-25-46-450262
1709252751.180028,2679737.000,56236,1,TL,1,100,2024-02-29_19-25-46-450346
1709252756.295162,2684852.000,57067,1,TL,1,100,2024-02-29_19-25-51-255782
1709252756.297162,2684854.000,57069,1,TL,1,100,2024-02-29_19-25-51-318925
1709252761.436296,2689993.000,57895,1,TL,1,100,2024-02-29_19-25-56-434518
1709252761.441296,2689998.000,57897,1,TL,1,100,2024-02-29_19-25-56-724870
1709252761.489297,2690046.000,57900,1,TL,1,100,2024-02-29_19-26-01-449764
1709252766.564430,2695121.000,58723,1,TL,1,100,2024-02-29_19-26-02-011467
1709252771.686564,2700243.000,59548,1,TL,1,100,2024-02-29_19-26-07-357455
1709252771.689564,2700246.000,59550,1,TL,1,100,2024-02-29_19-26-07-357546
1709252771.720565,2700277.000,59553,1,TL,1,100,2024-02-29_19-26-11-704113
1709252776.794697,2705351.000,60364,1,TL,1,100,2024-02-29_19-26-11-841408
1709252781.911831,2710468.000,61193,1,TL,1,100,2024-02-29_19-26-17-311460
1709252781.914831,2710471.000,61195,1,TL,1,100,2024-02-29_19-26-17-311534
1709252787.041965,2715598.000,62024,1,TL,1,100,2024-02-29_19-26-22-334217
1709252787.044965,2715601.000,62026,1,TL,1,100,2024-02-29_19-26-22-334310
1709252792.168099,2720724.000,62855,1,TL,1,100,2024-02-29_19-26-27-138576
1709252792.175099,2720731.000,62857,1,TL,1,100,2024-02-29_19-26-27-351540
1709252797.307233,2725863.000,63682,1,TL,1,100,2024-02-29_19-26-32-375853
1709252797.310233,2725866.000,63684,1,TL,1,100,2024-02-29_19-26-32-375935
1709252802.441367,2730997.000,64510,1,TL,1,100,2024-02-29_19-26-37-479881
1709252802.444367,2731000.000,64512,1,TL,1,100,2024-02-29_19-26-37-479970
1709252802.518369,2731074.000,64515,1,TL,1,100,2024-02-29_19-26-42-506360
1709252807.572501,2736128.000,65341,1,TL,1,100,2024-02-29_19-26-42-575824
1709252807.626503,2736182.000,65344,1,TL,1,100,2024-02-29_19-26-47-612272
1709252812.680634,2741236.000,623,1,TL,1,100,2024-02-29_19-26-47-761683
1709252817.804768,2746360.000,1453,1,TL,1,100,2024-02-29_19-26-53-091071
1709252817.811769,2746367.000,1455,1,TL,1,100,2024-02-29_19-26-53-091176
1709252822.912902,2751468.000,2268,1,TL,1,100,2024-02-29_19-26-57-971741
1709252822.917902,2751473.000,2270,1,TL,1,100,2024-02-29_19-26-57-971815
1709252828.056036,2756611.000,3104,1,TL,1,100,2024-02-29_19-27-03-399345
1709252828.058036,2756613.000,3106,1,TL,1,100,2024-02-29_19-27-03-399411
1709252833.198170,2761753.000,3943,1,TL,1,100,2024-02-29_19-27-08-297089
1709252833.201170,2761756.000,3945,1,TL,1,100,2024-02-29_19-27-08-297177
1709252833.218171,2761773.000,3948,1,TL,1,100,2024-02-29_19-27-13-210671
1709252838.306304,2766861.000,4791,1,TL,1,100,2024-02-29_19-27-13-296592
1709252843.422437,2771977.000,5621,1,TL,1,100,2024-02-29_19-27-18-425670
1709252843.430438,2771985.000,5623,1,TL,1,100,2024-02-29_19-27-18-452526
1709252843.456438,2772011.000,5626,1,TL,1,100,2024-02-29_19-27-23-445940
1709252848.530571,2777085.000,6450,1,TL,1,100,2024-02-29_19-27-23-522216
1709252848.621573,2777176.000,6453,1,TL,1,100,2024-02-29_19-27-28-604483
