RD,TS_received,TS_sent,AK,RoundTrip,
2602945,2602962,2024-02-29_19-24-34-394523,2602966,17,
2608053,2613159,2024-02-29_19-24-39-523384,2613160,5106,
2613166,2618268,2024-02-29_19-24-45-361217,2618273,5102,
2618277,2623379,2024-02-29_19-24-50-165746,2623381,5102,
2623384,2628510,2024-02-29_19-24-55-314750,2628512,5126,
2628516,2633637,2024-02-29_19-25-00-273143,2633639,5121,
2633646,2638745,2024-02-29_19-25-05-357001,2638750,5099,
2638753,2643871,2024-02-29_19-25-10-370212,2643872,5118,
2643875,2643930,2024-02-29_19-25-15-368554,2643931,55,
2649010,2649028,2024-02-29_19-25-20-465412,2649030,18,
2654139,2659263,2024-02-29_19-25-26-345067,2659268,5124,
2659271,2664388,2024-02-29_19-25-31-441372,2664389,5117,
2664397,2669495,2024-02-29_19-25-36-350706,2669496,5098,
2669501,2669555,2024-02-29_19-25-40-993598,2669560,54,
2674617,2679735,2024-02-29_19-25-46-450262,2679736,5118,
2679739,2684852,2024-02-29_19-25-51-255782,2684853,5113,
2684856,2689993,2024-02-29_19-25-56-434518,2689997,5137,
2690000,2690046,2024-02-29_19-26-01-449764,2690047,46,
2695123,2700243,2024-02-29_19-26-07-357455,2700244,5120,
2700251,2700277,2024-02-29_19-26-11-704113,2700279,26,
2705352,2710468,2024-02-29_19-26-17-311460,2710470,5116,
2710476,2715598,2024-02-29_19-26-22-334217,2715599,5122,
2715603,2720724,2024-02-29_19-26-27-138576,2720729,5121,
2720733,2725863,2024-02-29_19-26-32-375853,2725865,5130,
2725868,2730997,2024-02-29_19-26-37-479881,2730999,5129,
2731002,2731074,2024-02-29_19-26-42-506360,2731076,72,
2736130,2736182,2024-02-29_19-26-47-612272,2736184,52,
2741238,2746360,2024-02-29_19-26-53-091071,2746361,5122,
2746370,2751468,2024-02-29_19-26-57-971741,2751472,5098,
2751475,2756611,2024-02-29_19-27-03-399345,2756612,5136,
2756619,2761753,2024-02-29_19-27-08-297089,2761755,5134,
2761758,2761773,2024-02-29_19-27-13-210671,2761778,15,
2766863,2771977,2024-02-29_19-27-18-425670,2771979,5114,
2771989,2772011,2024-02-29_19-27-23-445940,2772016,22,
2777088,2777176,2024-02-29_19-27-28-604483,2777177,88,
