timestamps,TP9,AF7,AF8,TP10,Right AUX
1706146413.206,6.348,22.949,17.578,-52.734,-875.488
1706146413.210,29.785,34.668,52.734,164.062,1.953
1706146413.214,10.742,33.203,56.641,162.598,-967.285
1706146413.218,6.836,26.855,14.648,-61.035,119.629
1706146413.222,21.484,23.438,0.000,-116.699,-878.418
1706146413.226,34.180,30.762,40.039,96.191,-301.758
1706146413.230,15.625,38.574,58.594,197.266,953.125
1706146413.233,-8.789,27.832,22.461,-18.066,460.449
1706146413.237,-4.883,19.043,-0.977,-152.832,-702.637
1706146413.241,12.695,26.855,33.203,46.875,-563.965
1706146413.245,3.906,34.180,56.152,204.590,668.945
1706146413.249,-28.320,31.250,27.344,33.691,694.336
1706146413.252,-29.297,22.461,-2.930,-149.414,-453.125
1706146413.256,13.184,27.832,20.020,-11.230,-814.453
1706146413.260,48.828,36.133,51.270,191.406,250.000
1706146413.264,23.438,31.250,45.898,106.445,909.668
1706146413.268,-16.113,20.508,10.742,-107.910,-193.848
1706146413.272,16.602,18.066,11.719,-81.543,-859.863
1706146413.276,44.922,27.832,49.316,129.883,-20.020
1706146413.279,13.184,32.715,58.105,166.504,-982.422
1706146413.283,-25.879,20.996,20.020,-47.363,229.492
1706146413.287,-17.090,11.719,-0.977,-132.324,-819.336
1706146413.291,-4.395,20.508,38.086,81.543,-359.863
1706146413.295,-26.367,31.250,59.082,190.430,916.504
1706146413.296,-34.180,24.414,25.879,-20.996,525.391
1706146413.300,-13.672,11.719,0.000,-163.086,-658.203
1706146413.304,5.371,20.996,30.273,22.949,-606.445
1706146413.308,8.789,31.738,55.664,194.336,587.891
1706146413.312,-11.719,24.414,36.133,45.410,775.391
1706146413.316,-13.672,15.137,1.953,-145.508,-396.484
1706146413.320,13.184,16.602,14.160,-47.363,-877.441
1706146413.323,21.973,29.297,54.199,164.062,170.410
1706146413.327,0.000,33.691,53.223,125.977,-983.398
1706146413.331,-19.531,19.531,8.789,-97.656,-25.391
1706146413.335,-8.789,15.625,3.418,-107.422,-913.574
1706146413.339,-20.996,29.297,43.945,120.605,-164.062
1706146413.357,-33.691,33.203,59.082,178.223,-960.449
1706146413.361,-38.086,24.414,21.484,-48.340,356.445
1706146413.365,-29.297,18.555,-0.977,-139.160,-781.250
1706146413.369,1.465,24.414,34.668,66.895,-437.988
1706146413.373,9.277,33.203,57.617,193.359,843.750
1706146413.377,-15.625,23.438,20.508,-9.766,633.789
1706146413.381,-12.207,14.648,-11.719,-165.527,-557.129
1706146413.384,15.625,27.344,20.508,5.371,-716.797
1706146413.388,11.230,38.086,53.711,187.500,470.215
1706146413.392,-13.184,32.227,33.691,69.824,851.562
