timestamps,TP9,AF7,AF8,TP10,Right AUX
1706146196.727,3.418,21.973,125.488,336.426,-790.527
1706146196.731,34.180,6.836,-19.043,-183.105,107.422
1706146196.735,52.734,0.977,-78.613,-352.051,-1000.000
1706146196.739,29.785,20.996,69.824,169.434,-250.488
1706146196.743,6.836,30.762,149.414,430.664,-805.176
1706146196.747,39.062,9.766,12.695,-71.289,378.906
1706146196.751,65.918,-4.395,-96.680,-403.320,-1000.000
1706146196.754,26.855,12.207,35.645,38.086,-576.172
1706146196.758,-0.488,28.320,149.414,441.406,945.801
1706146196.762,29.297,18.066,47.852,77.637,730.957
1706146196.766,60.547,4.395,-82.031,-375.000,-772.949
1706146196.770,38.574,12.695,-1.953,-116.699,-947.266
1706146196.786,12.695,25.879,116.211,369.141,433.594
1706146196.790,9.766,22.949,99.121,246.094,-898.438
1706146196.794,35.156,5.371,-46.387,-268.555,-183.105
1706146196.798,45.410,4.395,-57.129,-254.883,-1000.000
1706146196.802,20.996,22.461,76.660,263.184,-31.250
1706146196.806,4.883,25.391,123.047,371.094,-779.297
1706146196.810,33.691,9.766,-5.859,-156.738,176.758
1706146196.813,51.270,5.859,-75.684,-360.840,-1000.000
1706146196.817,24.414,22.461,55.664,144.531,-340.332
1706146196.821,-3.418,31.250,144.531,424.316,-849.609
1706146196.825,19.531,15.137,32.715,-50.781,465.820
1706146196.829,52.734,-0.488,-83.008,-401.367,-1000.000
1706146196.817,28.809,18.066,28.320,3.906,-683.105
1706146196.821,0.488,33.203,133.789,418.457,814.453
1706146196.825,7.324,21.973,61.035,108.887,865.723
1706146196.829,40.039,6.348,-71.289,-352.051,-602.539
1706146196.833,35.645,11.719,-16.113,-161.621,-1000.000
1706146196.837,8.301,30.273,124.023,333.984,289.062
1706146196.841,3.418,30.273,110.352,271.484,-846.680
1706146196.844,20.996,10.254,-49.316,-251.953,-66.406
1706146196.848,28.809,8.301,-65.918,-305.176,-1000.000
1706146196.852,6.836,22.461,79.590,217.773,-116.211
1706146196.856,-5.371,30.273,141.113,390.137,-780.762
1706146196.860,32.715,17.090,-7.324,-126.953,247.559
1706146196.862,48.340,-0.977,-103.516,-384.766,-1000.000
1706146196.866,11.719,14.160,51.270,100.586,-420.410
1706146196.870,0.488,27.344,152.344,441.406,-903.320
1706146196.874,21.973,10.742,36.621,6.348,543.945
1706146196.878,38.574,-4.883,-88.379,-393.555,-976.562
1706146196.882,19.531,8.301,13.184,-28.320,-776.367
1706146196.886,-5.371,22.949,137.207,411.621,689.941
1706146196.889,1.465,17.090,74.707,148.926,960.938
1706146196.893,40.039,1.953,-73.730,-346.680,-462.891
1706146196.897,23.926,7.812,-26.367,-219.727,-1000.000
1706146196.901,-16.113,24.902,107.910,291.504,171.387
1706146196.905,-10.742,36.133,120.605,293.457,-811.523
