LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1706146407.033191,1521642.000,54898,2,AK,1,100,54080
1706146407.033191,1521642.000,54898,2,AK,1,100,RD
1706146407.072191,1521681.000,54901,2,AK,1,100,54899
1706146407.111191,1521720.000,54901,2,AK,1,100,RD
1706146409.638191,1524247.000,55752,2,AK,1,100,54899
1706146412.165191,1526774.000,55752,2,AK,1,100,RD
1706146412.181691,1526790.500,55755,2,AK,1,100,55753
1706146412.198191,1526807.000,55755,2,AK,1,100,RD
1706146414.735691,1529344.500,56589,2,AK,1,100,55753
1706146417.273190,1531882.000,56589,2,AK,1,100,RD
1706146417.291690,1531900.500,56592,2,AK,1,100,56590
1706146417.310190,1531919.000,56592,2,AK,1,100,RD
1706146419.857190,1534466.000,57449,2,AK,1,100,56590
1706146422.404190,1537013.000,57449,2,AK,1,100,RD
1706146422.410690,1537019.500,57452,2,AK,1,100,57450
1706146422.417190,1537026.000,57452,2,AK,1,100,RD
1706146424.970190,1539579.000,58312,2,AK,1,100,57450
1706146427.523190,1542132.000,58312,2,AK,1,100,RD
1706146427.541690,1542150.500,58315,2,AK,1,100,58313
1706146427.560190,1542169.000,58315,2,AK,1,100,RD
1706146430.109190,1544718.000,59175,2,AK,1,100,58313
1706146432.658190,1547267.000,59175,2,AK,1,100,RD
1706146432.676189,1547285.000,59178,2,AK,1,100,59176
1706146432.694190,1547303.000,59178,2,AK,1,100,RD
1706146435.245189,1549854.000,60035,2,AK,1,100,59176
1706146437.796189,1552405.000,60035,2,AK,1,100,RD
1706146437.836689,1552445.500,60038,2,AK,1,100,60036
1706146437.877189,1552486.000,60038,2,AK,1,100,RD
1706146440.397189,1555006.000,60894,2,AK,1,100,60036
1706146442.917189,1557526.000,60894,2,AK,1,100,RD
1706146442.929689,1557538.500,60897,2,AK,1,100,60895
1706146442.942189,1557551.000,60897,2,AK,1,100,RD
1706146445.484189,1560093.000,61737,2,AK,1,100,60895
1706146448.026189,1562635.000,61737,2,AK,1,100,RD
1706146450.585188,1565194.000,62599,2,AK,1,100,61738
1706146453.144188,1567753.000,62599,2,AK,1,100,RD
1706146453.145688,1567754.500,62601,2,AK,1,100,61738
1706146453.147188,1567756.000,62601,2,AK,1,100,RD
1706146453.164188,1567773.000,62604,2,AK,1,100,62602
1706146453.181188,1567790.000,62604,2,AK,1,100,RD
1706146455.728188,1570337.000,63454,2,AK,1,100,62602
1706146458.275188,1572884.000,63454,2,AK,1,100,RD
1706146460.841688,1575450.500,64302,2,AK,1,100,63455
1706146463.408188,1578017.000,64302,2,AK,1,100,RD
1706146463.409688,1578018.500,64304,2,AK,1,100,63455
1706146463.411188,1578020.000,64304,2,AK,1,100,RD
1706146465.975688,1580584.500,65156,2,AK,1,100,64305
1706146468.540187,1583149.000,65156,2,AK,1,100,RD
1706146468.541687,1583150.500,65158,2,AK,1,100,64305
1706146468.543187,1583152.000,65158,2,AK,1,100,RD
1706146468.575187,1583184.000,65161,2,AK,1,100,65159
1706146468.607187,1583216.000,65161,2,AK,1,100,RD
1706146471.129687,1585738.500,483,2,AK,1,100,65159
1706146473.652187,1588261.000,483,2,AK,1,100,RD
1706146473.671187,1588280.000,486,2,AK,1,100,484
1706146473.690187,1588299.000,486,2,AK,1,100,RD
1706146476.224687,1590833.500,1342,2,AK,1,100,484
1706146478.759187,1593368.000,1342,2,AK,1,100,RD
1706146478.765187,1593374.000,1345,2,AK,1,100,1343
1706146478.771187,1593380.000,1345,2,AK,1,100,RD
1706146481.320687,1595929.500,2198,2,AK,1,100,1343
1706146483.870186,1598479.000,2198,2,AK,1,100,RD
1706146483.891186,1598500.000,2201,2,AK,1,100,2199
1706146483.912186,1598521.000,2201,2,AK,1,100,RD
1706146486.445186,1601054.000,3057,2,AK,1,100,2199
1706146488.978186,1603587.000,3057,2,AK,1,100,RD
1706146491.544686,1606153.500,3921,2,AK,1,100,3058
