LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AX
1706146402.770191,1517379.000,54191,1,AX,1,100,0.140
1706146402.810191,1517419.000,54207,2,AX,1,100,0.142
1706146402.850191,1517459.000,54207,2,AX,1,100,0.142
1706146402.885858,1517494.667,54225,3,AX,1,100,0.142
1706146402.921525,1517530.333,54225,3,AX,1,100,0.146
1706146402.957191,1517566.000,54225,3,AX,1,100,0.143
1706146402.997191,1517606.000,54241,3,AX,1,100,0.156
1706146403.037191,1517646.000,54241,3,AX,1,100,0.154
1706146403.077191,1517686.000,54241,3,AX,1,100,0.150
1706146403.117191,1517726.000,54260,2,AX,1,100,0.154
1706146403.157191,1517766.000,54260,2,AX,1,100,0.152
1706146403.197191,1517806.000,54274,3,AX,1,100,0.146
1706146403.237191,1517846.000,54274,3,AX,1,100,0.148
1706146403.277191,1517886.000,54274,3,AX,1,100,0.137
1706146403.317191,1517926.000,54292,3,AX,1,100,0.143
1706146403.357191,1517966.000,54292,3,AX,1,100,0.141
1706146403.397191,1518006.000,54292,3,AX,1,100,0.142
1706146403.437191,1518046.000,54310,2,AX,1,100,0.145
1706146403.477191,1518086.000,54310,2,AX,1,100,0.137
1706146403.517191,1518126.000,54329,3,AX,1,100,0.150
1706146403.557191,1518166.000,54329,3,AX,1,100,0.144
1706146403.597191,1518206.000,54329,3,AX,1,100,0.142
1706146403.637191,1518246.000,54344,2,AX,1,100,0.140
1706146403.677191,1518286.000,54344,2,AX,1,100,0.138
1706146403.717191,1518326.000,54361,3,AX,1,100,0.145
1706146403.757191,1518366.000,54361,3,AX,1,100,0.146
1706146403.797191,1518406.000,54361,3,AX,1,100,0.157
1706146403.837191,1518446.000,54377,2,AX,1,100,0.152
1706146403.877191,1518486.000,54377,2,AX,1,100,0.142
1706146403.917191,1518526.000,54395,3,AX,1,100,0.146
1706146403.957191,1518566.000,54395,3,AX,1,100,0.146
1706146403.997191,1518606.000,54395,3,AX,1,100,0.146
1706146404.037191,1518646.000,54409,2,AX,1,100,0.154
1706146404.077191,1518686.000,54409,2,AX,1,100,0.151
1706146404.117191,1518726.000,54426,3,AX,1,100,0.148
1706146404.157191,1518766.000,54426,3,AX,1,100,0.149
1706146404.197191,1518806.000,54426,3,AX,1,100,0.148
1706146404.237191,1518846.000,54444,2,AX,1,100,0.136
1706146404.277191,1518886.000,54444,2,AX,1,100,0.153
1706146404.317191,1518926.000,54464,3,AX,1,100,0.147
1706146404.357191,1518966.000,54464,3,AX,1,100,0.144
1706146404.397191,1519006.000,54464,3,AX,1,100,0.157
1706146404.437191,1519046.000,54479,2,AX,1,100,0.154
1706146404.477191,1519086.000,54479,2,AX,1,100,0.155
1706146404.517191,1519126.000,54495,3,AX,1,100,0.153
1706146404.557191,1519166.000,54495,3,AX,1,100,0.151
1706146404.597191,1519206.000,54495,3,AX,1,100,0.145
1706146404.637191,1519246.000,54512,3,AX,1,100,0.155
1706146404.677191,1519286.000,54512,3,AX,1,100,0.155
1706146404.717191,1519326.000,54512,3,AX,1,100,0.155
1706146404.757191,1519366.000,54531,2,AX,1,100,0.153
