LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1706146406.615191,1521224.000,54842,1,B%,1,100,43
1706146411.614191,1526223.000,55678,1,B%,1,100,43
1706146416.614191,1531223.000,56503,1,B%,1,100,43
1706146421.613190,1536222.000,57328,1,B%,1,100,43
1706146426.613190,1541222.000,58172,1,B%,1,100,43
1706146431.613190,1546222.000,59021,1,B%,1,100,43
1706146436.612189,1551221.000,59846,1,B%,1,100,43
1706146441.611189,1556220.000,60687,1,B%,1,100,44
1706146446.611189,1561220.000,61530,1,B%,1,100,44
1706146451.611188,1566220.000,62358,1,B%,1,100,44
1706146456.610188,1571219.000,63201,1,B%,1,100,44
1706146461.610188,1576219.000,64014,1,B%,1,100,44
1706146466.609187,1581218.000,64851,1,B%,1,100,44
1706146471.609187,1586218.000,157,1,B%,1,100,44
1706146476.608187,1591217.000,997,1,B%,1,100,44
1706146481.607187,1596216.000,1840,1,B%,1,100,44
1706146486.607186,1601216.000,2682,1,B%,1,100,44
1706146491.607186,1606216.000,3505,1,B%,1,100,44
1706146496.606186,1611215.000,4350,1,B%,1,100,44
1706146501.606185,1616215.000,5190,1,B%,1,100,44
1706146506.605185,1621214.000,6028,1,B%,1,100,44
1706146511.605185,1626214.000,6861,1,B%,1,100,44
1706146516.604184,1631213.000,7703,1,B%,1,100,44
1706146521.604184,1636213.000,8543,1,B%,1,100,44
1706146526.603184,1641212.000,9377,1,B%,1,100,44
1706146531.603184,1646212.000,10233,1,B%,1,100,44
1706146536.602183,1651211.000,11053,1,B%,1,100,44
1706146541.602183,1656211.000,11892,1,B%,1,100,44
1706146546.601183,1661210.000,12735,1,B%,1,100,44
1706146551.601182,1666210.000,13547,1,B%,1,100,44
1706146556.600182,1671209.000,14370,1,B%,1,100,44
1706146561.599182,1676208.000,15213,1,B%,1,100,44
1706146566.599181,1681208.000,15975,1,B%,1,100,44
1706146571.599181,1686208.000,16788,1,B%,1,100,44
1706146576.598181,1691207.000,17650,1,B%,1,100,44
1706146581.598181,1696207.000,18473,1,B%,1,100,44
1706146586.597180,1701206.000,19294,1,B%,1,100,44
1706146591.596180,1706205.000,20135,1,B%,1,100,44
1706146596.596179,1711205.000,20971,1,B%,1,100,44
