LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1706146403.424191,1518033,54301,1,BI,1,100,1400
1706146404.264191,1518873,54435,1,BI,1,100,840
1706146405.157191,1519766,54591,1,BI,1,100,880
1706146405.917191,1520526,54708,1,BI,1,100,760
1706146406.837191,1521446,54862,1,BI,1,100,920
1706146407.437191,1522046,54954,1,BI,1,100,600
1706146407.997191,1522606,55052,1,BI,1,100,560
1706146408.810191,1523419,55185,1,BI,1,100,800
1706146409.490191,1524099,55304,1,BI,1,100,680
1706146410.170191,1524779,55407,1,BI,1,100,680
1706146411.010191,1525619,55559,1,BI,1,100,840
1706146411.730191,1526339,55679,1,BI,1,100,720
1706146412.530191,1527139,55805,1,BI,1,100,800
1706146413.343191,1527952,55927,1,BI,1,100,800
1706146414.223191,1528832,56078,1,BI,1,100,880
1706146415.023190,1529632,56214,1,BI,1,100,800
1706146415.863191,1530472,56349,1,BI,1,100,840
1706146416.703191,1531312,56483,1,BI,1,100,840
1706146417.716190,1532325,56660,1,BI,1,100,1000
1706146418.316190,1532925,56764,1,BI,1,100,600
1706146419.236190,1533845,56917,1,BI,1,100,920
1706146420.076190,1534685,57054,1,BI,1,100,840
1706146420.929190,1535538,57188,1,BI,1,100,840
1706146421.769190,1536378,57346,1,BI,1,100,840
1706146422.649190,1537258,57485,1,BI,1,100,880
1706146423.449190,1538058,57622,1,BI,1,100,800
1706146424.169190,1538778,57745,1,BI,1,100,720
1706146425.062190,1539671,57899,1,BI,1,100,880
1706146425.942190,1540551,58035,1,BI,1,100,880
1706146426.742190,1541351,58174,1,BI,1,100,800
1706146427.662190,1542271,58333,1,BI,1,100,920
1706146428.502190,1543111,58468,1,BI,1,100,840
1706146429.275190,1543884,58606,1,BI,1,100,760
1706146429.995190,1544604,58724,1,BI,1,100,720
1706146430.835190,1545444,58865,1,BI,1,100,840
1706146431.555190,1546164,58986,1,BI,1,100,720
1706146432.275190,1546884,59106,1,BI,1,100,720
1706146433.008189,1547617,59230,1,BI,1,100,720
