LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1706146406.615191,1521224.000,54841,1,BV,1,100,3.69
1706146411.614191,1526223.000,55677,1,BV,1,100,3.69
1706146416.614191,1531223.000,56502,1,BV,1,100,3.68
1706146421.613190,1536222.000,57327,1,BV,1,100,3.69
1706146426.613190,1541222.000,58171,1,BV,1,100,3.69
1706146431.613190,1546222.000,59020,1,BV,1,100,3.68
1706146436.612189,1551221.000,59845,1,BV,1,100,3.69
1706146441.611189,1556220.000,60686,1,BV,1,100,3.69
1706146446.611189,1561220.000,61529,1,BV,1,100,3.69
1706146451.611188,1566220.000,62357,1,BV,1,100,3.69
1706146456.610188,1571219.000,63200,1,BV,1,100,3.69
1706146461.610188,1576219.000,64013,1,BV,1,100,3.69
1706146466.609187,1581218.000,64850,1,BV,1,100,3.69
1706146471.609187,1586218.000,156,1,BV,1,100,3.69
1706146476.608187,1591217.000,996,1,BV,1,100,3.69
1706146481.607187,1596216.000,1839,1,BV,1,100,3.69
1706146486.607186,1601216.000,2681,1,BV,1,100,3.69
1706146491.607186,1606216.000,3504,1,BV,1,100,3.69
1706146496.606186,1611215.000,4349,1,BV,1,100,3.69
1706146501.606185,1616215.000,5189,1,BV,1,100,3.69
1706146506.605185,1621214.000,6027,1,BV,1,100,3.69
1706146511.605185,1626214.000,6860,1,BV,1,100,3.69
1706146516.604184,1631213.000,7702,1,BV,1,100,3.69
1706146521.604184,1636213.000,8542,1,BV,1,100,3.69
1706146526.603184,1641212.000,9376,1,BV,1,100,3.69
1706146531.603184,1646212.000,10232,1,BV,1,100,3.69
1706146536.602183,1651211.000,11052,1,BV,1,100,3.69
1706146541.602183,1656211.000,11891,1,BV,1,100,3.69
1706146546.601183,1661210.000,12734,1,BV,1,100,3.69
1706146551.601182,1666210.000,13546,1,BV,1,100,3.69
1706146556.600182,1671209.000,14369,1,BV,1,100,3.69
1706146561.599182,1676208.000,15212,1,BV,1,100,3.69
1706146566.599181,1681208.000,15974,1,BV,1,100,3.69
1706146571.599181,1686208.000,16787,1,BV,1,100,3.69
1706146576.598181,1691207.000,17649,1,BV,1,100,3.69
1706146581.598181,1696207.000,18472,1,BV,1,100,3.69
1706146586.597180,1701206.000,19293,1,BV,1,100,3.69
1706146591.596180,1706205.000,20134,1,BV,1,100,3.69
1706146596.596179,1711205.000,20970,1,BV,1,100,3.69
