LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1706146402.783191,1517392.000,54187,1,EA,1,100,0.063111
1706146402.849191,1517458.000,54205,1,EA,1,100,0.063077
1706146402.916191,1517525.000,54221,2,EA,1,100,0.063075
1706146402.983191,1517592.000,54221,2,EA,1,100,0.063091
1706146403.049191,1517658.000,54237,1,EA,1,100,0.063099
1706146403.116191,1517725.000,54256,2,EA,1,100,0.063120
1706146403.183191,1517792.000,54256,2,EA,1,100,0.063108
1706146403.249191,1517858.000,54272,1,EA,1,100,0.063150
1706146403.316191,1517925.000,54288,2,EA,1,100,0.063144
1706146403.383191,1517992.000,54288,2,EA,1,100,0.063125
1706146403.449191,1518058.000,54306,1,EA,1,100,0.063157
1706146403.516191,1518125.000,54325,2,EA,1,100,0.063142
1706146403.583191,1518192.000,54325,2,EA,1,100,0.063154
1706146403.649191,1518258.000,54342,1,EA,1,100,0.063153
1706146403.716191,1518325.000,54357,2,EA,1,100,0.063173
1706146403.783191,1518392.000,54357,2,EA,1,100,0.063172
1706146403.849191,1518458.000,54373,1,EA,1,100,0.063156
1706146403.916191,1518525.000,54391,2,EA,1,100,0.063129
1706146403.983191,1518592.000,54391,2,EA,1,100,0.063155
1706146404.049191,1518658.000,54407,1,EA,1,100,0.063119
1706146404.116191,1518725.000,54422,2,EA,1,100,0.063127
1706146404.183191,1518792.000,54422,2,EA,1,100,0.063163
1706146404.249191,1518858.000,54440,1,EA,1,100,0.063200
1706146404.316191,1518925.000,54460,2,EA,1,100,0.063158
1706146404.383191,1518992.000,54460,2,EA,1,100,0.063124
1706146404.449191,1519058.000,54476,1,EA,1,100,0.063135
1706146404.516191,1519125.000,54492,2,EA,1,100,0.063200
1706146404.583191,1519192.000,54492,2,EA,1,100,0.063226
1706146404.649191,1519258.000,54508,1,EA,1,100,0.063233
1706146404.716191,1519325.000,54527,2,EA,1,100,0.063212
1706146404.783191,1519392.000,54527,2,EA,1,100,0.063229
1706146404.849691,1519458.500,54543,2,EA,1,100,0.063261
1706146404.916191,1519525.000,54543,2,EA,1,100,0.063278
1706146404.982191,1519591.000,54561,1,EA,1,100,0.063286
1706146405.049191,1519658.000,54577,2,EA,1,100,0.063267
1706146405.116191,1519725.000,54577,2,EA,1,100,0.063242
1706146405.183191,1519792.000,54596,1,EA,1,100,0.063264
1706146405.249691,1519858.500,54613,2,EA,1,100,0.063309
1706146405.316191,1519925.000,54613,2,EA,1,100,0.063356
1706146405.382191,1519991.000,54632,1,EA,1,100,0.063313
1706146405.449191,1520058.000,54646,2,EA,1,100,0.063262
1706146405.516191,1520125.000,54646,2,EA,1,100,0.063244
1706146405.582191,1520191.000,54663,1,EA,1,100,0.063224
1706146405.649191,1520258.000,54680,2,EA,1,100,0.063222
1706146405.716191,1520325.000,54680,2,EA,1,100,0.063209
1706146405.782191,1520391.000,54697,1,EA,1,100,0.063260
1706146405.849191,1520458.000,54713,2,EA,1,100,0.063298
1706146405.916191,1520525.000,54713,2,EA,1,100,0.063285
1706146405.982191,1520591.000,54731,1,EA,1,100,0.063316
1706146406.049191,1520658.000,54747,2,EA,1,100,0.063371
1706146406.116191,1520725.000,54747,2,EA,1,100,0.063399
1706146406.182191,1520791.000,54764,1,EA,1,100,0.063476
1706146406.249191,1520858.000,54779,2,EA,1,100,0.063545
1706146406.316191,1520925.000,54779,2,EA,1,100,0.063644
1706146406.382191,1520991.000,54796,1,EA,1,100,0.063752
1706146406.449191,1521058.000,54812,2,EA,1,100,0.063776
1706146406.516191,1521125.000,54812,2,EA,1,100,0.063790
1706146406.582191,1521191.000,54829,1,EA,1,100,0.063795
1706146406.649191,1521258.000,54849,2,EA,1,100,0.063761
1706146406.716191,1521325.000,54849,2,EA,1,100,0.063692
1706146406.782191,1521391.000,54867,1,EA,1,100,0.063681
1706146406.849191,1521458.000,54883,2,EA,1,100,0.063634
1706146406.916191,1521525.000,54883,2,EA,1,100,0.063620
1706146406.982858,1521591.667,54906,3,EA,1,100,0.063659
1706146407.049524,1521658.333,54906,3,EA,1,100,0.063654
1706146407.116191,1521725.000,54906,3,EA,1,100,0.063611
1706146407.182191,1521791.000,54923,1,EA,1,100,0.063573
1706146407.249191,1521858.000,54940,2,EA,1,100,0.063513
1706146407.316191,1521925.000,54940,2,EA,1,100,0.063513
1706146407.382191,1521991.000,54959,1,EA,1,100,0.063502
1706146407.449191,1522058.000,54974,2,EA,1,100,0.063478
1706146407.516191,1522125.000,54974,2,EA,1,100,0.063462
1706146407.582191,1522191.000,54990,1,EA,1,100,0.063471
1706146407.649191,1522258.000,55007,2,EA,1,100,0.063453
1706146407.716191,1522325.000,55007,2,EA,1,100,0.063463
1706146407.782691,1522391.500,55024,2,EA,1,100,0.063451
1706146407.849191,1522458.000,55024,2,EA,1,100,0.063450
1706146407.915191,1522524.000,55040,1,EA,1,100,0.063453
1706146407.982191,1522591.000,55058,2,EA,1,100,0.063478
1706146408.049191,1522658.000,55058,2,EA,1,100,0.063483
1706146408.116191,1522725.000,55074,1,EA,1,100,0.063425
1706146408.182691,1522791.500,55091,2,EA,1,100,0.063496
1706146408.249191,1522858.000,55091,2,EA,1,100,0.063562
1706146408.315191,1522924.000,55108,1,EA,1,100,0.063560
1706146408.382191,1522991.000,55123,2,EA,1,100,0.063529
1706146408.449191,1523058.000,55123,2,EA,1,100,0.063481
1706146408.515191,1523124.000,55139,1,EA,1,100,0.063461
1706146408.582191,1523191.000,55157,2,EA,1,100,0.063488
1706146408.649191,1523258.000,55157,2,EA,1,100,0.063528
1706146408.715191,1523324.000,55173,1,EA,1,100,0.063561
1706146408.782191,1523391.000,55190,2,EA,1,100,0.063560
1706146408.849191,1523458.000,55190,2,EA,1,100,0.063552
1706146408.915191,1523524.000,55206,1,EA,1,100,0.063508
1706146408.982191,1523591.000,55224,2,EA,1,100,0.063558
1706146409.049191,1523658.000,55224,2,EA,1,100,0.063583
1706146409.115191,1523724.000,55240,1,EA,1,100,0.063565
1706146409.182191,1523791.000,55257,2,EA,1,100,0.063531
1706146409.249191,1523858.000,55257,2,EA,1,100,0.063564
1706146409.315191,1523924.000,55274,1,EA,1,100,0.063624
1706146409.382191,1523991.000,55291,2,EA,1,100,0.063668
1706146409.449191,1524058.000,55291,2,EA,1,100,0.063658
1706146409.515191,1524124.000,55309,1,EA,1,100,0.063686
