LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1706146402.783191,1517392.000,54188,1,EL,1,100,2515.600098
1706146402.849191,1517458.000,54206,1,EL,1,100,2527.600098
1706146402.916191,1517525.000,54222,2,EL,1,100,2528.399902
1706146402.983191,1517592.000,54222,2,EL,1,100,2522.600098
1706146403.049191,1517658.000,54238,1,EL,1,100,2520.000000
1706146403.116191,1517725.000,54257,2,EL,1,100,2512.600098
1706146403.183191,1517792.000,54257,2,EL,1,100,2516.600098
1706146403.249191,1517858.000,54273,1,EL,1,100,2502.000000
1706146403.316191,1517925.000,54289,2,EL,1,100,2504.000000
1706146403.383191,1517992.000,54289,2,EL,1,100,2510.800049
1706146403.449191,1518058.000,54307,1,EL,1,100,2499.600098
1706146403.516191,1518125.000,54326,2,EL,1,100,2504.800049
1706146403.583191,1518192.000,54326,2,EL,1,100,2500.800049
1706146403.649191,1518258.000,54343,1,EL,1,100,2501.000000
1706146403.716191,1518325.000,54358,2,EL,1,100,2494.000000
1706146403.783191,1518392.000,54358,2,EL,1,100,2494.399902
1706146403.849191,1518458.000,54374,1,EL,1,100,2500.000000
1706146403.916191,1518525.000,54392,2,EL,1,100,2509.399902
1706146403.983191,1518592.000,54392,2,EL,1,100,2500.399902
1706146404.049191,1518658.000,54408,1,EL,1,100,2513.000000
1706146404.116191,1518725.000,54423,2,EL,1,100,2510.199951
1706146404.183191,1518792.000,54423,2,EL,1,100,2497.600098
1706146404.249191,1518858.000,54441,1,EL,1,100,2484.600098
1706146404.316191,1518925.000,54461,2,EL,1,100,2499.399902
1706146404.383191,1518992.000,54461,2,EL,1,100,2511.000000
1706146404.449191,1519058.000,54477,1,EL,1,100,2507.399902
1706146404.516191,1519125.000,54493,2,EL,1,100,2484.600098
1706146404.583191,1519192.000,54493,2,EL,1,100,2475.399902
1706146404.649191,1519258.000,54509,1,EL,1,100,2473.000000
1706146404.716191,1519325.000,54528,2,EL,1,100,2480.399902
1706146404.783191,1519392.000,54528,2,EL,1,100,2474.399902
1706146404.849691,1519458.500,54544,2,EL,1,100,2463.199951
1706146404.916191,1519525.000,54544,2,EL,1,100,2457.399902
1706146404.982191,1519591.000,54562,1,EL,1,100,2454.399902
1706146405.049191,1519658.000,54578,2,EL,1,100,2461.199951
1706146405.116191,1519725.000,54578,2,EL,1,100,2470.000000
1706146405.183191,1519792.000,54597,1,EL,1,100,2462.199951
1706146405.249691,1519858.500,54614,2,EL,1,100,2446.399902
1706146405.316191,1519925.000,54614,2,EL,1,100,2430.199951
1706146405.382191,1519991.000,54633,1,EL,1,100,2445.000000
1706146405.449191,1520058.000,54647,2,EL,1,100,2463.000000
1706146405.516191,1520125.000,54647,2,EL,1,100,2469.199951
1706146405.582191,1520191.000,54664,1,EL,1,100,2476.000000
1706146405.649191,1520258.000,54681,2,EL,1,100,2477.000000
1706146405.716191,1520325.000,54681,2,EL,1,100,2481.399902
1706146405.782191,1520391.000,54698,1,EL,1,100,2463.600098
1706146405.849191,1520458.000,54714,2,EL,1,100,2450.399902
1706146405.916191,1520525.000,54714,2,EL,1,100,2454.800049
1706146405.982191,1520591.000,54732,1,EL,1,100,2444.000000
1706146406.049191,1520658.000,54748,2,EL,1,100,2425.000000
1706146406.116191,1520725.000,54748,2,EL,1,100,2415.000000
1706146406.182191,1520791.000,54765,1,EL,1,100,2388.399902
1706146406.249191,1520858.000,54780,2,EL,1,100,2364.399902
1706146406.316191,1520925.000,54780,2,EL,1,100,2330.199951
1706146406.382191,1520991.000,54797,1,EL,1,100,2293.199951
1706146406.449191,1521058.000,54813,2,EL,1,100,2284.800049
1706146406.516191,1521125.000,54813,2,EL,1,100,2280.000000
1706146406.582191,1521191.000,54830,1,EL,1,100,2278.199951
1706146406.649191,1521258.000,54850,2,EL,1,100,2289.800049
1706146406.716191,1521325.000,54850,2,EL,1,100,2313.800049
1706146406.782191,1521391.000,54868,1,EL,1,100,2317.399902
1706146406.849191,1521458.000,54884,2,EL,1,100,2333.600098
1706146406.916191,1521525.000,54884,2,EL,1,100,2338.399902
1706146406.982858,1521591.667,54907,3,EL,1,100,2325.000000
1706146407.049524,1521658.333,54907,3,EL,1,100,2326.800049
1706146407.116191,1521725.000,54907,3,EL,1,100,2341.600098
1706146407.182191,1521791.000,54924,1,EL,1,100,2354.600098
1706146407.249191,1521858.000,54941,2,EL,1,100,2375.600098
1706146407.316191,1521925.000,54941,2,EL,1,100,2375.600098
1706146407.382191,1521991.000,54960,1,EL,1,100,2379.399902
1706146407.449191,1522058.000,54975,2,EL,1,100,2387.600098
1706146407.516191,1522125.000,54975,2,EL,1,100,2393.199951
1706146407.582191,1522191.000,54991,1,EL,1,100,2390.000000
1706146407.649191,1522258.000,55008,2,EL,1,100,2396.199951
1706146407.716191,1522325.000,55008,2,EL,1,100,2393.000000
1706146407.782691,1522391.500,55025,2,EL,1,100,2397.199951
1706146407.849191,1522458.000,55025,2,EL,1,100,2397.399902
1706146407.915191,1522524.000,55041,1,EL,1,100,2396.199951
1706146407.982191,1522591.000,55059,2,EL,1,100,2387.600098
1706146408.049191,1522658.000,55059,2,EL,1,100,2386.000000
1706146408.116191,1522725.000,55075,1,EL,1,100,2406.000000
1706146408.182691,1522791.500,55092,2,EL,1,100,2381.600098
1706146408.249191,1522858.000,55092,2,EL,1,100,2358.399902
1706146408.315191,1522924.000,55109,1,EL,1,100,2359.399902
1706146408.382191,1522991.000,55124,2,EL,1,100,2370.000000
1706146408.449191,1523058.000,55124,2,EL,1,100,2386.800049
1706146408.515191,1523124.000,55140,1,EL,1,100,2393.399902
1706146408.582191,1523191.000,55158,2,EL,1,100,2384.199951
1706146408.649191,1523258.000,55158,2,EL,1,100,2370.199951
1706146408.715191,1523324.000,55174,1,EL,1,100,2359.000000
1706146408.782191,1523391.000,55191,2,EL,1,100,2359.399902
1706146408.849191,1523458.000,55191,2,EL,1,100,2362.199951
1706146408.915191,1523524.000,55207,1,EL,1,100,2377.199951
1706146408.982191,1523591.000,55225,2,EL,1,100,2359.800049
1706146409.049191,1523658.000,55225,2,EL,1,100,2351.199951
1706146409.115191,1523724.000,55241,1,EL,1,100,2357.600098
1706146409.182191,1523791.000,55258,2,EL,1,100,2369.199951
1706146409.249191,1523858.000,55258,2,EL,1,100,2358.000000
1706146409.315191,1523924.000,55275,1,EL,1,100,2337.000000
1706146409.382191,1523991.000,55292,2,EL,1,100,2321.800049
1706146409.449191,1524058.000,55292,2,EL,1,100,2325.399902
1706146409.515191,1524124.000,55310,1,EL,1,100,2315.800049
1706146409.582191,1524191.000,55327,2,EL,1,100,2306.600098
1706146409.649191,1524258.000,55327,2,EL,1,100,2311.199951
1706146409.715191,1524324.000,55344,1,EL,1,100,2311.199951
1706146409.782191,1524391.000,55361,2,EL,1,100,2312.600098
1706146409.849191,1524458.000,55361,2,EL,1,100,2304.399902
1706146409.915191,1524524.000,55377,1,EL,1,100,2299.399902
1706146409.982191,1524591.000,55396,2,EL,1,100,2306.000000
1706146410.049191,1524658.000,55396,2,EL,1,100,2294.000000
1706146410.115691,1524724.500,55413,2,EL,1,100,2298.600098
1706146410.182191,1524791.000,55413,2,EL,1,100,2305.199951
1706146410.249191,1524858.000,55430,1,EL,1,100,2294.600098
1706146410.315691,1524924.500,55449,2,EL,1,100,2293.399902
1706146410.382191,1524991.000,55449,2,EL,1,100,2318.000000
1706146410.449191,1525058.000,55466,1,EL,1,100,2316.000000
1706146410.515691,1525124.500,55480,2,EL,1,100,2299.199951
1706146410.582191,1525191.000,55480,2,EL,1,100,2294.000000
1706146410.649191,1525258.000,55498,1,EL,1,100,2283.600098
1706146410.715691,1525324.500,55514,2,EL,1,100,2281.000000
1706146410.782191,1525391.000,55514,2,EL,1,100,2281.399902
1706146410.849191,1525458.000,55531,1,EL,1,100,2268.800049
1706146410.915691,1525524.500,55546,2,EL,1,100,2239.000000
1706146410.982191,1525591.000,55546,2,EL,1,100,2227.800049
1706146411.049191,1525658.000,55565,1,EL,1,100,2220.000000
1706146411.115691,1525724.500,55583,2,EL,1,100,2233.800049
1706146411.182191,1525791.000,55583,2,EL,1,100,2243.399902
1706146411.249191,1525858.000,55600,1,EL,1,100,2240.000000
1706146411.315691,1525924.500,55615,2,EL,1,100,2240.800049
1706146411.382191,1525991.000,55615,2,EL,1,100,2240.800049
1706146411.449191,1526058.000,55632,1,EL,1,100,2229.800049
1706146411.515691,1526124.500,55648,2,EL,1,100,2237.199951
1706146411.582191,1526191.000,55648,2,EL,1,100,2229.600098
1706146411.649191,1526258.000,55666,1,EL,1,100,2225.399902
1706146411.715691,1526324.500,55687,2,EL,1,100,2234.399902
1706146411.782191,1526391.000,55687,2,EL,1,100,2220.000000
1706146411.848691,1526457.500,55705,2,EL,1,100,2214.800049
1706146411.915191,1526524.000,55705,2,EL,1,100,2217.600098
1706146411.982191,1526591.000,55722,1,EL,1,100,2216.199951
1706146412.048691,1526657.500,55739,2,EL,1,100,2225.600098
1706146412.115191,1526724.000,55739,2,EL,1,100,2221.600098
1706146412.181691,1526790.500,55761,2,EL,1,100,2226.800049
1706146412.248191,1526857.000,55761,2,EL,1,100,2228.000000
1706146412.315191,1526924.000,55778,1,EL,1,100,2226.000000
1706146412.381691,1526990.500,55794,2,EL,1,100,2227.399902
1706146412.448191,1527057.000,55794,2,EL,1,100,2216.800049
1706146412.515191,1527124.000,55813,2,EL,1,100,2216.000000
1706146412.582191,1527191.000,55813,2,EL,1,100,2216.399902
1706146412.648191,1527257.000,55831,1,EL,1,100,2216.000000
1706146412.715191,1527324.000,55847,2,EL,1,100,2214.199951
1706146412.782191,1527391.000,55847,2,EL,1,100,2204.000000
1706146412.848191,1527457.000,55864,1,EL,1,100,2209.399902
1706146412.915191,1527524.000,55879,2,EL,1,100,2202.600098
1706146412.982191,1527591.000,55879,2,EL,1,100,2186.600098
1706146413.048191,1527657.000,55896,1,EL,1,100,2179.000000
1706146413.115191,1527724.000,55914,2,EL,1,100,2180.199951
1706146413.182191,1527791.000,55914,2,EL,1,100,2186.600098
1706146413.248691,1527857.500,55934,2,EL,1,100,2158.600098
1706146413.315191,1527924.000,55934,2,EL,1,100,2142.199951
1706146413.381691,1527990.500,55950,2,EL,1,100,2146.800049
1706146413.448191,1528057.000,55950,2,EL,1,100,2138.600098
1706146413.515191,1528124.000,55967,1,EL,1,100,2127.800049
1706146413.581691,1528190.500,55984,2,EL,1,100,2125.000000
1706146413.648191,1528257.000,55984,2,EL,1,100,2133.199951
1706146413.715191,1528324.000,56001,1,EL,1,100,2139.600098
1706146413.781691,1528390.500,56017,2,EL,1,100,2148.000000
1706146413.848191,1528457.000,56017,2,EL,1,100,2144.000000
1706146413.915191,1528524.000,56034,1,EL,1,100,2140.800049
1706146413.981691,1528590.500,56049,2,EL,1,100,2141.199951
1706146414.048191,1528657.000,56049,2,EL,1,100,2140.199951
1706146414.115191,1528724.000,56066,1,EL,1,100,2112.600098
1706146414.181691,1528790.500,56084,2,EL,1,100,2110.800049
1706146414.248191,1528857.000,56084,2,EL,1,100,2113.600098
1706146414.315191,1528924.000,56102,1,EL,1,100,2109.800049
1706146414.381691,1528990.500,56118,2,EL,1,100,2119.199951
1706146414.448191,1529057.000,56118,2,EL,1,100,2112.800049
1706146414.515191,1529124.000,56135,1,EL,1,100,2095.600098
1706146414.581691,1529190.500,56154,2,EL,1,100,2104.800049
1706146414.648191,1529257.000,56154,2,EL,1,100,2102.199951
1706146414.715191,1529324.000,56171,1,EL,1,100,2105.600098
1706146414.781691,1529390.500,56186,2,EL,1,100,2116.600098
1706146414.848191,1529457.000,56186,2,EL,1,100,2111.199951
1706146414.915191,1529524.000,56202,1,EL,1,100,2098.600098
1706146414.981691,1529590.500,56221,2,EL,1,100,2100.000000
1706146415.048191,1529657.000,56221,2,EL,1,100,2102.399902
1706146415.115191,1529724.000,56238,1,EL,1,100,2101.800049
1706146415.181691,1529790.500,56253,2,EL,1,100,2093.600098
1706146415.248191,1529857.000,56253,2,EL,1,100,2073.800049
1706146415.314691,1529923.500,56270,2,EL,1,100,2025.199951
1706146415.381191,1529990.000,56270,2,EL,1,100,1985.400024
1706146415.448191,1530057.000,56286,1,EL,1,100,1966.800049
1706146415.514691,1530123.500,56305,2,EL,1,100,1984.199951
1706146415.581191,1530190.000,56305,2,EL,1,100,2013.400024
1706146415.648190,1530257.000,56322,1,EL,1,100,2035.599976
1706146415.714690,1530323.500,56337,2,EL,1,100,2042.800049
1706146415.781191,1530390.000,56337,2,EL,1,100,2060.800049
1706146415.848191,1530457.000,56355,1,EL,1,100,2064.199951
1706146415.914690,1530523.500,56373,2,EL,1,100,2054.199951
1706146415.981190,1530590.000,56373,2,EL,1,100,2051.399902
1706146416.048191,1530657.000,56389,1,EL,1,100,2052.800049
1706146416.114691,1530723.500,56404,2,EL,1,100,2061.600098
1706146416.181190,1530790.000,56404,2,EL,1,100,2061.800049
1706146416.248190,1530857.000,56420,1,EL,1,100,2058.000000
1706146416.314691,1530923.500,56438,2,EL,1,100,2051.199951
1706146416.381191,1530990.000,56438,2,EL,1,100,2050.000000
1706146416.448190,1531057.000,56456,1,EL,1,100,2051.800049
1706146416.514690,1531123.500,56471,2,EL,1,100,2049.800049
1706146416.581191,1531190.000,56471,2,EL,1,100,2022.199951
1706146416.648190,1531257.000,56490,1,EL,1,100,2009.800049
1706146416.714690,1531323.500,56511,2,EL,1,100,2025.800049
1706146416.781190,1531390.000,56511,2,EL,1,100,2022.800049
1706146416.848191,1531457.000,56527,1,EL,1,100,2028.400024
1706146416.914690,1531523.500,56543,2,EL,1,100,2038.199951
1706146416.981190,1531590.000,56543,2,EL,1,100,2031.199951
1706146417.048190,1531657.000,56559,1,EL,1,100,2033.800049
1706146417.114691,1531723.500,56576,2,EL,1,100,2034.599976
1706146417.181190,1531790.000,56576,2,EL,1,100,2036.599976
1706146417.247857,1531856.667,56599,3,EL,1,100,2035.000000
1706146417.314524,1531923.333,56599,3,EL,1,100,2021.599976
1706146417.381191,1531990.000,56599,3,EL,1,100,2023.400024
1706146417.448190,1532057.000,56615,1,EL,1,100,2021.599976
1706146417.514690,1532123.500,56632,2,EL,1,100,2011.599976
1706146417.581190,1532190.000,56632,2,EL,1,100,2009.800049
1706146417.648190,1532257.000,56649,1,EL,1,100,1989.000000
1706146417.714690,1532323.500,56666,2,EL,1,100,1989.199951
1706146417.781190,1532390.000,56666,2,EL,1,100,1976.800049
1706146417.848190,1532457.000,56682,1,EL,1,100,1965.800049
1706146417.914690,1532523.500,56702,2,EL,1,100,1970.000000
1706146417.981190,1532590.000,56702,2,EL,1,100,1968.400024
1706146418.048190,1532657.000,56718,1,EL,1,100,1974.000000
1706146418.114690,1532723.500,56735,2,EL,1,100,1964.800049
1706146418.181190,1532790.000,56735,2,EL,1,100,1964.599976
1706146418.248190,1532857.000,56751,1,EL,1,100,1957.199951
1706146418.314690,1532923.500,56771,2,EL,1,100,1940.400024
1706146418.381190,1532990.000,56771,2,EL,1,100,1941.199951
1706146418.448190,1533057.000,56789,1,EL,1,100,1943.199951
1706146418.514690,1533123.500,56805,2,EL,1,100,1948.599976
1706146418.581190,1533190.000,56805,2,EL,1,100,1952.800049
1706146418.648190,1533257.000,56821,1,EL,1,100,1944.000000
1706146418.714690,1533323.500,56838,2,EL,1,100,1935.400024
1706146418.781190,1533390.000,56838,2,EL,1,100,1914.800049
1706146418.848190,1533457.000,56854,1,EL,1,100,1913.599976
1706146418.914690,1533523.500,56873,2,EL,1,100,1918.599976
1706146418.981190,1533590.000,56873,2,EL,1,100,1925.199951
1706146419.047690,1533656.500,56888,2,EL,1,100,1926.400024
1706146419.114190,1533723.000,56888,2,EL,1,100,1933.400024
1706146419.181190,1533790.000,56905,1,EL,1,100,1933.599976
1706146419.247690,1533856.500,56924,2,EL,1,100,1934.599976
1706146419.314190,1533923.000,56924,2,EL,1,100,1929.000000
1706146419.381190,1533990.000,56941,1,EL,1,100,1914.199951
1706146419.447690,1534056.500,56957,2,EL,1,100,1909.199951
1706146419.514190,1534123.000,56957,2,EL,1,100,1916.599976
1706146419.581190,1534190.000,56974,1,EL,1,100,1912.800049
1706146419.647690,1534256.500,56991,2,EL,1,100,1906.000000
1706146419.714190,1534323.000,56991,2,EL,1,100,1903.400024
1706146419.781190,1534390.000,57008,1,EL,1,100,1892.199951
1706146419.847690,1534456.500,57024,2,EL,1,100,1903.400024
1706146419.914190,1534523.000,57024,2,EL,1,100,1915.400024
1706146419.981190,1534590.000,57042,1,EL,1,100,1907.800049
1706146420.047690,1534656.500,57060,2,EL,1,100,1902.000000
1706146420.114190,1534723.000,57060,2,EL,1,100,1906.599976
1706146420.181190,1534790.000,57077,1,EL,1,100,1907.599976
1706146420.247690,1534856.500,57092,2,EL,1,100,1913.800049
1706146420.314190,1534923.000,57092,2,EL,1,100,1904.199951
1706146420.381190,1534990.000,57109,1,EL,1,100,1900.599976
1706146420.447690,1535056.500,57127,2,EL,1,100,1907.400024
1706146420.514190,1535123.000,57127,2,EL,1,100,1894.800049
1706146420.581190,1535190.000,57144,1,EL,1,100,1894.800049
1706146420.647690,1535256.500,57159,2,EL,1,100,1901.199951
1706146420.714190,1535323.000,57159,2,EL,1,100,1882.800049
1706146420.781190,1535390.000,57176,1,EL,1,100,1875.599976
1706146420.847690,1535456.500,57196,2,EL,1,100,1889.000000
1706146420.914190,1535523.000,57196,2,EL,1,100,1882.199951
1706146420.981190,1535590.000,57214,1,EL,1,100,1880.400024
1706146421.047690,1535656.500,57229,2,EL,1,100,1878.199951
1706146421.114190,1535723.000,57229,2,EL,1,100,1866.000000
1706146421.181190,1535790.000,57245,2,EL,1,100,1849.800049
1706146421.248190,1535857.000,57245,2,EL,1,100,1852.000000
1706146421.314190,1535923.000,57262,1,EL,1,100,1849.199951
1706146421.381190,1535990.000,57281,2,EL,1,100,1861.800049
1706146421.448190,1536057.000,57281,2,EL,1,100,1860.400024
1706146421.514190,1536123.000,57297,1,EL,1,100,1845.000000
1706146421.581190,1536190.000,57315,2,EL,1,100,1846.000000
1706146421.648190,1536257.000,57315,2,EL,1,100,1847.000000
1706146421.714190,1536323.000,57333,1,EL,1,100,1844.199951
1706146421.780690,1536389.500,57354,2,EL,1,100,1840.400024
1706146421.847190,1536456.000,57354,2,EL,1,100,1842.199951
1706146421.914190,1536523.000,57370,1,EL,1,100,1835.199951
1706146421.980690,1536589.500,57386,2,EL,1,100,1834.800049
1706146422.047190,1536656.000,57386,2,EL,1,100,1828.599976
1706146422.114190,1536723.000,57402,1,EL,1,100,1819.400024
