LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1706146402.780191,1517389.000,54183,4,EM,1,100,RS
1706146402.780191,1517389.000,54183,4,EM,1,100,RB
1706146402.780191,1517389.000,54183,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146402.780191,1517389.000,54183,4,EM,1,100,PS
1706146402.830441,1517439.250,54216,4,EM,1,100,RS
1706146402.880691,1517489.500,54216,4,EM,1,100,RB
1706146402.930941,1517539.750,54216,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146402.981191,1517590.000,54216,4,EM,1,100,PS
1706146403.032191,1517641.000,54250,4,EM,1,100,RS
1706146403.083191,1517692.000,54250,4,EM,1,100,RB
1706146403.134191,1517743.000,54250,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146403.185191,1517794.000,54250,4,EM,1,100,PS
1706146403.235441,1517844.250,54283,4,EM,1,100,RS
1706146403.285691,1517894.500,54283,4,EM,1,100,RB
1706146403.335941,1517944.750,54283,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146403.386191,1517995.000,54283,4,EM,1,100,PS
1706146403.436441,1518045.250,54319,4,EM,1,100,RS
1706146403.486691,1518095.500,54319,4,EM,1,100,RB
1706146403.536941,1518145.750,54319,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146403.587191,1518196.000,54319,4,EM,1,100,PS
1706146403.637441,1518246.250,54353,4,EM,1,100,RS
1706146403.687691,1518296.500,54353,4,EM,1,100,RB
1706146403.737941,1518346.750,54353,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146403.788191,1518397.000,54353,4,EM,1,100,PS
1706146403.839441,1518448.250,54386,4,EM,1,100,RS
1706146403.890691,1518499.500,54386,4,EM,1,100,RB
1706146403.941941,1518550.750,54386,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146403.993191,1518602.000,54386,4,EM,1,100,PS
1706146404.043441,1518652.250,54418,4,EM,1,100,RS
1706146404.093691,1518702.500,54418,4,EM,1,100,RB
1706146404.143941,1518752.750,54418,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146404.194191,1518803.000,54418,4,EM,1,100,PS
1706146404.245441,1518854.250,54453,4,EM,1,100,RS
1706146404.296691,1518905.500,54453,4,EM,1,100,RB
1706146404.347941,1518956.750,54453,4,EM,1,100,2024-01-24_20-33-22-310542.csv
1706146404.399191,1519008.000,54453,4,EM,1,100,PS
1706146404.449441,1519058.250,54488,4,EM,1,100,RS
