LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1706146402.770191,1517379.000,54194,1,GX,1,100,-0.366
1706146402.810191,1517419.000,54210,2,GX,1,100,-0.336
1706146402.850191,1517459.000,54210,2,GX,1,100,-0.427
1706146402.885858,1517494.667,54228,3,GX,1,100,-0.580
1706146402.921525,1517530.333,54228,3,GX,1,100,-0.641
1706146402.957191,1517566.000,54228,3,GX,1,100,-0.702
1706146402.997191,1517606.000,54244,3,GX,1,100,-0.854
1706146403.037191,1517646.000,54244,3,GX,1,100,-1.038
1706146403.077191,1517686.000,54244,3,GX,1,100,-0.763
1706146403.117191,1517726.000,54263,2,GX,1,100,-0.732
1706146403.157191,1517766.000,54263,2,GX,1,100,-0.641
1706146403.197191,1517806.000,54277,3,GX,1,100,-0.275
1706146403.237191,1517846.000,54277,3,GX,1,100,-0.122
1706146403.277191,1517886.000,54277,3,GX,1,100,-0.061
1706146403.317191,1517926.000,54295,3,GX,1,100,-0.183
1706146403.357191,1517966.000,54295,3,GX,1,100,-0.336
1706146403.397191,1518006.000,54295,3,GX,1,100,-0.458
1706146403.437191,1518046.000,54313,2,GX,1,100,-0.397
1706146403.477191,1518086.000,54313,2,GX,1,100,-0.397
1706146403.517191,1518126.000,54332,3,GX,1,100,-0.275
1706146403.557191,1518166.000,54332,3,GX,1,100,-0.427
1706146403.597191,1518206.000,54332,3,GX,1,100,-0.336
1706146403.637191,1518246.000,54347,2,GX,1,100,-0.336
1706146403.677191,1518286.000,54347,2,GX,1,100,-0.366
1706146403.717191,1518326.000,54364,3,GX,1,100,-0.610
1706146403.757191,1518366.000,54364,3,GX,1,100,-0.610
1706146403.797191,1518406.000,54364,3,GX,1,100,-0.519
1706146403.837191,1518446.000,54380,2,GX,1,100,-0.336
1706146403.877191,1518486.000,54380,2,GX,1,100,-0.183
1706146403.917191,1518526.000,54398,3,GX,1,100,-0.336
1706146403.957191,1518566.000,54398,3,GX,1,100,-0.488
1706146403.997191,1518606.000,54398,3,GX,1,100,-0.427
1706146404.037191,1518646.000,54412,2,GX,1,100,-0.519
1706146404.077191,1518686.000,54412,2,GX,1,100,-0.610
1706146404.117191,1518726.000,54429,3,GX,1,100,-0.488
1706146404.157191,1518766.000,54429,3,GX,1,100,-0.366
1706146404.197191,1518806.000,54429,3,GX,1,100,-0.427
1706146404.237191,1518846.000,54447,2,GX,1,100,-0.549
1706146404.277191,1518886.000,54447,2,GX,1,100,-0.549
1706146404.317191,1518926.000,54467,3,GX,1,100,-0.488
1706146404.357191,1518966.000,54467,3,GX,1,100,-0.397
1706146404.397191,1519006.000,54467,3,GX,1,100,-0.610
1706146404.437191,1519046.000,54482,2,GX,1,100,-0.458
1706146404.477191,1519086.000,54482,2,GX,1,100,-0.305
1706146404.517191,1519126.000,54498,3,GX,1,100,-0.305
1706146404.557191,1519166.000,54498,3,GX,1,100,-0.244
1706146404.597191,1519206.000,54498,3,GX,1,100,-0.305
1706146404.637191,1519246.000,54515,3,GX,1,100,-0.427
1706146404.677191,1519286.000,54515,3,GX,1,100,-0.488
1706146404.717191,1519326.000,54515,3,GX,1,100,-0.397
1706146404.757191,1519366.000,54534,2,GX,1,100,-0.397
1706146404.797191,1519406.000,54534,2,GX,1,100,-0.458
1706146404.832525,1519441.333,54550,3,GX,1,100,-0.519
1706146404.867858,1519476.667,54550,3,GX,1,100,-0.397
1706146404.903191,1519512.000,54550,3,GX,1,100,-0.458
1706146404.943191,1519552.000,54566,2,GX,1,100,-0.549
1706146404.983191,1519592.000,54566,2,GX,1,100,-0.610
1706146405.023191,1519632.000,54584,3,GX,1,100,-0.702
1706146405.063191,1519672.000,54584,3,GX,1,100,-0.610
1706146405.103191,1519712.000,54584,3,GX,1,100,-0.580
1706146405.143191,1519752.000,54603,3,GX,1,100,-0.366
1706146405.183191,1519792.000,54603,3,GX,1,100,0.061
1706146405.223191,1519832.000,54603,3,GX,1,100,0.031
1706146405.263191,1519872.000,54620,2,GX,1,100,-0.244
1706146405.303191,1519912.000,54620,2,GX,1,100,-0.488
1706146405.343191,1519952.000,54637,3,GX,1,100,-0.702
1706146405.383191,1519992.000,54637,3,GX,1,100,-0.763
1706146405.423191,1520032.000,54637,3,GX,1,100,-0.671
1706146405.463191,1520072.000,54653,2,GX,1,100,-0.427
1706146405.503191,1520112.000,54653,2,GX,1,100,-0.366
1706146405.543191,1520152.000,54670,3,GX,1,100,-0.305
1706146405.583191,1520192.000,54670,3,GX,1,100,-0.305
1706146405.623191,1520232.000,54670,3,GX,1,100,-0.275
1706146405.663191,1520272.000,54687,2,GX,1,100,-0.244
1706146405.703191,1520312.000,54687,2,GX,1,100,-0.366
1706146405.743191,1520352.000,54702,3,GX,1,100,-0.336
1706146405.783191,1520392.000,54702,3,GX,1,100,-0.397
1706146405.823191,1520432.000,54702,3,GX,1,100,-0.305
1706146405.863191,1520472.000,54720,2,GX,1,100,-0.458
1706146405.903191,1520512.000,54720,2,GX,1,100,-0.397
1706146405.943191,1520552.000,54738,3,GX,1,100,-0.305
1706146405.983191,1520592.000,54738,3,GX,1,100,-0.519
1706146406.023191,1520632.000,54738,3,GX,1,100,-0.580
1706146406.063191,1520672.000,54754,2,GX,1,100,-0.732
1706146406.103191,1520712.000,54754,2,GX,1,100,-0.824
1706146406.143191,1520752.000,54769,3,GX,1,100,-0.580
1706146406.183191,1520792.000,54769,3,GX,1,100,-0.275
1706146406.223191,1520832.000,54769,3,GX,1,100,-0.397
1706146406.263191,1520872.000,54786,2,GX,1,100,-0.427
1706146406.303191,1520912.000,54786,2,GX,1,100,-0.488
1706146406.343191,1520952.000,54803,3,GX,1,100,-0.519
1706146406.383191,1520992.000,54803,3,GX,1,100,-0.549
1706146406.423191,1521032.000,54803,3,GX,1,100,-0.519
1706146406.463191,1521072.000,54819,3,GX,1,100,-0.519
1706146406.503191,1521112.000,54819,3,GX,1,100,-0.610
1706146406.543191,1521152.000,54819,3,GX,1,100,-0.580
1706146406.583191,1521192.000,54835,2,GX,1,100,-0.488
1706146406.623191,1521232.000,54835,2,GX,1,100,-0.427
1706146406.663191,1521272.000,54855,3,GX,1,100,-0.488
1706146406.703191,1521312.000,54855,3,GX,1,100,-0.519
1706146406.743191,1521352.000,54855,3,GX,1,100,-0.488
1706146406.783191,1521392.000,54874,2,GX,1,100,-0.519
1706146406.823191,1521432.000,54874,2,GX,1,100,-0.549
1706146406.858858,1521467.667,54890,3,GX,1,100,-0.427
1706146406.894524,1521503.333,54890,3,GX,1,100,-0.397
1706146406.930191,1521539.000,54890,3,GX,1,100,-0.397
1706146406.970191,1521579.000,54913,5,GX,1,100,-0.427
1706146407.010191,1521619.000,54913,5,GX,1,100,-0.519
1706146407.050191,1521659.000,54913,5,GX,1,100,-0.549
1706146407.090191,1521699.000,54913,5,GX,1,100,-0.397
1706146407.130191,1521739.000,54913,5,GX,1,100,-0.336
1706146407.170191,1521779.000,54930,2,GX,1,100,-0.397
1706146407.210191,1521819.000,54930,2,GX,1,100,-0.580
1706146407.250191,1521859.000,54947,3,GX,1,100,-0.549
1706146407.290191,1521899.000,54947,3,GX,1,100,-0.549
1706146407.330191,1521939.000,54947,3,GX,1,100,-0.244
1706146407.370191,1521979.000,54965,2,GX,1,100,-0.122
1706146407.410191,1522019.000,54965,2,GX,1,100,-0.305
1706146407.450191,1522059.000,54980,3,GX,1,100,-0.397
1706146407.490191,1522099.000,54980,3,GX,1,100,-0.458
1706146407.530191,1522139.000,54980,3,GX,1,100,-0.427
1706146407.570191,1522179.000,54997,3,GX,1,100,-0.305
1706146407.610191,1522219.000,54997,3,GX,1,100,-0.244
1706146407.650191,1522259.000,54997,3,GX,1,100,-0.366
1706146407.690191,1522299.000,55014,2,GX,1,100,-0.336
1706146407.730191,1522339.000,55014,2,GX,1,100,-0.336
1706146407.770191,1522379.000,55031,3,GX,1,100,-0.336
1706146407.810191,1522419.000,55031,3,GX,1,100,-0.336
1706146407.850191,1522459.000,55031,3,GX,1,100,-0.275
1706146407.890191,1522499.000,55045,2,GX,1,100,-0.336
1706146407.930191,1522539.000,55045,2,GX,1,100,-0.397
1706146407.970191,1522579.000,55065,3,GX,1,100,-0.427
1706146408.010191,1522619.000,55065,3,GX,1,100,-0.366
1706146408.050191,1522659.000,55065,3,GX,1,100,-0.275
1706146408.090191,1522699.000,55081,2,GX,1,100,-0.275
1706146408.130191,1522739.000,55081,2,GX,1,100,-0.336
1706146408.170191,1522779.000,55098,3,GX,1,100,-0.336
1706146408.210191,1522819.000,55098,3,GX,1,100,-0.336
1706146408.250191,1522859.000,55098,3,GX,1,100,-0.336
1706146408.290191,1522899.000,55113,2,GX,1,100,-0.366
1706146408.330191,1522939.000,55113,2,GX,1,100,-0.336
1706146408.370191,1522979.000,55130,3,GX,1,100,-0.305
1706146408.410191,1523019.000,55130,3,GX,1,100,-0.397
1706146408.450191,1523059.000,55130,3,GX,1,100,-0.336
1706146408.490191,1523099.000,55146,2,GX,1,100,-0.275
1706146408.530191,1523139.000,55146,2,GX,1,100,-0.366
1706146408.570191,1523179.000,55164,3,GX,1,100,-0.397
1706146408.610191,1523219.000,55164,3,GX,1,100,-0.275
1706146408.650191,1523259.000,55164,3,GX,1,100,-0.397
1706146408.683691,1523292.500,55178,2,GX,1,100,-0.580
1706146408.717191,1523326.000,55178,2,GX,1,100,-0.549
1706146408.756858,1523365.667,55197,3,GX,1,100,-0.549
1706146408.796524,1523405.333,55197,3,GX,1,100,-0.397
1706146408.836191,1523445.000,55197,3,GX,1,100,-0.183
1706146408.876191,1523485.000,55213,3,GX,1,100,-0.214
1706146408.916191,1523525.000,55213,3,GX,1,100,-0.366
1706146408.956191,1523565.000,55213,3,GX,1,100,-0.336
1706146408.996191,1523605.000,55231,2,GX,1,100,-0.214
1706146409.036191,1523645.000,55231,2,GX,1,100,-0.153
1706146409.076191,1523685.000,55245,3,GX,1,100,-0.244
1706146409.116191,1523725.000,55245,3,GX,1,100,-0.488
1706146409.156191,1523765.000,55245,3,GX,1,100,-0.366
1706146409.196191,1523805.000,55264,2,GX,1,100,-0.305
1706146409.236191,1523845.000,55264,2,GX,1,100,-0.336
1706146409.276191,1523885.000,55281,3,GX,1,100,-0.397
1706146409.316191,1523925.000,55281,3,GX,1,100,-0.275
1706146409.356191,1523965.000,55281,3,GX,1,100,-0.275
1706146409.396191,1524005.000,55298,3,GX,1,100,-0.244
1706146409.436191,1524045.000,55298,3,GX,1,100,-0.214
1706146409.476191,1524085.000,55298,3,GX,1,100,-0.336
1706146409.516191,1524125.000,55315,2,GX,1,100,-0.336
1706146409.556191,1524165.000,55315,2,GX,1,100,-0.305
1706146409.596191,1524205.000,55332,3,GX,1,100,-0.336
1706146409.636191,1524245.000,55332,3,GX,1,100,-0.458
1706146409.676191,1524285.000,55332,3,GX,1,100,-0.458
1706146409.716191,1524325.000,55350,2,GX,1,100,-0.458
1706146409.756191,1524365.000,55350,2,GX,1,100,-0.427
1706146409.796191,1524405.000,55367,3,GX,1,100,-0.336
1706146409.836191,1524445.000,55367,3,GX,1,100,-0.366
1706146409.876191,1524485.000,55367,3,GX,1,100,-0.305
1706146409.916191,1524525.000,55382,2,GX,1,100,-0.275
1706146409.956191,1524565.000,55382,2,GX,1,100,-0.275
1706146409.996191,1524605.000,55401,3,GX,1,100,-0.275
1706146410.036191,1524645.000,55401,3,GX,1,100,-0.305
1706146410.076191,1524685.000,55401,3,GX,1,100,-0.458
1706146410.116191,1524725.000,55419,2,GX,1,100,-0.580
1706146410.156191,1524765.000,55419,2,GX,1,100,-0.702
1706146410.196191,1524805.000,55436,3,GX,1,100,-0.702
1706146410.236191,1524845.000,55436,3,GX,1,100,-0.488
1706146410.276191,1524885.000,55436,3,GX,1,100,-0.153
1706146410.316191,1524925.000,55455,2,GX,1,100,-0.061
1706146410.356191,1524965.000,55455,2,GX,1,100,-0.183
1706146410.396191,1525005.000,55470,3,GX,1,100,-0.519
1706146410.436191,1525045.000,55470,3,GX,1,100,-0.580
1706146410.476191,1525085.000,55470,3,GX,1,100,-0.397
1706146410.516191,1525125.000,55486,3,GX,1,100,-0.183
1706146410.556191,1525165.000,55486,3,GX,1,100,-0.214
1706146410.596191,1525205.000,55486,3,GX,1,100,-0.153
1706146410.636191,1525245.000,55504,2,GX,1,100,-0.458
1706146410.676191,1525285.000,55504,2,GX,1,100,-0.671
1706146410.711858,1525320.667,55520,3,GX,1,100,-0.397
1706146410.747524,1525356.333,55520,3,GX,1,100,-0.092
1706146410.783191,1525392.000,55520,3,GX,1,100,-0.183
1706146410.823191,1525432.000,55535,2,GX,1,100,-0.305
1706146410.863191,1525472.000,55535,2,GX,1,100,-0.610
1706146410.903191,1525512.000,55552,3,GX,1,100,-0.488
1706146410.943191,1525552.000,55552,3,GX,1,100,-0.336
1706146410.983191,1525592.000,55552,3,GX,1,100,-0.214
1706146411.023191,1525632.000,55571,3,GX,1,100,-0.275
1706146411.063191,1525672.000,55571,3,GX,1,100,-0.397
1706146411.103191,1525712.000,55571,3,GX,1,100,-0.305
1706146411.143191,1525752.000,55589,2,GX,1,100,-0.183
1706146411.183191,1525792.000,55589,2,GX,1,100,-0.244
1706146411.223191,1525832.000,55604,3,GX,1,100,-0.305
1706146411.263191,1525872.000,55604,3,GX,1,100,-0.397
1706146411.303191,1525912.000,55604,3,GX,1,100,-0.366
1706146411.343191,1525952.000,55621,2,GX,1,100,-0.214
1706146411.383191,1525992.000,55621,2,GX,1,100,-0.275
1706146411.423191,1526032.000,55638,3,GX,1,100,-0.366
1706146411.463191,1526072.000,55638,3,GX,1,100,-0.366
1706146411.503191,1526112.000,55638,3,GX,1,100,-0.336
1706146411.543191,1526152.000,55654,2,GX,1,100,-0.275
1706146411.583191,1526192.000,55654,2,GX,1,100,-0.275
1706146411.623191,1526232.000,55671,3,GX,1,100,-0.305
1706146411.663191,1526272.000,55671,3,GX,1,100,-0.458
1706146411.703191,1526312.000,55671,3,GX,1,100,-0.458
1706146411.743191,1526352.000,55692,2,GX,1,100,-0.397
1706146411.783191,1526392.000,55692,2,GX,1,100,-0.275
1706146411.823191,1526432.000,55711,3,GX,1,100,-0.275
1706146411.863191,1526472.000,55711,3,GX,1,100,-0.336
1706146411.903191,1526512.000,55711,3,GX,1,100,-0.397
1706146411.943191,1526552.000,55728,2,GX,1,100,-0.366
1706146411.983191,1526592.000,55728,2,GX,1,100,-0.275
1706146412.023191,1526632.000,55745,3,GX,1,100,-0.305
1706146412.063191,1526672.000,55745,3,GX,1,100,-0.336
1706146412.103191,1526712.000,55745,3,GX,1,100,-0.336
1706146412.143191,1526752.000,55767,4,GX,1,100,-0.397
1706146412.183191,1526792.000,55767,4,GX,1,100,-0.305
1706146412.223191,1526832.000,55767,4,GX,1,100,-0.305
1706146412.263191,1526872.000,55767,4,GX,1,100,-0.336
1706146412.303191,1526912.000,55783,2,GX,1,100,-0.427
1706146412.343191,1526952.000,55783,2,GX,1,100,-0.427
1706146412.382857,1526991.667,55799,3,GX,1,100,-0.458
1706146412.422524,1527031.333,55799,3,GX,1,100,-0.305
1706146412.462191,1527071.000,55799,3,GX,1,100,-0.244
1706146412.502524,1527111.333,55819,3,GX,1,100,-0.305
1706146412.542857,1527151.667,55819,3,GX,1,100,-0.366
1706146412.583191,1527192.000,55819,3,GX,1,100,-0.244
1706146412.616691,1527225.500,55837,2,GX,1,100,-0.305
1706146412.650191,1527259.000,55837,2,GX,1,100,-0.458
1706146412.690191,1527299.000,55853,3,GX,1,100,-0.458
1706146412.730191,1527339.000,55853,3,GX,1,100,-0.336
1706146412.770191,1527379.000,55853,3,GX,1,100,-0.305
1706146412.809691,1527418.500,55868,2,GX,1,100,-0.275
1706146412.849191,1527458.000,55868,2,GX,1,100,-0.275
1706146412.889191,1527498.000,55885,3,GX,1,100,-0.336
1706146412.929191,1527538.000,55885,3,GX,1,100,-0.366
1706146412.969191,1527578.000,55885,3,GX,1,100,-0.305
1706146413.009191,1527618.000,55902,3,GX,1,100,-0.244
1706146413.049191,1527658.000,55902,3,GX,1,100,-0.336
1706146413.089191,1527698.000,55902,3,GX,1,100,-0.549
1706146413.129191,1527738.000,55920,2,GX,1,100,-0.397
1706146413.169191,1527778.000,55920,2,GX,1,100,-0.122
1706146413.209191,1527818.000,55940,4,GX,1,100,-0.031
1706146413.249191,1527858.000,55940,4,GX,1,100,-0.061
1706146413.289191,1527898.000,55940,4,GX,1,100,-0.214
1706146413.329191,1527938.000,55940,4,GX,1,100,-0.366
1706146413.369191,1527978.000,55956,3,GX,1,100,-0.458
1706146413.409191,1528018.000,55956,3,GX,1,100,-0.458
1706146413.449191,1528058.000,55956,3,GX,1,100,-0.610
1706146413.489191,1528098.000,55971,2,GX,1,100,-0.671
1706146413.529191,1528138.000,55971,2,GX,1,100,0.244
1706146413.569191,1528178.000,55990,3,GX,1,100,0.336
1706146413.609191,1528218.000,55990,3,GX,1,100,-0.458
1706146413.649191,1528258.000,55990,3,GX,1,100,-0.580
1706146413.689191,1528298.000,56007,2,GX,1,100,-0.580
1706146413.729191,1528338.000,56007,2,GX,1,100,-0.549
1706146413.769191,1528378.000,56023,3,GX,1,100,-0.488
1706146413.809191,1528418.000,56023,3,GX,1,100,-0.458
1706146413.849191,1528458.000,56023,3,GX,1,100,-0.366
1706146413.889191,1528498.000,56038,2,GX,1,100,-0.336
1706146413.929191,1528538.000,56038,2,GX,1,100,-0.336
1706146413.969191,1528578.000,56055,3,GX,1,100,-0.183
1706146414.009191,1528618.000,56055,3,GX,1,100,-0.275
1706146414.049191,1528658.000,56055,3,GX,1,100,-0.214
1706146414.089191,1528698.000,56072,2,GX,1,100,-0.244
1706146414.129191,1528738.000,56072,2,GX,1,100,-0.549
1706146414.169191,1528778.000,56090,3,GX,1,100,-0.763
1706146414.209191,1528818.000,56090,3,GX,1,100,-0.763
1706146414.249191,1528858.000,56090,3,GX,1,100,-0.366
1706146414.289191,1528898.000,56106,2,GX,1,100,0.031
1706146414.329191,1528938.000,56106,2,GX,1,100,-0.122
1706146414.369191,1528978.000,56124,3,GX,1,100,-0.336
1706146414.409191,1529018.000,56124,3,GX,1,100,-0.305
1706146414.449191,1529058.000,56124,3,GX,1,100,-0.427
1706146414.489191,1529098.000,56141,3,GX,1,100,-0.397
1706146414.529191,1529138.000,56141,3,GX,1,100,-0.336
1706146414.569191,1529178.000,56141,3,GX,1,100,-0.366
1706146414.604857,1529213.667,56160,3,GX,1,100,-0.366
1706146414.640524,1529249.333,56160,3,GX,1,100,-0.397
1706146414.676191,1529285.000,56160,3,GX,1,100,-0.366
1706146414.716191,1529325.000,56176,2,GX,1,100,-0.275
1706146414.756191,1529365.000,56176,2,GX,1,100,-0.275
1706146414.796191,1529405.000,56191,3,GX,1,100,-0.336
1706146414.836191,1529445.000,56191,3,GX,1,100,-0.519
1706146414.876191,1529485.000,56191,3,GX,1,100,-0.488
1706146414.916191,1529525.000,56208,2,GX,1,100,-0.336
1706146414.956191,1529565.000,56208,2,GX,1,100,-0.275
1706146414.996191,1529605.000,56227,3,GX,1,100,-0.183
1706146415.036191,1529645.000,56227,3,GX,1,100,-0.275
1706146415.076191,1529685.000,56227,3,GX,1,100,-0.366
1706146415.116191,1529725.000,56243,2,GX,1,100,-0.366
1706146415.156191,1529765.000,56243,2,GX,1,100,-0.275
1706146415.196191,1529805.000,56258,3,GX,1,100,-0.336
1706146415.236191,1529845.000,56258,3,GX,1,100,-0.488
1706146415.276191,1529885.000,56258,3,GX,1,100,-0.427
1706146415.316190,1529925.000,56276,2,GX,1,100,-0.305
1706146415.356191,1529965.000,56276,2,GX,1,100,-0.183
1706146415.396191,1530005.000,56292,3,GX,1,100,-0.336
1706146415.436191,1530045.000,56292,3,GX,1,100,-0.519
1706146415.476191,1530085.000,56292,3,GX,1,100,-0.397
1706146415.515691,1530124.500,56311,2,GX,1,100,-0.244
1706146415.555191,1530164.000,56311,2,GX,1,100,-0.122
1706146415.595524,1530204.333,56326,3,GX,1,100,-0.305
1706146415.635857,1530244.667,56326,3,GX,1,100,-0.488
1706146415.676191,1530285.000,56326,3,GX,1,100,-0.488
1706146415.716191,1530325.000,56343,2,GX,1,100,-0.427
1706146415.756191,1530365.000,56343,2,GX,1,100,-0.305
1706146415.795857,1530404.667,56361,3,GX,1,100,-0.244
1706146415.835524,1530444.333,56361,3,GX,1,100,-0.244
1706146415.875190,1530484.000,56361,3,GX,1,100,-0.305
1706146415.915524,1530524.333,56379,3,GX,1,100,-0.275
1706146415.955857,1530564.667,56379,3,GX,1,100,-0.275
1706146415.996191,1530605.000,56379,3,GX,1,100,-0.366
1706146416.035691,1530644.500,56393,2,GX,1,100,-0.305
1706146416.075191,1530684.000,56393,2,GX,1,100,-0.336
1706146416.115524,1530724.333,56410,3,GX,1,100,-0.275
1706146416.155857,1530764.667,56410,3,GX,1,100,-0.366
1706146416.196191,1530805.000,56410,3,GX,1,100,-0.427
1706146416.235691,1530844.500,56426,2,GX,1,100,-0.366
1706146416.275191,1530884.000,56426,2,GX,1,100,-0.366
1706146416.315191,1530924.000,56444,3,GX,1,100,-0.366
1706146416.355191,1530964.000,56444,3,GX,1,100,-0.366
1706146416.395190,1531004.000,56444,3,GX,1,100,-0.305
1706146416.429190,1531038.000,56460,2,GX,1,100,-0.336
1706146416.463191,1531072.000,56460,2,GX,1,100,-0.336
1706146416.503191,1531112.000,56477,3,GX,1,100,-0.275
1706146416.543190,1531152.000,56477,3,GX,1,100,-0.275
1706146416.583190,1531192.000,56477,3,GX,1,100,-0.305
1706146416.623190,1531232.000,56496,3,GX,1,100,-0.488
1706146416.663191,1531272.000,56496,3,GX,1,100,-0.488
1706146416.703191,1531312.000,56496,3,GX,1,100,-0.397
1706146416.743191,1531352.000,56517,2,GX,1,100,-0.244
1706146416.783190,1531392.000,56517,2,GX,1,100,-0.244
1706146416.822857,1531431.667,56531,3,GX,1,100,-0.336
1706146416.862524,1531471.333,56531,3,GX,1,100,-0.488
1706146416.902190,1531511.000,56531,3,GX,1,100,-0.336
1706146416.942190,1531551.000,56549,2,GX,1,100,-0.366
1706146416.982190,1531591.000,56549,2,GX,1,100,-0.305
1706146417.022191,1531631.000,56565,3,GX,1,100,-0.305
1706146417.062191,1531671.000,56565,3,GX,1,100,-0.336
1706146417.102190,1531711.000,56565,3,GX,1,100,-0.397
1706146417.142190,1531751.000,56582,2,GX,1,100,-0.366
1706146417.182190,1531791.000,56582,2,GX,1,100,-0.366
1706146417.222190,1531831.000,56605,5,GX,1,100,-0.275
1706146417.262190,1531871.000,56605,5,GX,1,100,-0.275
1706146417.302191,1531911.000,56605,5,GX,1,100,-0.366
1706146417.342191,1531951.000,56605,5,GX,1,100,-0.305
1706146417.382190,1531991.000,56605,5,GX,1,100,-0.275
1706146417.422190,1532031.000,56621,2,GX,1,100,-0.275
1706146417.462190,1532071.000,56621,2,GX,1,100,-0.305
1706146417.502190,1532111.000,56638,3,GX,1,100,-0.305
1706146417.542191,1532151.000,56638,3,GX,1,100,-0.549
1706146417.582191,1532191.000,56638,3,GX,1,100,-0.549
1706146417.622190,1532231.000,56653,2,GX,1,100,-0.366
1706146417.662190,1532271.000,56653,2,GX,1,100,-0.275
1706146417.702190,1532311.000,56672,3,GX,1,100,-0.153
1706146417.742190,1532351.000,56672,3,GX,1,100,-0.244
1706146417.782190,1532391.000,56672,3,GX,1,100,-0.397
