LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1706146403.424191,1518033,54302,1,HR,1,100,71
1706146404.264191,1518873,54436,1,HR,1,100,71
1706146405.157191,1519766,54592,1,HR,1,100,71
1706146405.917191,1520526,54709,1,HR,1,100,72
1706146406.837191,1521446,54863,1,HR,1,100,71
1706146407.437191,1522046,54955,1,HR,1,100,77
1706146407.997191,1522606,55053,1,HR,1,100,84
1706146408.810191,1523419,55186,1,HR,1,100,82
1706146409.490191,1524099,55305,1,HR,1,100,83
1706146410.170191,1524779,55408,1,HR,1,100,84
1706146411.010191,1525619,55560,1,HR,1,100,82
1706146411.730191,1526339,55680,1,HR,1,100,82
1706146412.530191,1527139,55806,1,HR,1,100,80
1706146413.343191,1527952,55928,1,HR,1,100,79
1706146414.223191,1528832,56079,1,HR,1,100,77
1706146415.023190,1529632,56215,1,HR,1,100,76
1706146415.863191,1530472,56350,1,HR,1,100,75
1706146416.703191,1531312,56484,1,HR,1,100,74
1706146417.716190,1532325,56661,1,HR,1,100,71
1706146418.316190,1532925,56765,1,HR,1,100,78
1706146419.236190,1533845,56918,1,HR,1,100,75
1706146420.076190,1534685,57055,1,HR,1,100,74
1706146420.929190,1535538,57189,1,HR,1,100,74
1706146421.769190,1536378,57347,1,HR,1,100,73
1706146422.649190,1537258,57486,1,HR,1,100,72
1706146423.449190,1538058,57623,1,HR,1,100,73
1706146424.169190,1538778,57746,1,HR,1,100,75
1706146425.062190,1539671,57900,1,HR,1,100,73
1706146425.942190,1540551,58036,1,HR,1,100,72
1706146426.742190,1541351,58175,1,HR,1,100,73
1706146427.662190,1542271,58334,1,HR,1,100,71
1706146428.502190,1543111,58469,1,HR,1,100,71
1706146429.275190,1543884,58607,1,HR,1,100,73
1706146429.995190,1544604,58725,1,HR,1,100,75
1706146430.835190,1545444,58866,1,HR,1,100,74
1706146431.555190,1546164,58987,1,HR,1,100,76
1706146432.275190,1546884,59107,1,HR,1,100,78
1706146433.008189,1547617,59231,1,HR,1,100,79
1706146433.848189,1548457,59370,1,HR,1,100,77
1706146434.608189,1549217,59506,1,HR,1,100,78
1706146435.447189,1550056,59643,1,HR,1,100,76
1706146436.247189,1550856,59777,1,HR,1,100,76
1706146437.021189,1551630,59901,1,HR,1,100,77
1706146437.941189,1552550,60057,1,HR,1,100,74
1706146438.701189,1553310,60177,1,HR,1,100,75
1706146439.581189,1554190,60328,1,HR,1,100,74
1706146440.380189,1554989,60463,1,HR,1,100,74
1706146441.234189,1555843,60599,1,HR,1,100,73
1706146442.033189,1556642,60739,1,HR,1,100,74
1706146442.913189,1557522,60900,1,HR,1,100,73
1706146443.713189,1558322,61019,1,HR,1,100,73
1706146444.513189,1559122,61156,1,HR,1,100,73
1706146445.207189,1559816,61274,1,HR,1,100,77
1706146446.046189,1560655,61409,1,HR,1,100,76
1706146446.846189,1561455,61551,1,HR,1,100,75
1706146447.646188,1562255,61685,1,HR,1,100,75
1706146448.566189,1563175,61825,1,HR,1,100,73
1706146449.380188,1563989,61960,1,HR,1,100,74
1706146450.179188,1564788,62098,1,HR,1,100,74
1706146451.059188,1565668,62238,1,HR,1,100,73
1706146451.899188,1566508,62396,1,HR,1,100,72
1706146452.619188,1567228,62513,1,HR,1,100,75
1706146453.312188,1567921,62623,1,HR,1,100,78
1706146454.152188,1568761,62760,1,HR,1,100,76
1706146454.912188,1569521,62896,1,HR,1,100,77
1706146455.632188,1570241,63018,1,HR,1,100,78
1706146457.045188,1571654,63252,1,HR,1,100,70
1706146457.885188,1572494,63386,1,HR,1,100,71
1706146458.805188,1573414,63542,1,HR,1,100,69
1706146459.685188,1574294,63676,1,HR,1,100,69
1706146460.365188,1574974,63795,1,HR,1,100,73
1706146461.298188,1575907,63945,1,HR,1,100,72
1706146462.138188,1576747,64082,1,HR,1,100,72
1706146462.978188,1577587,64233,1,HR,1,100,72
1706146463.898188,1578507,64375,1,HR,1,100,70
1706146464.671188,1579280,64514,1,HR,1,100,72
1706146465.471188,1580080,64648,1,HR,1,100,73
1706146466.191187,1580800,64765,1,HR,1,100,75
1706146467.071187,1581680,64904,1,HR,1,100,74
1706146467.951187,1582560,65053,1,HR,1,100,72
1706146468.724187,1583333,65181,1,HR,1,100,74
1706146469.484187,1584093,65317,1,HR,1,100,75
1706146470.244187,1584853,65437,1,HR,1,100,76
1706146471.084187,1585693,40,1,HR,1,100,75
1706146471.764187,1586373,159,1,HR,1,100,78
1706146472.577187,1587186,296,1,HR,1,100,77
1706146473.217187,1587826,415,1,HR,1,100,81
1706146474.297187,1588906,590,1,HR,1,100,75
1706146475.017187,1589626,711,1,HR,1,100,77
1706146475.937187,1590546,865,1,HR,1,100,74
1706146476.750187,1591359,1000,1,HR,1,100,75
1706146477.590187,1592199,1150,1,HR,1,100,74
1706146478.310187,1592919,1270,1,HR,1,100,76
1706146479.150187,1593759,1412,1,HR,1,100,75
1706146479.910187,1594519,1529,1,HR,1,100,76
1706146480.483187,1595092,1634,1,HR,1,100,83
1706146481.443187,1596052,1803,1,HR,1,100,78
1706146482.283186,1596892,1924,1,HR,1,100,77
1706146483.043186,1597652,2061,1,HR,1,100,77
1706146483.723186,1598332,2182,1,HR,1,100,80
1706146484.536186,1599145,2323,1,HR,1,100,79
1706146485.296186,1599905,2441,1,HR,1,100,79
1706146486.056186,1600665,2560,1,HR,1,100,79
1706146486.896186,1601505,2718,1,HR,1,100,77
1706146487.736186,1602345,2853,1,HR,1,100,76
1706146488.429186,1603038,2972,1,HR,1,100,79
1706146489.389186,1603998,3128,1,HR,1,100,75
1706146490.269186,1604878,3266,1,HR,1,100,74
1706146491.029186,1605638,3403,1,HR,1,100,75
1706146491.749186,1606358,3527,1,HR,1,100,77
1706146492.682186,1607291,3680,1,HR,1,100,74
1706146493.482186,1608091,3818,1,HR,1,100,74
1706146494.202186,1608811,3945,1,HR,1,100,76
1706146495.002186,1609611,4061,1,HR,1,100,76
1706146495.761186,1610370,4199,1,HR,1,100,77
1706146496.535186,1611144,4333,1,HR,1,100,77
1706146497.255186,1611864,4453,1,HR,1,100,79
1706146498.095186,1612704,4590,1,HR,1,100,77
1706146498.895185,1613504,4728,1,HR,1,100,77
1706146499.655185,1614264,4852,1,HR,1,100,77
1706146500.348185,1614957,4972,1,HR,1,100,80
1706146501.228185,1615837,5123,1,HR,1,100,77
1706146502.028185,1616637,5243,1,HR,1,100,77
1706146502.867185,1617476,5396,1,HR,1,100,75
1706146503.587185,1618196,5514,1,HR,1,100,77
1706146504.521185,1619130,5672,1,HR,1,100,75
1706146505.360185,1619969,5810,1,HR,1,100,74
1706146506.161185,1620770,5947,1,HR,1,100,74
1706146506.960185,1621569,6081,1,HR,1,100,74
1706146507.720185,1622329,6199,1,HR,1,100,75
1706146508.614185,1623223,6352,1,HR,1,100,74
1706146510.093185,1624702,6608,1,HR,1,100,66
1706146510.813185,1625422,6729,1,HR,1,100,70
1706146511.613185,1626222,6863,1,HR,1,100,71
1706146512.307185,1626916,6966,1,HR,1,100,75
1706146513.067185,1627676,7102,1,HR,1,100,76
1706146513.866185,1628475,7237,1,HR,1,100,76
1706146514.546185,1629155,7340,1,HR,1,100,78
1706146515.346184,1629955,7479,1,HR,1,100,78
1706146516.199184,1630808,7618,1,HR,1,100,76
1706146517.039184,1631648,7774,1,HR,1,100,75
1706146517.759184,1632368,7891,1,HR,1,100,77
1706146518.639184,1633248,8025,1,HR,1,100,75
1706146519.399184,1634008,8162,1,HR,1,100,76
1706146520.172184,1634781,8287,1,HR,1,100,77
1706146520.892184,1635501,8405,1,HR,1,100,78
1706146521.572184,1636181,8524,1,HR,1,100,80
1706146522.212184,1636821,8629,1,HR,1,100,83
1706146523.052184,1637661,8763,1,HR,1,100,81
1706146523.905184,1638514,8917,1,HR,1,100,79
1706146524.585184,1639194,9016,1,HR,1,100,81
1706146525.305184,1639914,9157,1,HR,1,100,81
1706146525.985184,1640594,9260,1,HR,1,100,83
1706146526.745184,1641354,9397,1,HR,1,100,82
1706146527.558184,1642167,9533,1,HR,1,100,80
1706146528.198184,1642807,9636,1,HR,1,100,83
1706146528.958184,1643567,9770,1,HR,1,100,82
1706146529.838184,1644447,9907,1,HR,1,100,79
1706146530.678184,1645287,10048,1,HR,1,100,78
1706146531.451184,1646060,10183,1,HR,1,100,78
1706146532.291183,1646900,10319,1,HR,1,100,76
1706146533.131183,1647740,10470,1,HR,1,100,75
1706146533.931183,1648540,10604,1,HR,1,100,75
1706146534.571183,1649180,10707,1,HR,1,100,79
1706146535.464183,1650073,10850,1,HR,1,100,77
1706146536.344183,1650953,10984,1,HR,1,100,75
1706146537.184183,1651793,11139,1,HR,1,100,74
1706146537.944183,1652553,11255,1,HR,1,100,75
1706146538.784183,1653393,11392,1,HR,1,100,74
1706146539.597183,1654206,11530,1,HR,1,100,75
1706146540.317183,1654926,11654,1,HR,1,100,76
1706146541.197183,1655806,11806,1,HR,1,100,75
1706146541.997183,1656606,11944,1,HR,1,100,75
1706146542.717183,1657326,12062,1,HR,1,100,77
1706146543.570183,1658179,12196,1,HR,1,100,75
1706146544.410183,1659019,12352,1,HR,1,100,75
1706146545.250183,1659859,12491,1,HR,1,100,74
1706146545.970183,1660579,12596,1,HR,1,100,76
1706146546.770183,1661379,12737,1,HR,1,100,76
1706146547.623183,1662232,12890,1,HR,1,100,75
1706146548.343183,1662952,13012,1,HR,1,100,77
1706146549.183182,1663792,13146,1,HR,1,100,76
1706146549.983182,1664592,13282,1,HR,1,100,75
1706146550.703182,1665312,13375,1,HR,1,100,77
1706146551.476182,1666085,13495,1,HR,1,100,78
1706146552.276182,1666885,13631,1,HR,1,100,77
1706146552.996182,1667605,13754,1,HR,1,100,78
1706146553.796182,1668405,13891,1,HR,1,100,78
1706146554.596182,1669205,14025,1,HR,1,100,77
1706146555.369182,1669978,14145,1,HR,1,100,77
1706146556.889182,1671498,14406,1,HR,1,100,69
1706146557.689182,1672298,14545,1,HR,1,100,70
1706146558.448182,1673057,14661,1,HR,1,100,72
1706146559.262182,1673871,14797,1,HR,1,100,73
1706146559.982182,1674591,14916,1,HR,1,100,75
1706146560.742182,1675351,15037,1,HR,1,100,76
1706146561.501182,1676110,15180,1,HR,1,100,77
1706146562.222182,1676831,15299,1,HR,1,100,78
1706146562.915182,1677524,15421,1,HR,1,100,80
1706146563.635182,1678244,15536,1,HR,1,100,81
1706146564.395181,1679004,15655,1,HR,1,100,81
1706146564.994181,1679603,15760,1,HR,1,100,85
1706146565.755182,1680364,15875,1,HR,1,100,84
1706146566.528181,1681137,15956,1,HR,1,100,83
1706146567.168181,1681777,16044,1,HR,1,100,85
1706146567.968181,1682577,16180,1,HR,1,100,83
1706146568.848181,1683457,16332,1,HR,1,100,80
1706146569.568181,1684177,16447,1,HR,1,100,80
1706146570.407181,1685016,16583,1,HR,1,100,78
1706146571.181181,1685790,16705,1,HR,1,100,79
1706146571.980181,1686589,16841,1,HR,1,100,78
1706146572.700181,1687309,16961,1,HR,1,100,79
1706146573.420181,1688029,17079,1,HR,1,100,80
1706146574.180181,1688789,17217,1,HR,1,100,80
1706146574.914181,1689523,17334,1,HR,1,100,81
1706146575.593181,1690202,17456,1,HR,1,100,82
1706146576.194181,1690803,17564,1,HR,1,100,86
1706146577.073181,1691682,17703,1,HR,1,100,82
1706146577.633181,1692242,17805,1,HR,1,100,88
1706146578.407181,1693016,17925,1,HR,1,100,86
1706146579.046181,1693655,18042,1,HR,1,100,88
1706146579.886181,1694495,18177,1,HR,1,100,84
1706146580.526181,1695135,18280,1,HR,1,100,86
1706146581.126180,1695735,18383,1,HR,1,100,89
1706146581.766181,1696375,18494,1,HR,1,100,90
1706146582.500180,1697109,18612,1,HR,1,100,89
1706146583.219180,1697828,18731,1,HR,1,100,88
1706146583.939180,1698548,18853,1,HR,1,100,87
1706146584.659180,1699268,18970,1,HR,1,100,86
1706146585.379180,1699988,19089,1,HR,1,100,85
1706146586.139180,1700748,19203,1,HR,1,100,84
1706146586.832180,1701441,19311,1,HR,1,100,85
1706146587.552180,1702161,19451,1,HR,1,100,85
1706146588.352180,1702961,19570,1,HR,1,100,82
1706146589.072180,1703681,19703,1,HR,1,100,83
1706146589.832180,1704441,19821,1,HR,1,100,82
1706146590.565180,1705174,19941,1,HR,1,100,82
1706146591.365180,1705974,20079,1,HR,1,100,81
1706146592.085180,1706694,20206,1,HR,1,100,81
1706146592.805180,1707414,20321,1,HR,1,100,82
1706146593.525180,1708134,20441,1,HR,1,100,82
1706146594.298180,1708907,20577,1,HR,1,100,81
1706146595.098180,1709707,20712,1,HR,1,100,80
1706146595.858180,1710467,20829,1,HR,1,100,80
1706146596.578180,1711187,20952,1,HR,1,100,81
1706146597.378180,1711987,21089,1,HR,1,100,79
1706146598.191180,1712800,21223,1,HR,1,100,78
