LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1706146402.784191,1517393.000,54186,1,PG,1,100,4919
1706146402.824191,1517433.000,54204,2,PG,1,100,4924
1706146402.864191,1517473.000,54204,2,PG,1,100,4957
1706146402.904191,1517513.000,54220,3,PG,1,100,4951
1706146402.944191,1517553.000,54220,3,PG,1,100,4941
1706146402.984191,1517593.000,54220,3,PG,1,100,4973
1706146403.024191,1517633.000,54236,2,PG,1,100,4962
1706146403.064191,1517673.000,54236,2,PG,1,100,4976
1706146403.104191,1517713.000,54255,3,PG,1,100,4982
1706146403.144191,1517753.000,54255,3,PG,1,100,4957
1706146403.184191,1517793.000,54255,3,PG,1,100,4943
1706146403.224191,1517833.000,54271,2,PG,1,100,4932
1706146403.264191,1517873.000,54271,2,PG,1,100,4941
1706146403.304191,1517913.000,54287,3,PG,1,100,4943
1706146403.344191,1517953.000,54287,3,PG,1,100,4929
1706146403.384191,1517993.000,54287,3,PG,1,100,4952
1706146403.424191,1518033.000,54305,2,PG,1,100,4929
1706146403.464191,1518073.000,54305,2,PG,1,100,4933
1706146403.504191,1518113.000,54324,3,PG,1,100,4938
1706146403.544191,1518153.000,54324,3,PG,1,100,4949
1706146403.584191,1518193.000,54324,3,PG,1,100,4963
1706146403.624191,1518233.000,54341,2,PG,1,100,4969
1706146403.664191,1518273.000,54341,2,PG,1,100,4975
1706146403.704191,1518313.000,54356,3,PG,1,100,4976
1706146403.744191,1518353.000,54356,3,PG,1,100,4985
1706146403.784191,1518393.000,54356,3,PG,1,100,4982
1706146403.824191,1518433.000,54372,2,PG,1,100,4997
1706146403.864191,1518473.000,54372,2,PG,1,100,5004
1706146403.904191,1518513.000,54390,3,PG,1,100,4997
1706146403.944191,1518553.000,54390,3,PG,1,100,4970
1706146403.984191,1518593.000,54390,3,PG,1,100,4961
1706146404.024191,1518633.000,54406,3,PG,1,100,4960
1706146404.064191,1518673.000,54406,3,PG,1,100,4952
1706146404.104191,1518713.000,54406,3,PG,1,100,4963
1706146404.144191,1518753.000,54421,2,PG,1,100,4971
1706146404.184191,1518793.000,54421,2,PG,1,100,4951
1706146404.224191,1518833.000,54439,3,PG,1,100,4966
1706146404.264191,1518873.000,54439,3,PG,1,100,4963
1706146404.304191,1518913.000,54439,3,PG,1,100,4963
1706146404.344191,1518953.000,54459,2,PG,1,100,4976
1706146404.384191,1518993.000,54459,2,PG,1,100,4970
1706146404.424191,1519033.000,54475,3,PG,1,100,4983
1706146404.464191,1519073.000,54475,3,PG,1,100,4986
1706146404.504191,1519113.000,54475,3,PG,1,100,4996
1706146404.544191,1519153.000,54491,2,PG,1,100,4988
1706146404.584191,1519193.000,54491,2,PG,1,100,5010
1706146404.624191,1519233.000,54507,3,PG,1,100,5016
1706146404.664191,1519273.000,54507,3,PG,1,100,4990
1706146404.704191,1519313.000,54507,3,PG,1,100,4979
1706146404.750691,1519359.500,54526,2,PG,1,100,4971
1706146404.797191,1519406.000,54526,2,PG,1,100,4958
1706146404.837191,1519446.000,54542,3,PG,1,100,4971
1706146404.877191,1519486.000,54542,3,PG,1,100,4976
1706146404.917191,1519526.000,54542,3,PG,1,100,4974
1706146404.957191,1519566.000,54560,2,PG,1,100,4968
1706146404.997191,1519606.000,54560,2,PG,1,100,4978
1706146405.037191,1519646.000,54576,3,PG,1,100,4972
1706146405.077191,1519686.000,54576,3,PG,1,100,4964
1706146405.117191,1519726.000,54576,3,PG,1,100,4976
1706146405.157191,1519766.000,54595,2,PG,1,100,4978
1706146405.197191,1519806.000,54595,2,PG,1,100,4981
1706146405.237191,1519846.000,54612,3,PG,1,100,4995
1706146405.277191,1519886.000,54612,3,PG,1,100,4991
1706146405.317191,1519926.000,54612,3,PG,1,100,5005
1706146405.357191,1519966.000,54631,2,PG,1,100,5013
1706146405.397191,1520006.000,54631,2,PG,1,100,5001
1706146405.437191,1520046.000,54645,3,PG,1,100,4977
1706146405.477191,1520086.000,54645,3,PG,1,100,4956
1706146405.517191,1520126.000,54645,3,PG,1,100,4963
1706146405.557191,1520166.000,54662,2,PG,1,100,4941
1706146405.597191,1520206.000,54662,2,PG,1,100,4940
1706146405.637191,1520246.000,54679,3,PG,1,100,4945
1706146405.677191,1520286.000,54679,3,PG,1,100,4941
1706146405.717191,1520326.000,54679,3,PG,1,100,4944
1706146405.757191,1520366.000,54696,2,PG,1,100,4954
1706146405.797191,1520406.000,54696,2,PG,1,100,4938
1706146405.837191,1520446.000,54712,3,PG,1,100,4933
1706146405.877191,1520486.000,54712,3,PG,1,100,4960
1706146405.917191,1520526.000,54712,3,PG,1,100,4950
1706146405.957191,1520566.000,54730,2,PG,1,100,4957
1706146405.997191,1520606.000,54730,2,PG,1,100,4955
1706146406.037191,1520646.000,54746,3,PG,1,100,4945
1706146406.077191,1520686.000,54746,3,PG,1,100,4988
1706146406.117191,1520726.000,54746,3,PG,1,100,4980
1706146406.157191,1520766.000,54763,3,PG,1,100,4946
1706146406.197191,1520806.000,54763,3,PG,1,100,4930
1706146406.237191,1520846.000,54763,3,PG,1,100,4930
1706146406.277191,1520886.000,54778,2,PG,1,100,4924
1706146406.317191,1520926.000,54778,2,PG,1,100,4910
1706146406.357191,1520966.000,54795,3,PG,1,100,4920
1706146406.397191,1521006.000,54795,3,PG,1,100,4928
1706146406.437191,1521046.000,54795,3,PG,1,100,4911
1706146406.477191,1521086.000,54811,2,PG,1,100,4904
1706146406.517191,1521126.000,54811,2,PG,1,100,4919
1706146406.557191,1521166.000,54828,3,PG,1,100,4918
1706146406.597191,1521206.000,54828,3,PG,1,100,4927
1706146406.637191,1521246.000,54828,3,PG,1,100,4926
1706146406.677191,1521286.000,54848,2,PG,1,100,4920
1706146406.717191,1521326.000,54848,2,PG,1,100,4913
1706146406.757191,1521366.000,54866,3,PG,1,100,4939
1706146406.797191,1521406.000,54866,3,PG,1,100,4952
1706146406.837191,1521446.000,54866,3,PG,1,100,4961
1706146406.877191,1521486.000,54882,2,PG,1,100,4952
1706146406.917191,1521526.000,54882,2,PG,1,100,4941
1706146406.957191,1521566.000,54905,5,PG,1,100,4902
1706146406.997191,1521606.000,54905,5,PG,1,100,4903
1706146407.037191,1521646.000,54905,5,PG,1,100,4904
1706146407.077191,1521686.000,54905,5,PG,1,100,4895
1706146407.117191,1521726.000,54905,5,PG,1,100,4910
1706146407.157191,1521766.000,54922,3,PG,1,100,4897
1706146407.197191,1521806.000,54922,3,PG,1,100,4893
1706146407.237191,1521846.000,54922,3,PG,1,100,4891
1706146407.277191,1521886.000,54939,2,PG,1,100,4907
1706146407.317191,1521926.000,54939,2,PG,1,100,4901
1706146407.357191,1521966.000,54958,3,PG,1,100,4914
1706146407.397191,1522006.000,54958,3,PG,1,100,4920
1706146407.437191,1522046.000,54958,3,PG,1,100,4920
1706146407.477191,1522086.000,54973,2,PG,1,100,4917
1706146407.517191,1522126.000,54973,2,PG,1,100,4922
1706146407.557191,1522166.000,54989,3,PG,1,100,4935
1706146407.597191,1522206.000,54989,3,PG,1,100,4933
1706146407.637191,1522246.000,54989,3,PG,1,100,4909
1706146407.677191,1522286.000,55006,2,PG,1,100,4897
1706146407.717191,1522326.000,55006,2,PG,1,100,4877
1706146407.757191,1522366.000,55023,3,PG,1,100,4889
1706146407.797191,1522406.000,55023,3,PG,1,100,4881
1706146407.837191,1522446.000,55023,3,PG,1,100,4878
1706146407.877191,1522486.000,55039,2,PG,1,100,4884
1706146407.917191,1522526.000,55039,2,PG,1,100,4879
1706146407.957191,1522566.000,55057,3,PG,1,100,4870
1706146407.997191,1522606.000,55057,3,PG,1,100,4872
1706146408.037191,1522646.000,55057,3,PG,1,100,4879
1706146408.077191,1522686.000,55073,2,PG,1,100,4883
1706146408.117191,1522726.000,55073,2,PG,1,100,4881
1706146408.157191,1522766.000,55090,3,PG,1,100,4900
1706146408.197191,1522806.000,55090,3,PG,1,100,4907
1706146408.237191,1522846.000,55090,3,PG,1,100,4895
1706146408.277191,1522886.000,55107,3,PG,1,100,4889
1706146408.317191,1522926.000,55107,3,PG,1,100,4858
1706146408.357191,1522966.000,55107,3,PG,1,100,4862
1706146408.397191,1523006.000,55122,2,PG,1,100,4853
1706146408.437191,1523046.000,55122,2,PG,1,100,4858
1706146408.477191,1523086.000,55138,3,PG,1,100,4839
1706146408.517191,1523126.000,55138,3,PG,1,100,4842
1706146408.557191,1523166.000,55138,3,PG,1,100,4838
1706146408.597191,1523206.000,55156,2,PG,1,100,4830
1706146408.637191,1523246.000,55156,2,PG,1,100,4838
1706146408.677191,1523286.000,55172,2,PG,1,100,4848
1706146408.717191,1523326.000,55172,2,PG,1,100,4840
1706146408.761524,1523370.333,55189,3,PG,1,100,4853
1706146408.805858,1523414.667,55189,3,PG,1,100,4854
1706146408.850191,1523459.000,55189,3,PG,1,100,4845
1706146408.890191,1523499.000,55205,2,PG,1,100,4867
1706146408.930191,1523539.000,55205,2,PG,1,100,4877
1706146408.970191,1523579.000,55223,3,PG,1,100,4860
1706146409.010191,1523619.000,55223,3,PG,1,100,4834
1706146409.050191,1523659.000,55223,3,PG,1,100,4823
