LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1706146402.784191,1517393.000,54184,1,PI,1,100,168556
1706146402.824191,1517433.000,54202,2,PI,1,100,168580
1706146402.864191,1517473.000,54202,2,PI,1,100,168604
1706146402.904191,1517513.000,54218,3,PI,1,100,168623
1706146402.944191,1517553.000,54218,3,PI,1,100,168641
1706146402.984191,1517593.000,54218,3,PI,1,100,168651
1706146403.024191,1517633.000,54234,2,PI,1,100,168704
1706146403.064191,1517673.000,54234,2,PI,1,100,168703
1706146403.104191,1517713.000,54253,3,PI,1,100,168726
1706146403.144191,1517753.000,54253,3,PI,1,100,168678
1706146403.184191,1517793.000,54253,3,PI,1,100,168663
1706146403.224191,1517833.000,54269,2,PI,1,100,168662
1706146403.264191,1517873.000,54269,2,PI,1,100,168649
1706146403.304191,1517913.000,54285,3,PI,1,100,168656
1706146403.344191,1517953.000,54285,3,PI,1,100,168676
1706146403.384191,1517993.000,54285,3,PI,1,100,168663
1706146403.424191,1518033.000,54303,2,PI,1,100,168675
1706146403.464191,1518073.000,54303,2,PI,1,100,168695
1706146403.504191,1518113.000,54322,3,PI,1,100,168685
1706146403.544191,1518153.000,54322,3,PI,1,100,168710
1706146403.584191,1518193.000,54322,3,PI,1,100,168725
1706146403.624191,1518233.000,54339,2,PI,1,100,168726
1706146403.664191,1518273.000,54339,2,PI,1,100,168731
1706146403.704191,1518313.000,54354,3,PI,1,100,168736
1706146403.744191,1518353.000,54354,3,PI,1,100,168767
1706146403.784191,1518393.000,54354,3,PI,1,100,168798
1706146403.824191,1518433.000,54370,2,PI,1,100,168806
1706146403.864191,1518473.000,54370,2,PI,1,100,168810
1706146403.904191,1518513.000,54388,3,PI,1,100,168760
1706146403.944191,1518553.000,54388,3,PI,1,100,168756
1706146403.984191,1518593.000,54388,3,PI,1,100,168744
1706146404.024191,1518633.000,54404,3,PI,1,100,168735
1706146404.064191,1518673.000,54404,3,PI,1,100,168727
1706146404.104191,1518713.000,54404,3,PI,1,100,168750
1706146404.144191,1518753.000,54419,2,PI,1,100,168749
1706146404.184191,1518793.000,54419,2,PI,1,100,168736
1706146404.224191,1518833.000,54437,3,PI,1,100,168756
1706146404.264191,1518873.000,54437,3,PI,1,100,168756
1706146404.304191,1518913.000,54437,3,PI,1,100,168746
1706146404.344191,1518953.000,54457,2,PI,1,100,168773
1706146404.384191,1518993.000,54457,2,PI,1,100,168764
1706146404.424191,1519033.000,54473,3,PI,1,100,168789
1706146404.464191,1519073.000,54473,3,PI,1,100,168770
1706146404.504191,1519113.000,54473,3,PI,1,100,168796
1706146404.544191,1519153.000,54489,2,PI,1,100,168825
