LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1706146402.784191,1517393.000,54185,1,PR,1,100,92623
1706146402.824191,1517433.000,54203,2,PR,1,100,92627
1706146402.864191,1517473.000,54203,2,PR,1,100,92637
1706146402.904191,1517513.000,54219,3,PR,1,100,92644
1706146402.944191,1517553.000,54219,3,PR,1,100,92663
1706146402.984191,1517593.000,54219,3,PR,1,100,92650
1706146403.024191,1517633.000,54235,2,PR,1,100,92672
1706146403.064191,1517673.000,54235,2,PR,1,100,92686
1706146403.104191,1517713.000,54254,3,PR,1,100,92691
1706146403.144191,1517753.000,54254,3,PR,1,100,92682
1706146403.184191,1517793.000,54254,3,PR,1,100,92664
1706146403.224191,1517833.000,54270,2,PR,1,100,92678
1706146403.264191,1517873.000,54270,2,PR,1,100,92675
1706146403.304191,1517913.000,54286,3,PR,1,100,92688
1706146403.344191,1517953.000,54286,3,PR,1,100,92669
1706146403.384191,1517993.000,54286,3,PR,1,100,92652
1706146403.424191,1518033.000,54304,2,PR,1,100,92677
1706146403.464191,1518073.000,54304,2,PR,1,100,92668
1706146403.504191,1518113.000,54323,3,PR,1,100,92694
1706146403.544191,1518153.000,54323,3,PR,1,100,92688
1706146403.584191,1518193.000,54323,3,PR,1,100,92692
1706146403.624191,1518233.000,54340,2,PR,1,100,92692
1706146403.664191,1518273.000,54340,2,PR,1,100,92697
1706146403.704191,1518313.000,54355,3,PR,1,100,92686
1706146403.744191,1518353.000,54355,3,PR,1,100,92708
1706146403.784191,1518393.000,54355,3,PR,1,100,92714
1706146403.824191,1518433.000,54371,2,PR,1,100,92711
1706146403.864191,1518473.000,54371,2,PR,1,100,92704
1706146403.904191,1518513.000,54389,3,PR,1,100,92700
1706146403.944191,1518553.000,54389,3,PR,1,100,92694
1706146403.984191,1518593.000,54389,3,PR,1,100,92702
1706146404.024191,1518633.000,54405,3,PR,1,100,92702
1706146404.064191,1518673.000,54405,3,PR,1,100,92697
1706146404.104191,1518713.000,54405,3,PR,1,100,92688
1706146404.144191,1518753.000,54420,2,PR,1,100,92697
1706146404.184191,1518793.000,54420,2,PR,1,100,92693
1706146404.224191,1518833.000,54438,3,PR,1,100,92692
1706146404.264191,1518873.000,54438,3,PR,1,100,92681
1706146404.304191,1518913.000,54438,3,PR,1,100,92702
1706146404.344191,1518953.000,54458,2,PR,1,100,92694
1706146404.384191,1518993.000,54458,2,PR,1,100,92684
1706146404.424191,1519033.000,54474,3,PR,1,100,92691
1706146404.464191,1519073.000,54474,3,PR,1,100,92703
1706146404.504191,1519113.000,54474,3,PR,1,100,92710
1706146404.544191,1519153.000,54490,2,PR,1,100,92708
1706146404.584191,1519193.000,54490,2,PR,1,100,92697
1706146404.624191,1519233.000,54506,3,PR,1,100,92698
1706146404.664191,1519273.000,54506,3,PR,1,100,92711
1706146404.704191,1519313.000,54506,3,PR,1,100,92691
1706146404.750691,1519359.500,54525,2,PR,1,100,92683
1706146404.797191,1519406.000,54525,2,PR,1,100,92697
1706146404.837191,1519446.000,54541,3,PR,1,100,92691
1706146404.877191,1519486.000,54541,3,PR,1,100,92686
1706146404.917191,1519526.000,54541,3,PR,1,100,92682
1706146404.957191,1519566.000,54559,2,PR,1,100,92690
1706146404.997191,1519606.000,54559,2,PR,1,100,92696
1706146405.037191,1519646.000,54575,3,PR,1,100,92700
1706146405.077191,1519686.000,54575,3,PR,1,100,92694
1706146405.117191,1519726.000,54575,3,PR,1,100,92671
1706146405.157191,1519766.000,54594,2,PR,1,100,92683
1706146405.197191,1519806.000,54594,2,PR,1,100,92693
1706146405.237191,1519846.000,54611,3,PR,1,100,92675
1706146405.277191,1519886.000,54611,3,PR,1,100,92698
1706146405.317191,1519926.000,54611,3,PR,1,100,92710
1706146405.357191,1519966.000,54630,2,PR,1,100,92705
1706146405.397191,1520006.000,54630,2,PR,1,100,92687
1706146405.437191,1520046.000,54644,3,PR,1,100,92683
1706146405.477191,1520086.000,54644,3,PR,1,100,92685
1706146405.517191,1520126.000,54644,3,PR,1,100,92679
1706146405.557191,1520166.000,54661,2,PR,1,100,92680
1706146405.597191,1520206.000,54661,2,PR,1,100,92677
1706146405.637191,1520246.000,54678,3,PR,1,100,92663
