LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1706146407.034191,1521643.000,54899,2,RD,1,100,TL
1706146407.034191,1521643.000,54899,2,RD,1,100,TU
1706146409.600191,1524209.000,55753,2,RD,1,100,TL
1706146412.166191,1526775.000,55753,2,RD,1,100,TU
1706146414.721691,1529330.500,56590,2,RD,1,100,TL
1706146417.277190,1531886.000,56590,2,RD,1,100,TU
1706146419.840690,1534449.500,57450,2,RD,1,100,TL
1706146422.404190,1537013.000,57450,2,RD,1,100,TU
1706146424.964190,1539573.000,58313,2,RD,1,100,TL
1706146427.524190,1542133.000,58313,2,RD,1,100,TU
1706146430.093190,1544702.000,59176,2,RD,1,100,TL
1706146432.662189,1547271.000,59176,2,RD,1,100,TU
1706146435.229689,1549838.500,60036,2,RD,1,100,TL
1706146437.797189,1552406.000,60036,2,RD,1,100,TU
1706146440.359689,1554968.500,60895,2,RD,1,100,TL
1706146442.922189,1557531.000,60895,2,RD,1,100,TU
1706146445.474689,1560083.500,61738,2,RD,1,100,TL
1706146448.027189,1562636.000,61738,2,RD,1,100,TU
1706146450.587688,1565196.500,62602,2,RD,1,100,TL
1706146453.148188,1567757.000,62602,2,RD,1,100,TU
1706146455.712188,1570321.000,63455,2,RD,1,100,TL
1706146458.276188,1572885.000,63455,2,RD,1,100,TU
1706146460.843688,1575452.500,64305,2,RD,1,100,TL
1706146463.411188,1578020.000,64305,2,RD,1,100,TU
1706146465.977688,1580586.500,65159,2,RD,1,100,TL
1706146468.544187,1583153.000,65159,2,RD,1,100,TU
1706146471.098687,1585707.500,484,2,RD,1,100,TL
1706146473.653187,1588262.000,484,2,RD,1,100,TU
1706146476.206187,1590815.000,1343,2,RD,1,100,TL
1706146478.759187,1593368.000,1343,2,RD,1,100,TU
1706146481.315187,1595924.000,2199,2,RD,1,100,TL
1706146483.871186,1598480.000,2199,2,RD,1,100,TU
1706146486.424686,1601033.500,3058,2,RD,1,100,TL
1706146488.978186,1603587.000,3058,2,RD,1,100,TU
1706146491.548686,1606157.500,3924,2,RD,1,100,TL
1706146494.119186,1608728.000,3924,2,RD,1,100,TU
1706146496.676686,1611285.500,4781,2,RD,1,100,TL
1706146499.234185,1613843.000,4781,2,RD,1,100,TU
1706146501.788685,1616397.500,5636,2,RD,1,100,TL
1706146504.343185,1618952.000,5636,2,RD,1,100,TU
1706146506.899185,1621508.000,6490,2,RD,1,100,TL
1706146509.455185,1624064.000,6490,2,RD,1,100,TU
1706146512.025685,1626634.500,7359,2,RD,1,100,TL
1706146514.596184,1629205.000,7359,2,RD,1,100,TU
1706146517.152684,1631761.500,8216,2,RD,1,100,TL
1706146519.709184,1634318.000,8216,2,RD,1,100,TU
1706146522.264684,1636873.500,9071,2,RD,1,100,TL
1706146524.820184,1639429.000,9071,2,RD,1,100,TU
1706146527.373684,1641982.500,9926,2,RD,1,100,TL
1706146529.927184,1644536.000,9926,2,RD,1,100,TU
1706146532.482683,1647091.500,10777,2,RD,1,100,TL
1706146535.038183,1649647.000,10777,2,RD,1,100,TU
1706146537.607683,1652216.500,11633,2,RD,1,100,TL
1706146540.177183,1654786.000,11633,2,RD,1,100,TU
1706146542.728683,1657337.500,12487,2,RD,1,100,TL
1706146545.280183,1659889.000,12487,2,RD,1,100,TU
1706146547.916183,1662525.000,13353,2,RD,1,100,TL
1706146550.552182,1665161.000,13353,2,RD,1,100,TU
1706146553.109182,1667718.000,14202,2,RD,1,100,TL
1706146555.666182,1670275.000,14202,2,RD,1,100,TU
1706146558.222682,1672831.500,15054,2,RD,1,100,TL
1706146560.779182,1675388.000,15054,2,RD,1,100,TU
1706146563.330682,1677939.500,15897,2,RD,1,100,TL
1706146565.882181,1680491.000,15897,2,RD,1,100,TU
1706146568.447681,1683056.500,16684,2,RD,1,100,TL
1706146571.013181,1685622.000,16684,2,RD,1,100,TU
1706146573.577181,1688186.000,17543,2,RD,1,100,TL
1706146576.141181,1690750.000,17543,2,RD,1,100,TU
1706146578.694681,1693303.500,18403,2,RD,1,100,TL
1706146581.248180,1695857.000,18403,2,RD,1,100,TU
1706146583.802180,1698411.000,19238,2,RD,1,100,TL
1706146586.356180,1700965.000,19238,2,RD,1,100,TU
1706146588.909680,1703518.500,20098,2,RD,1,100,TL
1706146591.463180,1706072.000,20098,2,RD,1,100,TU
1706146594.017180,1708626.000,20948,2,RD,1,100,TL
1706146596.571180,1711180.000,20948,2,RD,1,100,TU
