LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1706146402.450191,1517059,54200,1,SA,1,100,0.000162
1706146403.049191,1517658,54251,1,SA,1,100,0.000021
1706146403.383191,1517992,54320,1,SA,1,100,0.000032
1706146404.117191,1518726,54454,1,SA,1,100,0.000073
1706146404.517191,1519126,54522,1,SA,1,100,0.000033
1706146404.783191,1519392,54572,1,SA,1,100,0.000057
1706146405.250191,1519859,54627,1,SA,1,100,0.000046
1706146405.850191,1520459,54843,1,SA,1,100,0.000498
1706146408.983191,1523592,55252,1,SA,1,100,0.000006
1706146409.249191,1523858,55338,1,SA,1,100,0.000136
1706146409.783191,1524392,55389,1,SA,1,100,0.000038
1706146410.182191,1524791,55442,1,SA,1,100,0.000031
1706146410.516191,1525125,55577,1,SA,1,100,0.000231
1706146411.582191,1526191,55681,1,SA,1,100,0.000012
1706146411.782191,1526391,55699,1,SA,1,100,0.000015
1706146412.382191,1526991,55807,1,SA,1,100,0.000033
1706146412.916191,1527525,55908,1,SA,1,100,0.000066
1706146413.249191,1527858,55977,1,SA,1,100,0.000099
1706146414.115191,1528724,56112,1,SA,1,100,0.000008
1706146414.448191,1529057,56147,1,SA,1,100,0.000051
1706146415.182191,1529791,56299,1,SA,1,100,0.000326
1706146416.315191,1530924,56450,1,SA,1,100,0.000004
1706146416.515191,1531124,56505,1,SA,1,100,0.000119
1706146417.315191,1531924,56695,1,SA,1,100,0.000154
1706146418.048190,1532657,56729,1,SA,1,100,0.000028
1706146418.248190,1532857,56783,1,SA,1,100,0.000048
1706146418.648190,1533257,56866,1,SA,1,100,0.000091
1706146419.381190,1533990,56951,1,SA,1,100,0.000015
1706146419.581190,1534190,57018,1,SA,1,100,0.000062
1706146420.314190,1534923,57121,1,SA,1,100,0.000011
1706146420.714190,1535323,57190,1,SA,1,100,0.000022
1706146420.914190,1535523,57275,1,SA,1,100,0.000100
1706146421.448190,1536057,57308,1,SA,1,100,0.000044
1706146421.714190,1536323,57348,1,SA,1,100,0.000012
1706146422.047190,1536656,57415,1,SA,1,100,0.000028
1706146422.247190,1536856,57488,1,SA,1,100,0.000114
1706146423.048190,1537657,57571,1,SA,1,100,0.000031
1706146423.248190,1537857,57624,1,SA,1,100,0.000034
1706146423.514190,1538123,57660,1,SA,1,100,0.000041
1706146423.781190,1538390,57727,1,SA,1,100,0.000041
1706146424.381190,1538990,57812,1,SA,1,100,0.000024
1706146424.648190,1539257,57863,1,SA,1,100,0.000071
1706146425.114190,1539723,57915,1,SA,1,100,0.000037
1706146425.314190,1539923,58000,1,SA,1,100,0.000041
1706146425.781190,1540390,58037,1,SA,1,100,0.000050
1706146425.981190,1540590,58087,1,SA,1,100,0.000082
1706146426.447190,1541056,58176,1,SA,1,100,0.000072
1706146426.780190,1541389,58243,1,SA,1,100,0.000106
1706146427.180190,1541789,58277,1,SA,1,100,0.000016
1706146427.447190,1542056,58353,1,SA,1,100,0.000093
1706146428.247190,1542856,58470,1,SA,1,100,0.000032
1706146428.581190,1543190,58506,1,SA,1,100,0.000029
1706146428.781190,1543390,58588,1,SA,1,100,0.000112
1706146429.581190,1544190,58674,1,SA,1,100,0.000026
1706146429.913190,1544522,58743,1,SA,1,100,0.000034
1706146430.181190,1544790,58779,1,SA,1,100,0.000003
1706146430.580190,1545189,58846,1,SA,1,100,0.000015
1706146430.780190,1545389,58881,1,SA,1,100,0.000060
1706146430.980190,1545589,58917,1,SA,1,100,0.000061
1706146431.247190,1545856,58951,1,SA,1,100,0.000023
1706146431.580190,1546189,59073,1,SA,1,100,0.000096
1706146432.380190,1546989,59157,1,SA,1,100,0.000036
1706146432.913189,1547522,59250,1,SA,1,100,0.000060
1706146433.180190,1547789,59300,1,SA,1,100,0.000042
1706146433.580189,1548189,59351,1,SA,1,100,0.000027
1706146433.980190,1548589,59420,1,SA,1,100,0.000035
1706146434.246189,1548855,59487,1,SA,1,100,0.000066
1706146434.646189,1549255,59556,1,SA,1,100,0.000043
1706146434.979189,1549588,59592,1,SA,1,100,0.000015
1706146435.313189,1549922,59677,1,SA,1,100,0.000062
1706146435.979189,1550588,59778,1,SA,1,100,0.000074
1706146436.647189,1551256,59881,1,SA,1,100,0.000022
1706146436.979189,1551588,59917,1,SA,1,100,0.000010
1706146437.979189,1552588,60091,1,SA,1,100,0.000026
1706146438.313189,1552922,60159,1,SA,1,100,0.000066
1706146439.046189,1553655,60260,1,SA,1,100,0.000063
1706146439.379189,1553988,60347,1,SA,1,100,0.000095
1706146439.912189,1554521,60481,1,SA,1,100,0.000137
1706146440.580189,1555189,60517,1,SA,1,100,0.000022
1706146441.046189,1555655,60600,1,SA,1,100,0.000024
1706146441.312189,1555921,60636,1,SA,1,100,0.000025
1706146441.646189,1556255,60705,1,SA,1,100,0.000041
1706146441.912189,1556521,60758,1,SA,1,100,0.000026
1706146442.179189,1556788,60825,1,SA,1,100,0.000050
1706146442.579189,1557188,60877,1,SA,1,100,0.000089
1706146442.913189,1557522,60918,1,SA,1,100,0.000051
1706146443.446189,1558055,61021,1,SA,1,100,0.000121
1706146443.779189,1558388,61071,1,SA,1,100,0.000055
1706146444.179189,1558788,61174,1,SA,1,100,0.000127
1706146445.045189,1559654,61340,1,SA,1,100,0.000120
1706146445.845189,1560454,61426,1,SA,1,100,0.000050
1706146446.312189,1560921,61479,1,SA,1,100,0.000017
1706146446.645189,1561254,61531,1,SA,1,100,0.000007
1706146446.845189,1561454,61600,1,SA,1,100,0.000129
1706146447.245189,1561854,61687,1,SA,1,100,0.000134
1706146448.311188,1562920,61806,1,SA,1,100,0.000033
1706146448.578189,1563187,61843,1,SA,1,100,0.000015
1706146449.045188,1563654,61961,1,SA,1,100,0.000111
1706146449.445189,1564054,61994,1,SA,1,100,0.000034
1706146449.711189,1564320,62030,1,SA,1,100,0.000038
1706146450.045188,1564654,62099,1,SA,1,100,0.000014
1706146450.245188,1564854,62133,1,SA,1,100,0.000016
1706146450.445189,1565054,62168,1,SA,1,100,0.000045
1706146450.645188,1565254,62202,1,SA,1,100,0.000059
1706146450.911188,1565520,62240,1,SA,1,100,0.000035
1706146451.245188,1565854,62291,1,SA,1,100,0.000022
1706146451.445188,1566054,62376,1,SA,1,100,0.000132
1706146452.178188,1566787,62494,1,SA,1,100,0.000111
1706146452.712188,1567321,62580,1,SA,1,100,0.000120
1706146453.244188,1567853,62642,1,SA,1,100,0.000039
1706146453.511188,1568120,62692,1,SA,1,100,0.000079
1706146454.044188,1568653,62811,1,SA,1,100,0.000100
1706146454.512188,1569121,62845,1,SA,1,100,0.000008
1706146454.844188,1569453,62897,1,SA,1,100,0.000024
1706146455.311188,1569920,62998,1,SA,1,100,0.000014
1706146455.577188,1570186,63150,1,SA,1,100,0.000385
1706146457.311188,1571920,63334,1,SA,1,100,0.000065
1706146457.777188,1572386,63403,1,SA,1,100,0.000126
1706146458.177188,1572786,63523,1,SA,1,100,0.000122
1706146459.044188,1573653,63657,1,SA,1,100,0.000109
1706146459.844188,1574453,63774,1,SA,1,100,0.000148
1706146460.510188,1575119,63877,1,SA,1,100,0.000048
1706146460.910188,1575519,63946,1,SA,1,100,0.000159
1706146461.777188,1576386,64116,1,SA,1,100,0.000149
1706146462.777188,1577386,64251,1,SA,1,100,0.000095
1706146463.177188,1577786,64340,1,SA,1,100,0.000105
1706146463.710188,1578319,64376,1,SA,1,100,0.000041
1706146464.110188,1578719,64444,1,SA,1,100,0.000003
1706146464.444188,1579053,64580,1,SA,1,100,0.000226
1706146465.710187,1580319,64714,1,SA,1,100,0.000037
1706146466.243187,1580852,64815,1,SA,1,100,0.000063
1706146466.577188,1581186,64853,1,SA,1,100,0.000067
1706146467.643187,1582252,65071,1,SA,1,100,0.000068
1706146468.110187,1582719,65122,1,SA,1,100,0.000083
1706146468.577187,1583186,65182,1,SA,1,100,0.000009
1706146469.043187,1583652,65264,1,SA,1,100,0.000015
1706146469.243187,1583852,65318,1,SA,1,100,0.000085
1706146469.577187,1584186,65369,1,SA,1,100,0.000089
1706146470.109187,1584718,65438,1,SA,1,100,0.000033
1706146470.309187,1584918,65488,1,SA,1,100,0.000069
1706146470.776187,1585385,19,1,SA,1,100,0.000048
1706146471.043187,1585652,74,1,SA,1,100,0.000060
1706146471.576187,1586185,160,1,SA,1,100,0.000028
1706146471.776187,1586385,195,1,SA,1,100,0.000044
1706146472.042187,1586651,313,1,SA,1,100,0.000128
1706146473.109187,1587718,416,1,SA,1,100,0.000045
1706146473.643187,1588252,505,1,SA,1,100,0.000056
1706146473.843187,1588452,556,1,SA,1,100,0.000023
1706146474.243187,1588852,625,1,SA,1,100,0.000105
1706146474.509187,1589118,675,1,SA,1,100,0.000100
1706146475.243187,1589852,809,1,SA,1,100,0.000070
1706146475.642187,1590251,845,1,SA,1,100,0.000042
1706146476.376187,1590985,1066,1,SA,1,100,0.000165
1706146477.442187,1592051,1183,1,SA,1,100,0.000121
1706146477.909187,1592518,1234,1,SA,1,100,0.000118
1706146478.309187,1592918,1288,1,SA,1,100,0.000014
1706146478.509187,1593118,1321,1,SA,1,100,0.000073
1706146478.975187,1593584,1446,1,SA,1,100,0.000119
1706146479.708187,1594317,1564,1,SA,1,100,0.000124
1706146480.108187,1594717,1597,1,SA,1,100,0.000016
1706146480.308187,1594917,1635,1,SA,1,100,0.000022
1706146480.775187,1595384,1734,1,SA,1,100,0.000087
1706146481.242187,1595851,1820,1,SA,1,100,0.000134
1706146482.109186,1596718,1942,1,SA,1,100,0.000049
1706146482.575186,1597184,2026,1,SA,1,100,0.000057
1706146482.908186,1597517,2127,1,SA,1,100,0.000172
1706146483.508186,1598117,2162,1,SA,1,100,0.000007
1706146483.708186,1598317,2203,1,SA,1,100,0.000015
1706146483.908186,1598517,2270,1,SA,1,100,0.000225
1706146484.975186,1599584,2421,1,SA,1,100,0.000060
1706146485.241186,1599850,2459,1,SA,1,100,0.000040
1706146485.441186,1600050,2492,1,SA,1,100,0.000030
1706146485.841186,1600450,2595,1,SA,1,100,0.000073
1706146486.241186,1600850,2662,1,SA,1,100,0.000121
1706146486.708186,1601317,2699,1,SA,1,100,0.000028
1706146487.308186,1601917,2818,1,SA,1,100,0.000038
1706146487.841186,1602450,2904,1,SA,1,100,0.000116
1706146488.241186,1602850,2988,1,SA,1,100,0.000048
1706146488.908186,1603517,3077,1,SA,1,100,0.000016
1706146489.174186,1603783,3146,1,SA,1,100,0.000104
1706146489.708186,1604317,3213,1,SA,1,100,0.000059
1706146490.041186,1604650,3247,1,SA,1,100,0.000012
1706146490.241186,1604850,3301,1,SA,1,100,0.000039
1706146490.508186,1605117,3352,1,SA,1,100,0.000066
1706146490.974186,1605583,3404,1,SA,1,100,0.000036
1706146491.307186,1605916,3506,1,SA,1,100,0.000107
1706146491.707186,1606316,3542,1,SA,1,100,0.000031
1706146491.974186,1606583,3578,1,SA,1,100,0.000039
1706146492.307186,1606916,3645,1,SA,1,100,0.000011
1706146492.507186,1607116,3681,1,SA,1,100,0.000002
1706146492.974186,1607583,3750,1,SA,1,100,0.000043
1706146493.307186,1607916,3851,1,SA,1,100,0.000132
1706146493.774186,1608383,3901,1,SA,1,100,0.000142
1706146495.173186,1609782,4129,1,SA,1,100,0.000009
1706146495.441186,1610050,4179,1,SA,1,100,0.000055
1706146495.973186,1610582,4280,1,SA,1,100,0.000092
1706146496.641186,1611250,4385,1,SA,1,100,0.000042
1706146497.107186,1611716,4471,1,SA,1,100,0.000050
1706146497.440186,1612049,4555,1,SA,1,100,0.000197
1706146497.974185,1612583,4591,1,SA,1,100,0.000028
1706146498.307186,1612916,4658,1,SA,1,100,0.000014
1706146498.707186,1613316,4710,1,SA,1,100,0.000033
1706146499.173186,1613782,4799,1,SA,1,100,0.000015
1706146499.373185,1613982,4869,1,SA,1,100,0.000108
1706146499.973186,1614582,4936,1,SA,1,100,0.000018
1706146500.373185,1614982,5021,1,SA,1,100,0.000118
1706146501.506185,1616115,5192,1,SA,1,100,0.000018
1706146501.773185,1616382,5278,1,SA,1,100,0.000124
1706146502.506185,1617115,5361,1,SA,1,100,0.000023
1706146502.773185,1617382,5462,1,SA,1,100,0.000159
1706146503.506185,1618115,5515,1,SA,1,100,0.000022
1706146503.839185,1618448,5599,1,SA,1,100,0.000060
1706146504.173185,1618782,5673,1,SA,1,100,0.000106
1706146504.706185,1619315,5740,1,SA,1,100,0.000096
1706146505.039185,1619648,5793,1,SA,1,100,0.000074
1706146505.306185,1619915,5845,1,SA,1,100,0.000218
1706146506.640185,1621249,6082,1,SA,1,100,0.000149
1706146507.572185,1622181,6201,1,SA,1,100,0.000033
1706146507.772185,1622381,6268,1,SA,1,100,0.000083
1706146508.639185,1623248,6418,1,SA,1,100,0.000080
1706146509.039185,1623648,6452,1,SA,1,100,0.000073
1706146509.572185,1624181,6609,1,SA,1,100,0.000111
1706146510.172185,1624781,6661,1,SA,1,100,0.000077
1706146511.439185,1626048,6865,1,SA,1,100,0.000059
1706146511.905185,1626514,6932,1,SA,1,100,0.000026
1706146512.105185,1626714,7032,1,SA,1,100,0.000160
1706146513.505185,1628114,7184,1,SA,1,100,0.000010
1706146513.705185,1628314,7253,1,SA,1,100,0.000116
1706146514.038185,1628647,7289,1,SA,1,100,0.000049
1706146514.238184,1628847,7380,1,SA,1,100,0.000256
1706146515.172184,1629781,7498,1,SA,1,100,0.000043
1706146515.438184,1630047,7516,1,SA,1,100,0.000026
1706146515.638185,1630247,7583,1,SA,1,100,0.000150
1706146515.971184,1630580,7619,1,SA,1,100,0.000167
1706146516.771184,1631380,7755,1,SA,1,100,0.000109
1706146517.771184,1632380,7908,1,SA,1,100,0.000015
1706146518.438184,1633047,8044,1,SA,1,100,0.000056
1706146518.772184,1633381,8125,1,SA,1,100,0.000079
1706146519.372184,1633981,8194,1,SA,1,100,0.000113
1706146519.638184,1634247,8303,1,SA,1,100,0.000208
1706146520.638184,1635247,8406,1,SA,1,100,0.000039
1706146521.171184,1635780,8506,1,SA,1,100,0.000132
1706146521.704184,1636313,8593,1,SA,1,100,0.000117
1706146522.371184,1636980,8695,1,SA,1,100,0.000086
1706146523.237184,1637846,8847,1,SA,1,100,0.000057
1706146523.571184,1638180,8881,1,SA,1,100,0.000059
1706146524.105184,1638714,9017,1,SA,1,100,0.000134
1706146524.905184,1639514,9123,1,SA,1,100,0.000079
1706146525.170184,1639779,9225,1,SA,1,100,0.000216
