LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1706146402.983191,1517592.000,54217,1,SF,1,100,63.2193
1706146403.383191,1517992.000,54284,1,SF,1,100,64.5702
1706146403.649191,1518258.000,54338,1,SF,1,100,65.9055
1706146403.983191,1518592.000,54387,1,SF,1,100,65.1431
1706146404.383191,1518992.000,54456,1,SF,1,100,66.4718
1706146404.649191,1519258.000,54504,1,SF,1,100,65.7028
1706146404.982191,1519591.000,54557,1,SF,1,100,67.0250
1706146405.316191,1519925.000,54609,1,SF,1,100,68.3319
1706146405.716191,1520325.000,54676,1,SF,1,100,69.6237
1706146405.982191,1520591.000,54727,1,SF,1,100,68.8183
1706146406.316191,1520925.000,54775,1,SF,1,100,68.0222
1706146406.716191,1521325.000,54845,1,SF,1,100,69.3176
1706146407.116191,1521725.000,54902,1,SF,1,100,68.5157
1706146407.316191,1521925.000,54936,1,SF,1,100,67.7231
1706146407.716191,1522325.000,55003,1,SF,1,100,66.9397
1706146408.049191,1522658.000,55054,1,SF,1,100,66.1653
1706146408.315191,1522924.000,55104,1,SF,1,100,65.3999
1706146408.649191,1523258.000,55153,1,SF,1,100,64.6434
1706146409.049191,1523658.000,55220,1,SF,1,100,63.8956
1706146409.315191,1523924.000,55270,1,SF,1,100,65.2387
1706146409.649191,1524258.000,55322,1,SF,1,100,64.4840
1706146410.049191,1524658.000,55391,1,SF,1,100,67.9025
1706146410.382191,1524991.000,55444,1,SF,1,100,69.1993
1706146410.649191,1525258.000,55493,1,SF,1,100,68.3988
1706146410.982191,1525591.000,55541,1,SF,1,100,67.6076
1706146411.382191,1525991.000,55610,1,SF,1,100,68.9077
1706146411.649191,1526258.000,55661,1,SF,1,100,68.1106
1706146411.982191,1526591.000,55717,1,SF,1,100,71.4872
1706146412.315191,1526924.000,55773,1,SF,1,100,70.6602
1706146412.648191,1527257.000,55826,1,SF,1,100,71.9251
1706146412.982191,1527591.000,55874,1,SF,1,100,71.0930
1706146413.315191,1527924.000,55929,1,SF,1,100,72.3529
1706146413.648191,1528257.000,55979,1,SF,1,100,73.5981
1706146414.048191,1528657.000,56044,1,SF,1,100,72.7468
1706146414.315191,1528924.000,56097,1,SF,1,100,71.9052
1706146414.648191,1529257.000,56149,1,SF,1,100,75.2379
1706146415.048191,1529657.000,56216,1,SF,1,100,74.3676
1706146415.381191,1529990.000,56265,1,SF,1,100,73.5073
1706146415.648190,1530257.000,56317,1,SF,1,100,74.7392
1706146415.981190,1530590.000,56368,1,SF,1,100,73.8746
1706146416.381191,1530990.000,56433,1,SF,1,100,73.0200
1706146416.648190,1531257.000,56485,1,SF,1,100,74.2576
1706146416.981190,1531590.000,56538,1,SF,1,100,75.4808
1706146417.381191,1531990.000,56594,1,SF,1,100,74.6076
1706146417.648190,1532257.000,56644,1,SF,1,100,73.7446
1706146417.981190,1532590.000,56697,1,SF,1,100,74.9737
1706146418.381190,1532990.000,56766,1,SF,1,100,76.1887
1706146418.648190,1533257.000,56816,1,SF,1,100,77.3896
1706146418.981190,1533590.000,56868,1,SF,1,100,78.5766
1706146419.314190,1533923.000,56919,1,SF,1,100,77.6676
1706146419.714190,1534323.000,56986,1,SF,1,100,78.8514
1706146419.981190,1534590.000,57037,1,SF,1,100,80.0215
1706146420.314190,1534923.000,57087,1,SF,1,100,79.0958
1706146420.714190,1535323.000,57154,1,SF,1,100,80.2631
1706146420.981190,1535590.000,57209,1,SF,1,100,81.4168
1706146421.314190,1535923.000,57257,1,SF,1,100,80.4750
1706146421.648190,1536257.000,57310,1,SF,1,100,83.7086
1706146422.047190,1536656.000,57381,1,SF,1,100,84.8225
1706146422.314190,1536923.000,57433,1,SF,1,100,85.9235
1706146422.714190,1537323.000,57487,1,SF,1,100,84.9295
1706146422.981190,1537590.000,57539,1,SF,1,100,86.0293
1706146423.314190,1537923.000,57590,1,SF,1,100,87.1164
1706146423.714190,1538323.000,57659,1,SF,1,100,88.1908
1706146423.981190,1538590.000,57709,1,SF,1,100,89.2529
1706146424.314190,1538923.000,57763,1,SF,1,100,90.3027
1706146424.714190,1539323.000,57830,1,SF,1,100,91.3403
1706146425.047190,1539656.000,57881,1,SF,1,100,92.3659
1706146425.314190,1539923.000,57934,1,SF,1,100,93.3797
1706146425.647190,1540256.000,57982,1,SF,1,100,92.2995
1706146426.047190,1540656.000,58053,1,SF,1,100,95.3962
1706146426.314190,1540923.000,58106,1,SF,1,100,96.3749
1706146426.647190,1541256.000,58154,1,SF,1,100,95.2601
1706146426.980190,1541589.000,58209,1,SF,1,100,96.2403
1706146427.380190,1541989.000,58276,1,SF,1,100,97.2093
1706146427.714190,1542323.000,58335,1,SF,1,100,98.1670
1706146427.980190,1542589.000,58386,1,SF,1,100,99.1137
1706146428.313190,1542922.000,58435,1,SF,1,100,97.9671
1706146428.647190,1543256.000,58489,1,SF,1,100,98.9161
1706146429.047190,1543656.000,58556,1,SF,1,100,99.8540
1706146429.313190,1543922.000,58608,1,SF,1,100,100.7812
1706146429.647190,1544256.000,58657,1,SF,1,100,99.6153
1706146430.047190,1544656.000,58726,1,SF,1,100,100.5452
1706146430.380190,1544989.000,58778,1,SF,1,100,101.4644
1706146430.647190,1545256.000,58829,1,SF,1,100,102.3729
1706146430.980190,1545589.000,58883,1,SF,1,100,105.3531
1706146431.380190,1545989.000,58950,1,SF,1,100,106.2166
1706146431.647190,1546256.000,59005,1,SF,1,100,107.0702
1706146431.980190,1546589.000,59055,1,SF,1,100,105.8316
1706146432.380190,1546989.000,59124,1,SF,1,100,106.6896
1706146432.713190,1547322.000,59180,1,SF,1,100,107.5376
1706146433.046190,1547655.000,59232,1,SF,1,100,106.2936
1706146433.313190,1547922.000,59283,1,SF,1,100,107.1463
1706146433.646189,1548255.000,59335,1,SF,1,100,107.9890
1706146433.980190,1548589.000,59388,1,SF,1,100,108.8221
1706146434.380189,1548989.000,59455,1,SF,1,100,109.6455
1706146434.646189,1549255.000,59507,1,SF,1,100,110.4593
1706146434.979189,1549588.000,59558,1,SF,1,100,111.2638
1706146435.379189,1549988.000,59626,1,SF,1,100,112.0589
1706146435.713189,1550322.000,59679,1,SF,1,100,112.8449
1706146435.979189,1550588.000,59728,1,SF,1,100,111.5395
1706146436.313189,1550922.000,59780,1,SF,1,100,112.3314
1706146436.713189,1551322.000,59847,1,SF,1,100,111.0320
1706146436.979189,1551588.000,59902,1,SF,1,100,111.8298
1706146437.313189,1551922.000,59952,1,SF,1,100,112.6184
1706146437.646189,1552255.000,60001,1,SF,1,100,111.3156
1706146437.979189,1552588.000,60058,1,SF,1,100,110.0279
1706146438.379189,1552988.000,60125,1,SF,1,100,110.8373
1706146438.712189,1553321.000,60178,1,SF,1,100,111.6374
1706146438.979189,1553588.000,60228,1,SF,1,100,110.3460
