LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1706146402.450191,1517059,54201,1,SR,1,100,0.333333
1706146403.049191,1517658,54252,1,SR,1,100,0.066667
1706146403.383191,1517992,54321,1,SR,1,100,0.066667
1706146404.117191,1518726,54455,1,SR,1,100,0.133333
1706146404.517191,1519126,54523,1,SR,1,100,0.133333
1706146404.783191,1519392,54573,1,SR,1,100,0.200000
1706146405.250191,1519859,54628,1,SR,1,100,0.066667
1706146405.850191,1520459,54844,1,SR,1,100,0.733333
1706146408.983191,1523592,55253,1,SR,1,100,0.133333
1706146409.249191,1523858,55339,1,SR,1,100,0.400000
1706146409.783191,1524392,55390,1,SR,1,100,0.133333
1706146410.182191,1524791,55443,1,SR,1,100,0.066667
1706146410.516191,1525125,55578,1,SR,1,100,0.533333
1706146411.582191,1526191,55682,1,SR,1,100,0.066667
1706146411.782191,1526391,55700,1,SR,1,100,0.066667
1706146412.382191,1526991,55808,1,SR,1,100,0.133333
1706146412.916191,1527525,55909,1,SR,1,100,0.200000
1706146413.249191,1527858,55978,1,SR,1,100,0.333333
1706146414.115191,1528724,56113,1,SR,1,100,0.200000
1706146414.448191,1529057,56148,1,SR,1,100,0.066667
1706146415.182191,1529791,56300,1,SR,1,100,0.333333
1706146416.315191,1530924,56451,1,SR,1,100,0.066667
1706146416.515191,1531124,56506,1,SR,1,100,0.133333
1706146417.315191,1531924,56696,1,SR,1,100,0.600000
1706146418.048190,1532657,56730,1,SR,1,100,0.066667
1706146418.248190,1532857,56784,1,SR,1,100,0.133333
1706146418.648190,1533257,56867,1,SR,1,100,0.200000
1706146419.381190,1533990,56952,1,SR,1,100,0.066667
1706146419.581190,1534190,57019,1,SR,1,100,0.200000
1706146420.314190,1534923,57122,1,SR,1,100,0.066667
1706146420.714190,1535323,57191,1,SR,1,100,0.066667
1706146420.914190,1535523,57276,1,SR,1,100,0.400000
1706146421.448190,1536057,57309,1,SR,1,100,0.133333
1706146421.714190,1536323,57349,1,SR,1,100,0.066667
1706146422.047190,1536656,57416,1,SR,1,100,0.066667
1706146422.247190,1536856,57489,1,SR,1,100,0.400000
1706146423.048190,1537657,57572,1,SR,1,100,0.066667
1706146423.248190,1537857,57625,1,SR,1,100,0.133333
1706146423.514190,1538123,57661,1,SR,1,100,0.133333
1706146423.781190,1538390,57728,1,SR,1,100,0.200000
1706146424.381190,1538990,57813,1,SR,1,100,0.133333
1706146424.648190,1539257,57864,1,SR,1,100,0.200000
1706146425.114190,1539723,57916,1,SR,1,100,0.066667
1706146425.314190,1539923,58001,1,SR,1,100,0.333333
1706146425.781190,1540390,58038,1,SR,1,100,0.066667
1706146425.981190,1540590,58088,1,SR,1,100,0.200000
1706146426.447190,1541056,58177,1,SR,1,100,0.200000
1706146426.780190,1541389,58244,1,SR,1,100,0.266667
1706146427.180190,1541789,58278,1,SR,1,100,0.133333
1706146427.447190,1542056,58354,1,SR,1,100,0.266667
1706146428.247190,1542856,58471,1,SR,1,100,0.200000
1706146428.581190,1543190,58507,1,SR,1,100,0.066667
1706146428.781190,1543390,58589,1,SR,1,100,0.400000
1706146429.581190,1544190,58675,1,SR,1,100,0.066667
1706146429.913190,1544522,58744,1,SR,1,100,0.133333
1706146430.181190,1544790,58780,1,SR,1,100,0.133333
1706146430.580190,1545189,58847,1,SR,1,100,0.066667
