LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1706146402.776191,1517385.000,54189,1,T1,1,100,38.088
1706146402.909191,1517518.000,54223,1,T1,1,100,38.073
1706146403.042191,1517651.000,54239,1,T1,1,100,38.174
1706146403.176191,1517785.000,54258,1,T1,1,100,38.111
1706146403.309191,1517918.000,54290,1,T1,1,100,38.119
1706146403.442191,1518051.000,54308,1,T1,1,100,38.087
1706146403.576191,1518185.000,54327,1,T1,1,100,38.108
1706146403.709191,1518318.000,54359,1,T1,1,100,38.153
1706146403.843191,1518452.000,54375,1,T1,1,100,38.102
1706146403.976191,1518585.000,54393,1,T1,1,100,38.080
1706146404.109191,1518718.000,54424,1,T1,1,100,38.141
1706146404.242191,1518851.000,54442,1,T1,1,100,38.132
1706146404.376191,1518985.000,54462,1,T1,1,100,38.057
1706146404.509191,1519118.000,54478,1,T1,1,100,38.202
1706146404.642191,1519251.000,54510,1,T1,1,100,38.158
1706146404.776191,1519385.000,54529,1,T1,1,100,38.068
1706146404.909191,1519518.000,54545,1,T1,1,100,37.994
1706146405.042191,1519651.000,54579,1,T1,1,100,38.068
1706146405.176191,1519785.000,54598,1,T1,1,100,38.171
1706146405.309191,1519918.000,54615,1,T1,1,100,38.181
1706146405.442191,1520051.000,54648,1,T1,1,100,38.255
1706146405.576191,1520185.000,54665,1,T1,1,100,38.181
1706146405.709191,1520318.000,54682,1,T1,1,100,38.078
1706146405.842191,1520451.000,54715,1,T1,1,100,37.999
1706146405.976191,1520585.000,54733,1,T1,1,100,38.070
1706146406.109191,1520718.000,54749,1,T1,1,100,38.030
1706146406.242191,1520851.000,54781,1,T1,1,100,38.049
1706146406.376191,1520985.000,54798,1,T1,1,100,38.163
1706146406.509191,1521118.000,54814,1,T1,1,100,38.141
1706146406.642191,1521251.000,54831,1,T1,1,100,38.132
1706146406.776191,1521385.000,54869,1,T1,1,100,38.057
1706146406.909191,1521518.000,54885,1,T1,1,100,38.025
1706146407.042191,1521651.000,54908,1,T1,1,100,38.153
1706146407.175191,1521784.000,54925,1,T1,1,100,38.208
1706146407.309191,1521918.000,54942,1,T1,1,100,38.161
1706146407.442191,1522051.000,54961,1,T1,1,100,38.105
1706146407.575191,1522184.000,54992,1,T1,1,100,38.152
1706146407.709191,1522318.000,55009,1,T1,1,100,38.101
1706146407.842191,1522451.000,55026,1,T1,1,100,38.150
1706146407.975191,1522584.000,55060,1,T1,1,100,38.207
1706146408.109191,1522718.000,55076,1,T1,1,100,38.160
1706146408.242191,1522851.000,55093,1,T1,1,100,38.176
