LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1706146402.791191,1517400.000,54190,1,TH,1,100,37.083
1706146402.924191,1517533.000,54224,1,TH,1,100,37.083
1706146403.057191,1517666.000,54240,1,TH,1,100,37.104
1706146403.191191,1517800.000,54259,1,TH,1,100,37.104
1706146403.324191,1517933.000,54291,1,TH,1,100,37.041
1706146403.457191,1518066.000,54309,1,TH,1,100,37.041
1706146403.591191,1518200.000,54328,1,TH,1,100,37.114
1706146403.724191,1518333.000,54360,1,TH,1,100,37.114
1706146403.857191,1518466.000,54376,1,TH,1,100,37.100
1706146403.991191,1518600.000,54394,1,TH,1,100,37.100
1706146404.124191,1518733.000,54425,1,TH,1,100,37.151
1706146404.257191,1518866.000,54443,1,TH,1,100,37.151
1706146404.391191,1519000.000,54463,1,TH,1,100,37.078
1706146404.524191,1519133.000,54494,1,TH,1,100,37.078
1706146404.657191,1519266.000,54511,1,TH,1,100,37.153
1706146404.791191,1519400.000,54530,1,TH,1,100,37.153
1706146404.924191,1519533.000,54546,1,TH,1,100,37.146
1706146405.057191,1519666.000,54580,1,TH,1,100,37.146
1706146405.191191,1519800.000,54599,1,TH,1,100,37.118
1706146405.324191,1519933.000,54616,1,TH,1,100,37.118
1706146405.457191,1520066.000,54649,1,TH,1,100,37.118
1706146405.591191,1520200.000,54666,1,TH,1,100,37.118
1706146405.724191,1520333.000,54683,1,TH,1,100,37.125
1706146405.857191,1520466.000,54716,1,TH,1,100,37.125
1706146405.991191,1520600.000,54734,1,TH,1,100,37.130
1706146406.124191,1520733.000,54750,1,TH,1,100,37.137
1706146406.257191,1520866.000,54782,1,TH,1,100,37.166
1706146406.391191,1521000.000,54799,1,TH,1,100,37.166
1706146406.524191,1521133.000,54815,1,TH,1,100,37.088
1706146406.657191,1521266.000,54851,1,TH,1,100,37.088
1706146406.790191,1521399.000,54870,1,TH,1,100,37.180
1706146406.924191,1521533.000,54886,1,TH,1,100,37.180
1706146407.057191,1521666.000,54909,1,TH,1,100,37.098
1706146407.190191,1521799.000,54926,1,TH,1,100,37.098
1706146407.324191,1521933.000,54943,1,TH,1,100,37.048
1706146407.457191,1522066.000,54976,1,TH,1,100,37.048
1706146407.590191,1522199.000,54993,1,TH,1,100,37.128
1706146407.724191,1522333.000,55010,1,TH,1,100,37.128
1706146407.857191,1522466.000,55027,1,TH,1,100,37.079
1706146407.990191,1522599.000,55061,1,TH,1,100,37.079
1706146408.124191,1522733.000,55077,1,TH,1,100,37.126
1706146408.257191,1522866.000,55094,1,TH,1,100,37.126
1706146408.390191,1522999.000,55126,1,TH,1,100,37.182
1706146408.524191,1523133.000,55142,1,TH,1,100,37.182
1706146408.657191,1523266.000,55160,1,TH,1,100,37.144
1706146408.790191,1523399.000,55193,1,TH,1,100,37.144
1706146408.924191,1523533.000,55209,1,TH,1,100,37.088
1706146409.057191,1523666.000,55227,1,TH,1,100,37.088
1706146409.190191,1523799.000,55260,1,TH,1,100,37.158
1706146409.324191,1523933.000,55277,1,TH,1,100,37.158
1706146409.457191,1524066.000,55294,1,TH,1,100,37.058
1706146409.590191,1524199.000,55328,1,TH,1,100,37.058
1706146409.723191,1524332.000,55346,1,TH,1,100,37.102
1706146409.857191,1524466.000,55363,1,TH,1,100,37.102
1706146409.990191,1524599.000,55397,1,TH,1,100,37.145
1706146410.123191,1524732.000,55415,1,TH,1,100,37.145
1706146410.257191,1524866.000,55432,1,TH,1,100,37.196
1706146410.390191,1524999.000,55451,1,TH,1,100,37.196
1706146410.523191,1525132.000,55482,1,TH,1,100,37.100
1706146410.657191,1525266.000,55500,1,TH,1,100,37.100
1706146410.790191,1525399.000,55516,1,TH,1,100,37.093
1706146410.923191,1525532.000,55548,1,TH,1,100,37.093
1706146411.057191,1525666.000,55567,1,TH,1,100,37.081
1706146411.190191,1525799.000,55585,1,TH,1,100,37.088
1706146411.323191,1525932.000,55617,1,TH,1,100,37.157
1706146411.457191,1526066.000,55634,1,TH,1,100,37.157
1706146411.590191,1526199.000,55650,1,TH,1,100,37.112
1706146411.723191,1526332.000,55688,1,TH,1,100,37.112
1706146411.857191,1526466.000,55707,1,TH,1,100,37.161
1706146411.990191,1526599.000,55724,1,TH,1,100,37.161
1706146412.123191,1526732.000,55741,1,TH,1,100,37.114
1706146412.257191,1526866.000,55763,1,TH,1,100,37.114
1706146412.390191,1526999.000,55795,1,TH,1,100,37.143
1706146412.523191,1527132.000,55815,1,TH,1,100,37.142
