LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1706146407.032191,1521641.000,54897,1,TL,1,100,2024-01-24_20-33-22-157943
1706146407.110191,1521719.000,54900,1,TL,1,100,2024-01-24_20-33-27-103245
1706146412.163191,1526772.000,55751,1,TL,1,100,2024-01-24_20-33-27-167331
1706146412.197191,1526806.000,55754,1,TL,1,100,2024-01-24_20-33-32-183861
1706146417.271190,1531880.000,56588,1,TL,1,100,2024-01-24_20-33-32-561384
1706146417.309191,1531918.000,56591,1,TL,1,100,2024-01-24_20-33-37-301572
1706146422.402190,1537011.000,57448,1,TL,1,100,2024-01-24_20-33-37-417523
1706146422.416190,1537025.000,57451,1,TL,1,100,2024-01-24_20-33-42-410190
1706146427.522190,1542131.000,58311,1,TL,1,100,2024-01-24_20-33-42-655636
1706146427.558190,1542167.000,58314,1,TL,1,100,2024-01-24_20-33-47-551523
1706146432.651190,1547260.000,59174,1,TL,1,100,2024-01-24_20-33-47-759504
1706146432.693190,1547302.000,59177,1,TL,1,100,2024-01-24_20-33-52-686017
1706146437.795189,1552404.000,60034,1,TL,1,100,2024-01-24_20-33-52-799640
1706146437.875189,1552484.000,60037,1,TL,1,100,2024-01-24_20-33-57-825834
1706146442.916189,1557525.000,60893,1,TL,1,100,2024-01-24_20-33-57-986141
1706146442.941189,1557550.000,60896,1,TL,1,100,2024-01-24_20-34-02-932800
1706146448.025189,1562634.000,61736,1,TL,1,100,2024-01-24_20-34-03-175024
1706146453.143188,1567752.000,62598,1,TL,1,100,2024-01-24_20-34-08-063749
1706146453.146188,1567755.000,62600,1,TL,1,100,2024-01-24_20-34-08-159731
1706146453.173188,1567782.000,62603,1,TL,1,100,2024-01-24_20-34-13-165777
1706146458.274188,1572883.000,63453,1,TL,1,100,2024-01-24_20-34-13-286313
1706146463.406188,1578015.000,64301,1,TL,1,100,2024-01-24_20-34-18-375071
1706146463.409188,1578018.000,64303,1,TL,1,100,2024-01-24_20-34-18-509166
1706146468.539187,1583148.000,65155,1,TL,1,100,2024-01-24_20-34-23-501003
1706146468.542187,1583151.000,65157,1,TL,1,100,2024-01-24_20-34-23-689014
1706146468.606187,1583215.000,65160,1,TL,1,100,2024-01-24_20-34-28-598711
1706146473.651187,1588260.000,482,1,TL,1,100,2024-01-24_20-34-28-727130
1706146473.689187,1588298.000,485,1,TL,1,100,2024-01-24_20-34-33-681838
1706146478.757187,1593366.000,1341,1,TL,1,100,2024-01-24_20-34-33-742102
1706146478.770187,1593379.000,1344,1,TL,1,100,2024-01-24_20-34-38-762499
1706146483.866186,1598475.000,2197,1,TL,1,100,2024-01-24_20-34-38-813574
1706146483.911186,1598520.000,2200,1,TL,1,100,2024-01-24_20-34-43-904259
1706146488.976186,1603585.000,3056,1,TL,1,100,2024-01-24_20-34-44-093685
1706146494.109186,1608718.000,3920,1,TL,1,100,2024-01-24_20-34-49-087487
1706146494.112186,1608721.000,3922,1,TL,1,100,2024-01-24_20-34-49-126011
1706146494.193186,1608802.000,3925,1,TL,1,100,2024-01-24_20-34-54-167394
1706146499.233186,1613842.000,4779,1,TL,1,100,2024-01-24_20-34-54-212344
1706146499.247185,1613856.000,4782,1,TL,1,100,2024-01-24_20-34-59-240762
1706146504.341185,1618950.000,5634,1,TL,1,100,2024-01-24_20-34-59-320239
1706146504.376185,1618985.000,5637,1,TL,1,100,2024-01-24_20-35-04-367223
1706146509.450185,1624059.000,6488,1,TL,1,100,2024-01-24_20-35-04-440166
1706146509.476185,1624085.000,6491,1,TL,1,100,2024-01-24_20-35-09-469889
1706146514.594185,1629203.000,7357,1,TL,1,100,2024-01-24_20-35-09-606318
1706146514.633184,1629242.000,7360,1,TL,1,100,2024-01-24_20-35-14-625470
1706146519.707184,1634316.000,8214,1,TL,1,100,2024-01-24_20-35-14-689077
1706146519.807184,1634416.000,8217,1,TL,1,100,2024-01-24_20-35-19-800655
1706146524.818184,1639427.000,9069,1,TL,1,100,2024-01-24_20-35-19-849487
1706146524.828184,1639437.000,9072,1,TL,1,100,2024-01-24_20-35-24-820637
1706146529.925184,1644534.000,9924,1,TL,1,100,2024-01-24_20-35-24-918576
1706146529.965183,1644574.000,9927,1,TL,1,100,2024-01-24_20-35-29-955258
1706146535.034183,1649643.000,10775,1,TL,1,100,2024-01-24_20-35-30-098667
1706146540.171183,1654780.000,11629,1,TL,1,100,2024-01-24_20-35-35-105621
1706146540.175183,1654784.000,11631,1,TL,1,100,2024-01-24_20-35-35-426169
1706146540.193183,1654802.000,11634,1,TL,1,100,2024-01-24_20-35-40-186463
1706146545.278183,1659887.000,12485,1,TL,1,100,2024-01-24_20-35-40-281984
1706146545.371183,1659980.000,12488,1,TL,1,100,2024-01-24_20-35-45-360823
1706146550.550182,1665159.000,13351,1,TL,1,100,2024-01-24_20-35-45-476249
1706146555.658182,1670267.000,14198,1,TL,1,100,2024-01-24_20-35-50-702977
1706146555.664182,1670273.000,14200,1,TL,1,100,2024-01-24_20-35-50-705362
1706146555.679182,1670288.000,14203,1,TL,1,100,2024-01-24_20-35-55-672682
1706146560.772182,1675381.000,15052,1,TL,1,100,2024-01-24_20-35-55-706647
1706146560.837182,1675446.000,15055,1,TL,1,100,2024-01-24_20-36-00-829059
1706146565.880182,1680489.000,15895,1,TL,1,100,2024-01-24_20-36-00-885598
1706146565.961181,1680570.000,15898,1,TL,1,100,2024-01-24_20-36-05-929145
1706146571.010181,1685619.000,16682,1,TL,1,100,2024-01-24_20-36-05-995488
1706146576.133181,1690742.000,17539,1,TL,1,100,2024-01-24_20-36-11-046376
1706146576.136181,1690745.000,17541,1,TL,1,100,2024-01-24_20-36-11-209554
1706146576.168181,1690777.000,17544,1,TL,1,100,2024-01-24_20-36-16-159540
1706146581.242181,1695851.000,18401,1,TL,1,100,2024-01-24_20-36-16-230800
1706146581.346180,1695955.000,18404,1,TL,1,100,2024-01-24_20-36-21-337520
1706146586.354180,1700963.000,19236,1,TL,1,100,2024-01-24_20-36-21-390409
1706146586.422180,1701031.000,19239,1,TL,1,100,2024-01-24_20-36-26-409283
1706146591.461180,1706070.000,20096,1,TL,1,100,2024-01-24_20-36-26-466932
1706146591.480180,1706089.000,20099,1,TL,1,100,2024-01-24_20-36-31-474006
1706146596.569180,1711178.000,20946,1,TL,1,100,2024-01-24_20-36-31-629792
1706146596.646180,1711255.000,20949,1,TL,1,100,2024-01-24_20-36-36-640241
