RD,TS_received,TS_sent,AK,RoundTrip,
1521643,1521719,2024-01-24_20-33-27-103245,1521720,76,
1526775,1526806,2024-01-24_20-33-32-183861,1526807,31,
1531886,1531918,2024-01-24_20-33-37-301572,1531919,32,
1537013,1537025,2024-01-24_20-33-42-410190,1537026,12,
1542133,1542167,2024-01-24_20-33-47-551523,1542169,34,
1547271,1547302,2024-01-24_20-33-52-686017,1547303,31,
1552406,1552484,2024-01-24_20-33-57-825834,1552486,78,
1557531,1557550,2024-01-24_20-34-02-932800,1557551,19,
1562636,1567752,2024-01-24_20-34-08-063749,1567753,5116,
1567757,1567782,2024-01-24_20-34-13-165777,1567790,25,
1572885,1578015,2024-01-24_20-34-18-375071,1578017,5130,
1578020,1583148,2024-01-24_20-34-23-501003,1583149,5128,
1583153,1583215,2024-01-24_20-34-28-598711,1583216,62,
1588262,1588298,2024-01-24_20-34-33-681838,1588299,36,
1593368,1593379,2024-01-24_20-34-38-762499,1593380,11,
1598480,1598520,2024-01-24_20-34-43-904259,1598521,40,
1603587,1608718,2024-01-24_20-34-49-087487,1608720,5131,
1608728,1608802,2024-01-24_20-34-54-167394,1608803,74,
1613843,1613856,2024-01-24_20-34-59-240762,1613857,13,
1618952,1618985,2024-01-24_20-35-04-367223,1618986,33,
1624064,1624085,2024-01-24_20-35-09-469889,1624090,21,
1629205,1629242,2024-01-24_20-35-14-625470,1629243,37,
1634318,1634416,2024-01-24_20-35-19-800655,1634417,98,
1639429,1639437,2024-01-24_20-35-24-820637,1639438,8,
1644536,1644574,2024-01-24_20-35-29-955258,1644576,38,
1649647,1654780,2024-01-24_20-35-35-105621,1654782,5133,
1654786,1654802,2024-01-24_20-35-40-186463,1654807,16,
1659889,1659980,2024-01-24_20-35-45-360823,1659982,91,
1665161,1670267,2024-01-24_20-35-50-702977,1670268,5106,
1670275,1670288,2024-01-24_20-35-55-672682,1670290,13,
1675388,1675446,2024-01-24_20-36-00-829059,1675447,58,
1680491,1680570,2024-01-24_20-36-05-929145,1680572,79,
1685622,1690742,2024-01-24_20-36-11-046376,1690744,5120,
1690750,1690777,2024-01-24_20-36-16-159540,1690779,27,
1695857,1695955,2024-01-24_20-36-21-337520,1695956,98,
1700965,1701031,2024-01-24_20-36-26-409283,1701033,66,
1706072,1706089,2024-01-24_20-36-31-474006,1706090,17,
1711180,1711255,2024-01-24_20-36-36-640241,1711261,75,
