LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1706146186.882087,1301492.000,18974,2,AK,1,100,18238
1706146186.882087,1301492.000,18974,2,AK,1,100,RD
1706146186.911587,1301521.500,18977,2,AK,1,100,18975
1706146186.941086,1301551.000,18977,2,AK,1,100,RD
1706146189.467558,1304077.500,19812,2,AK,1,100,18975
1706146191.994029,1306604.000,19812,2,AK,1,100,RD
1706146194.557000,1309167.000,20648,2,AK,1,100,19813
1706146197.119971,1311730.000,20648,2,AK,1,100,RD
1706146197.122971,1311733.000,20650,2,AK,1,100,19813
1706146197.125971,1311736.000,20650,2,AK,1,100,RD
1706146199.687942,1314298.000,21485,2,AK,1,100,20651
1706146202.249913,1316860.000,21485,2,AK,1,100,RD
1706146202.251412,1316861.500,21487,2,AK,1,100,20651
1706146202.252913,1316863.000,21487,2,AK,1,100,RD
1706146204.818383,1319428.500,22323,2,AK,1,100,21488
1706146207.383854,1321994.000,22323,2,AK,1,100,RD
1706146207.384854,1321995.000,22325,2,AK,1,100,21488
1706146207.385854,1321996.000,22325,2,AK,1,100,RD
1706146209.950825,1324561.000,23158,2,AK,1,100,22326
1706146212.515796,1327126.000,23158,2,AK,1,100,RD
1706146212.517296,1327127.500,23160,2,AK,1,100,22326
1706146212.518796,1327129.000,23160,2,AK,1,100,RD
1706146212.558795,1327169.000,23163,2,AK,1,100,23161
1706146212.598795,1327209.000,23163,2,AK,1,100,RD
1706146215.111267,1329721.500,23979,2,AK,1,100,23161
1706146217.623738,1332234.000,23979,2,AK,1,100,RD
1706146217.676237,1332286.500,23982,2,AK,1,100,23980
1706146217.728737,1332339.000,23982,2,AK,1,100,RD
1706146220.235708,1334846.000,24817,2,AK,1,100,23980
1706146222.742680,1337353.000,24817,2,AK,1,100,RD
1706146222.748680,1337359.000,24820,2,AK,1,100,24818
1706146222.754680,1337365.000,24820,2,AK,1,100,RD
1706146225.305151,1339915.500,25655,2,AK,1,100,24818
1706146227.855622,1342466.000,25655,2,AK,1,100,RD
1706146227.868122,1342478.500,25658,2,AK,1,100,25656
1706146227.880622,1342491.000,25658,2,AK,1,100,RD
1706146230.421593,1345032.000,26496,2,AK,1,100,25656
1706146232.962564,1347573.000,26496,2,AK,1,100,RD
1706146233.013063,1347623.500,26499,2,AK,1,100,26497
1706146233.063563,1347674.000,26499,2,AK,1,100,RD
1706146235.572034,1350182.500,27334,2,AK,1,100,26497
1706146238.080506,1352691.000,27334,2,AK,1,100,RD
1706146240.647477,1355258.000,28177,2,AK,1,100,27335
1706146243.214447,1357825.000,28177,2,AK,1,100,RD
1706146243.215448,1357826.000,28179,2,AK,1,100,27335
1706146243.216448,1357827.000,28179,2,AK,1,100,RD
1706146243.222948,1357833.500,28182,2,AK,1,100,28180
1706146243.229447,1357840.000,28182,2,AK,1,100,RD
1706146245.775918,1360386.500,29021,2,AK,1,100,28180
1706146248.322390,1362933.000,29021,2,AK,1,100,RD
1706146250.876361,1365487.000,29841,2,AK,1,100,29022
1706146253.430332,1368041.000,29841,2,AK,1,100,RD
1706146253.431332,1368042.000,29843,2,AK,1,100,29022
1706146253.432332,1368043.000,29843,2,AK,1,100,RD
1706146253.465331,1368076.000,29846,2,AK,1,100,29844
1706146253.498331,1368109.000,29846,2,AK,1,100,RD
1706146256.021302,1370632.000,30680,2,AK,1,100,29844
1706146258.544274,1373155.000,30680,2,AK,1,100,RD
1706146261.111244,1375722.000,31515,2,AK,1,100,30681
1706146263.678215,1378289.000,31515,2,AK,1,100,RD
1706146263.679715,1378290.500,31517,2,AK,1,100,30681
1706146263.681215,1378292.000,31517,2,AK,1,100,RD
1706146263.718715,1378329.500,31520,2,AK,1,100,31518
1706146263.756214,1378367.000,31520,2,AK,1,100,RD
1706146266.270686,1380881.500,32355,2,AK,1,100,31518
1706146268.785157,1383396.000,32355,2,AK,1,100,RD
1706146268.804657,1383415.500,32358,2,AK,1,100,32356
1706146268.824157,1383435.000,32358,2,AK,1,100,RD
1706146271.358628,1385969.500,33191,2,AK,1,100,32356
1706146273.893100,1388504.000,33191,2,AK,1,100,RD
1706146273.899099,1388510.000,33194,2,AK,1,100,33192
1706146273.905099,1388516.000,33194,2,AK,1,100,RD
1706146276.457070,1391068.000,34024,2,AK,1,100,33192
1706146279.009041,1393620.000,34024,2,AK,1,100,RD
1706146281.566012,1396177.000,34856,2,AK,1,100,34025
1706146284.122983,1398734.000,34856,2,AK,1,100,RD
1706146284.125483,1398736.500,34858,2,AK,1,100,34025
1706146284.127983,1398739.000,34858,2,AK,1,100,RD
1706146284.167483,1398778.500,34861,2,AK,1,100,34859
1706146284.206982,1398818.000,34861,2,AK,1,100,RD
1706146286.717454,1401328.500,35663,2,AK,1,100,34859
1706146289.227926,1403839.000,35663,2,AK,1,100,RD
1706146289.235925,1403847.000,35666,2,AK,1,100,35664
1706146289.243925,1403855.000,35666,2,AK,1,100,RD
1706146291.790396,1406401.500,36484,2,AK,1,100,35664
1706146294.336867,1408948.000,36484,2,AK,1,100,RD
1706146294.355867,1408967.000,36487,2,AK,1,100,36485
1706146294.374867,1408986.000,36487,2,AK,1,100,RD
1706146296.911338,1411522.500,37307,2,AK,1,100,36485
1706146299.447809,1414059.000,37307,2,AK,1,100,RD
1706146302.017780,1416629.000,38099,2,AK,1,100,37308
1706146304.587751,1419199.000,38099,2,AK,1,100,RD
1706146304.590251,1419201.500,38101,2,AK,1,100,37308
1706146304.592751,1419204.000,38101,2,AK,1,100,RD
1706146304.612751,1419224.000,38104,2,AK,1,100,38102
1706146304.632751,1419244.000,38104,2,AK,1,100,RD
1706146307.172722,1421784.000,38937,2,AK,1,100,38102
1706146309.712693,1424324.000,38937,2,AK,1,100,RD
1706146309.740193,1424351.500,38940,2,AK,1,100,38938
1706146309.767692,1424379.000,38940,2,AK,1,100,RD
1706146312.306664,1426918.000,39776,2,AK,1,100,38938
1706146314.845635,1429457.000,39776,2,AK,1,100,RD
1706146314.858135,1429469.500,39779,2,AK,1,100,39777
1706146314.870634,1429482.000,39779,2,AK,1,100,RD
1706146317.426605,1432038.000,40611,2,AK,1,100,39777
1706146319.982576,1434594.000,40611,2,AK,1,100,RD
1706146322.535048,1437146.500,41431,2,AK,1,100,40612
1706146325.087518,1439699.000,41431,2,AK,1,100,RD
1706146325.088518,1439700.000,41433,2,AK,1,100,40612
1706146325.089519,1439701.000,41433,2,AK,1,100,RD
