LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1706146185.911098,1300521.000,18817,1,AZ,1,100,0.973
1706146185.951097,1300561.000,18834,3,AZ,1,100,0.974
1706146185.991097,1300601.000,18834,3,AZ,1,100,0.977
1706146186.031096,1300641.000,18834,3,AZ,1,100,0.974
1706146186.071096,1300681.000,18850,2,AZ,1,100,0.973
1706146186.111096,1300721.000,18850,2,AZ,1,100,0.975
1706146186.151095,1300761.000,18865,3,AZ,1,100,0.975
1706146186.191095,1300801.000,18865,3,AZ,1,100,0.974
1706146186.231094,1300841.000,18865,3,AZ,1,100,0.973
1706146186.271094,1300881.000,18882,2,AZ,1,100,0.972
1706146186.311093,1300921.000,18882,2,AZ,1,100,0.974
1706146186.351093,1300961.000,18899,3,AZ,1,100,0.976
1706146186.391093,1301001.000,18899,3,AZ,1,100,0.969
1706146186.431092,1301041.000,18899,3,AZ,1,100,0.975
1706146186.466425,1301076.333,18916,3,AZ,1,100,0.974
1706146186.501758,1301111.667,18916,3,AZ,1,100,0.976
1706146186.537091,1301147.000,18916,3,AZ,1,100,0.976
1706146186.577090,1301187.000,18930,2,AZ,1,100,0.974
1706146186.617090,1301227.000,18930,2,AZ,1,100,0.972
1706146186.657423,1301267.333,18950,3,AZ,1,100,0.972
1706146186.697756,1301307.667,18950,3,AZ,1,100,0.974
1706146186.738089,1301348.000,18950,3,AZ,1,100,0.975
1706146186.778088,1301388.000,18966,2,AZ,1,100,0.975
1706146186.818088,1301428.000,18966,2,AZ,1,100,0.973
1706146186.858087,1301468.000,18988,3,AZ,1,100,0.972
1706146186.898087,1301508.000,18988,3,AZ,1,100,0.973
1706146186.938086,1301548.000,18988,3,AZ,1,100,0.971
1706146186.978086,1301588.000,19003,2,AZ,1,100,0.972
1706146187.018085,1301628.000,19003,2,AZ,1,100,0.975
1706146187.058085,1301668.000,19020,3,AZ,1,100,0.971
1706146187.098084,1301708.000,19020,3,AZ,1,100,0.977
1706146187.138084,1301748.000,19020,3,AZ,1,100,0.970
1706146187.178084,1301788.000,19036,3,AZ,1,100,0.975
1706146187.218083,1301828.000,19036,3,AZ,1,100,0.975
1706146187.258083,1301868.000,19036,3,AZ,1,100,0.975
1706146187.298082,1301908.000,19054,2,AZ,1,100,0.975
1706146187.338082,1301948.000,19054,2,AZ,1,100,0.971
1706146187.378081,1301988.000,19071,3,AZ,1,100,0.978
1706146187.418081,1302028.000,19071,3,AZ,1,100,0.967
1706146187.458080,1302068.000,19071,3,AZ,1,100,0.976
1706146187.498080,1302108.000,19087,2,AZ,1,100,0.973
1706146187.538080,1302148.000,19087,2,AZ,1,100,0.973
1706146187.578079,1302188.000,19103,3,AZ,1,100,0.974
1706146187.618078,1302228.000,19103,3,AZ,1,100,0.977
1706146187.658078,1302268.000,19103,3,AZ,1,100,0.972
1706146187.698078,1302308.000,19121,2,AZ,1,100,0.977
1706146187.738077,1302348.000,19121,2,AZ,1,100,0.977
1706146187.778077,1302388.000,19136,3,AZ,1,100,0.971
1706146187.818076,1302428.000,19136,3,AZ,1,100,0.970
1706146187.858076,1302468.000,19136,3,AZ,1,100,0.974
1706146187.898075,1302508.000,19152,2,AZ,1,100,0.971
1706146187.938075,1302548.000,19152,2,AZ,1,100,0.972
1706146187.978075,1302588.000,19169,3,AZ,1,100,0.974
1706146188.018074,1302628.000,19169,3,AZ,1,100,0.975
1706146188.058074,1302668.000,19169,3,AZ,1,100,0.976
1706146188.098073,1302708.000,19188,2,AZ,1,100,0.968
1706146188.138073,1302748.000,19188,2,AZ,1,100,0.973
1706146188.178072,1302788.000,19204,3,AZ,1,100,0.966
1706146188.218072,1302828.000,19204,3,AZ,1,100,0.989
1706146188.258071,1302868.000,19204,3,AZ,1,100,0.958
1706146188.298071,1302908.000,19220,3,AZ,1,100,0.977
1706146188.338070,1302948.000,19220,3,AZ,1,100,0.972
1706146188.378070,1302988.000,19220,3,AZ,1,100,0.971
1706146188.413403,1303023.333,19236,3,AZ,1,100,0.976
1706146188.448736,1303058.667,19236,3,AZ,1,100,0.970
1706146188.484069,1303094.000,19236,3,AZ,1,100,0.973
1706146188.524068,1303134.000,19253,2,AZ,1,100,0.973
1706146188.564068,1303174.000,19253,2,AZ,1,100,0.975
1706146188.604067,1303214.000,19270,3,AZ,1,100,0.974
1706146188.644067,1303254.000,19270,3,AZ,1,100,0.971
1706146188.684067,1303294.000,19270,3,AZ,1,100,0.977
1706146188.724066,1303334.000,19285,2,AZ,1,100,0.971
1706146188.764066,1303374.000,19285,2,AZ,1,100,0.971
1706146188.804065,1303414.000,19301,3,AZ,1,100,0.969
1706146188.844065,1303454.000,19301,3,AZ,1,100,0.973
1706146188.884064,1303494.000,19301,3,AZ,1,100,0.975
1706146188.924064,1303534.000,19318,2,AZ,1,100,0.971
1706146188.964063,1303574.000,19318,2,AZ,1,100,0.971
1706146189.004063,1303614.000,19335,3,AZ,1,100,0.974
1706146189.044062,1303654.000,19335,3,AZ,1,100,0.971
1706146189.084062,1303694.000,19335,3,AZ,1,100,0.969
1706146189.124061,1303734.000,19352,2,AZ,1,100,0.972
