LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1706146186.636090,1301246.000,18938,1,B%,1,100,42
1706146191.635033,1306245.000,19761,1,B%,1,100,41
1706146196.634976,1311245.000,20581,1,B%,1,100,41
1706146201.634919,1316245.000,21400,1,B%,1,100,41
1706146206.633863,1321244.000,22220,1,B%,1,100,41
1706146211.632806,1326243.000,23024,1,B%,1,100,41
1706146216.632749,1331243.000,23847,1,B%,1,100,42
1706146221.632693,1336243.000,24647,1,B%,1,100,42
1706146226.631636,1341242.000,25472,1,B%,1,100,42
1706146231.631579,1346242.000,26295,1,B%,1,100,42
1706146236.630522,1351241.000,27115,1,B%,1,100,41
1706146241.630466,1356241.000,27927,1,B%,1,100,42
1706146246.629409,1361240.000,28767,1,B%,1,100,42
1706146251.628352,1366239.000,29571,1,B%,1,100,42
1706146256.628295,1371239.000,30377,1,B%,1,100,42
1706146261.628239,1376239.000,31199,1,B%,1,100,42
1706146266.627182,1381238.000,32021,1,B%,1,100,42
1706146271.626125,1386237.000,32840,1,B%,1,100,42
1706146276.626068,1391237.000,33639,1,B%,1,100,42
1706146281.626012,1396237.000,34458,1,B%,1,100,42
1706146286.624955,1401236.000,35263,1,B%,1,100,42
1706146291.624898,1406236.000,36066,1,B%,1,100,42
1706146296.623842,1411235.000,36872,1,B%,1,100,42
1706146301.622785,1416234.000,37678,1,B%,1,100,42
1706146306.622728,1421234.000,38436,1,B%,1,100,42
1706146311.622671,1426234.000,39258,1,B%,1,100,42
1706146316.621614,1431233.000,40080,1,B%,1,100,43
1706146321.620558,1436232.000,40898,1,B%,1,100,42
1706146326.620501,1441232.000,41686,1,B%,1,100,43
1706146331.620444,1446232.000,42505,1,B%,1,100,42
1706146336.619388,1451231.000,43327,1,B%,1,100,43
1706146341.618331,1456230.000,44145,1,B%,1,100,43
1706146346.618274,1461230.000,44964,1,B%,1,100,43
1706146351.617217,1466229.000,45773,1,B%,1,100,43
1706146356.617161,1471229.000,46598,1,B%,1,100,43
1706146361.617104,1476229.000,47402,1,B%,1,100,43
1706146366.616047,1481228.000,48232,1,B%,1,100,43
1706146371.615990,1486228.000,49052,1,B%,1,100,43
1706146376.614934,1491227.000,49892,1,B%,1,100,43
