LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1706146187.458080,1302068,19061,1,BI,1,100,1560
1706146188.138073,1302748,19177,1,BI,1,100,680
1706146189.138061,1303748,19343,1,BI,1,100,1000
1706146189.818053,1304428,19458,1,BI,1,100,680
1706146190.631044,1305241,19592,1,BI,1,100,800
1706146191.471035,1306081,19725,1,BI,1,100,840
1706146192.311025,1306921,19865,1,BI,1,100,840
1706146193.031017,1307641,19981,1,BI,1,100,720
1706146193.791008,1308401,20098,1,BI,1,100,760
1706146194.670999,1309281,20245,1,BI,1,100,880
1706146195.483989,1310094,20378,1,BI,1,100,800
1706146196.323980,1310934,20512,1,BI,1,100,840
1706146197.163970,1311774,20653,1,BI,1,100,840
1706146198.003961,1312614,20785,1,BI,1,100,840
1706146198.843951,1313454,20918,1,BI,1,100,840
1706146199.576943,1314187,21050,1,BI,1,100,720
1706146200.416933,1315027,21183,1,BI,1,100,840
1706146201.336923,1315947,21331,1,BI,1,100,920
1706146201.936916,1316547,21434,1,BI,1,100,600
1706146202.936905,1317547,21589,1,BI,1,100,1000
1706146203.869894,1318480,21738,1,BI,1,100,920
1706146204.709885,1319320,21888,1,BI,1,100,840
1706146205.469876,1320080,22003,1,BI,1,100,760
1706146206.348866,1320959,22152,1,BI,1,100,880
1706146207.282855,1321893,22303,1,BI,1,100,920
1706146208.042847,1322653,22427,1,BI,1,100,760
1706146208.921837,1323532,22573,1,BI,1,100,880
1706146209.881826,1324492,22723,1,BI,1,100,960
1706146210.761816,1325372,22872,1,BI,1,100,880
1706146211.535807,1326146,22989,1,BI,1,100,760
1706146212.454797,1327065,23139,1,BI,1,100,920
1706146213.254788,1327865,23280,1,BI,1,100,800
1706146214.174777,1328785,23429,1,BI,1,100,920
1706146215.014768,1329625,23562,1,BI,1,100,840
1706146215.947757,1330558,23710,1,BI,1,100,920
1706146216.547750,1331158,23810,1,BI,1,100,600
1706146217.627738,1332238,23984,1,BI,1,100,1080
1706146218.587727,1333198,24133,1,BI,1,100,960
1706146219.400718,1334011,24266,1,BI,1,100,800
1706146220.120710,1334731,24382,1,BI,1,100,720
1706146220.960700,1335571,24514,1,BI,1,100,840
1706146221.720691,1336331,24649,1,BI,1,100,760
1706146222.640681,1337251,24797,1,BI,1,100,920
1706146223.480672,1338091,24935,1,BI,1,100,840
1706146224.413661,1339024,25084,1,BI,1,100,920
1706146225.453649,1340064,25267,1,BI,1,100,1040
1706146226.213640,1340824,25387,1,BI,1,100,760
1706146227.093631,1341704,25538,1,BI,1,100,880
1706146228.066620,1342677,25690,1,BI,1,100,960
1706146228.866611,1343477,25824,1,BI,1,100,800
1706146229.666601,1344277,25961,1,BI,1,100,800
1706146230.506592,1345117,26096,1,BI,1,100,840
1706146231.386582,1345997,26245,1,BI,1,100,880
1706146232.079574,1346690,26363,1,BI,1,100,680
1706146232.879565,1347490,26500,1,BI,1,100,800
1706146233.839554,1348450,26633,1,BI,1,100,960
1706146234.759544,1349370,26785,1,BI,1,100,920
1706146235.812532,1350423,26949,1,BI,1,100,1040
1706146237.132517,1351743,27184,1,BI,1,100,1320
1706146238.212504,1352823,27353,1,BI,1,100,1080
1706146239.052495,1353663,27486,1,BI,1,100,840
1706146239.812486,1354423,27604,1,BI,1,100,760
1706146240.825475,1355436,27778,1,BI,1,100,1000
1706146241.665465,1356276,27928,1,BI,1,100,840
1706146242.425457,1357036,28045,1,BI,1,100,760
1706146243.345446,1357956,28200,1,BI,1,100,920
1706146244.318435,1358929,28366,1,BI,1,100,960
1706146244.998427,1359609,28465,1,BI,1,100,680
1706146245.838418,1360449,28617,1,BI,1,100,840
1706146246.758407,1361369,28768,1,BI,1,100,920
1706146247.638397,1362249,28904,1,BI,1,100,880
1706146248.331389,1362942,29023,1,BI,1,100,680
1706146249.131381,1363742,29140,1,BI,1,100,800
1706146250.051370,1364662,29288,1,BI,1,100,920
1706146250.891361,1365502,29438,1,BI,1,100,840
1706146251.730351,1366341,29573,1,BI,1,100,840
1706146252.624341,1367235,29705,1,BI,1,100,880
1706146253.464331,1368075,29847,1,BI,1,100,840
1706146254.224323,1368835,29979,1,BI,1,100,760
1706146255.143312,1369754,30129,1,BI,1,100,920
1706146256.023302,1370634,30261,1,BI,1,100,880
1706146256.797293,1371408,30396,1,BI,1,100,760
1706146257.557285,1372168,30513,1,BI,1,100,760
1706146258.437275,1373048,30661,1,BI,1,100,880
1706146259.277265,1373888,30798,1,BI,1,100,840
1706146259.836259,1374447,30883,1,BI,1,100,560
1706146260.850247,1375461,31047,1,BI,1,100,1000
1706146261.570239,1376181,31164,1,BI,1,100,720
1706146262.490229,1377101,31316,1,BI,1,100,920
1706146263.370219,1377981,31465,1,BI,1,100,880
1706146264.089211,1378700,31588,1,BI,1,100,720
1706146264.903202,1379514,31720,1,BI,1,100,800
1706146265.582194,1380193,31821,1,BI,1,100,680
1706146266.262186,1380873,31936,1,BI,1,100,680
1706146267.062177,1381673,32071,1,BI,1,100,800
1706146267.742169,1382353,32187,1,BI,1,100,680
1706146268.596159,1383207,32321,1,BI,1,100,840
1706146269.356151,1383967,32459,1,BI,1,100,760
1706146270.315140,1384926,32607,1,BI,1,100,960
1706146271.235130,1385846,32755,1,BI,1,100,920
1706146272.155119,1386766,32906,1,BI,1,100,920
1706146272.928110,1387539,33038,1,BI,1,100,760
1706146273.728101,1388339,33171,1,BI,1,100,800
1706146274.608091,1389219,33292,1,BI,1,100,880
1706146276.248073,1390859,33572,1,BI,1,100,1640
1706146277.181062,1391792,33723,1,BI,1,100,920
1706146278.141051,1392752,33873,1,BI,1,100,960
1706146278.861043,1393472,33988,1,BI,1,100,720
1706146279.821032,1394432,34142,1,BI,1,100,960
1706146280.754022,1395365,34307,1,BI,1,100,920
1706146281.474013,1396085,34423,1,BI,1,100,720
1706146282.434003,1397045,34574,1,BI,1,100,960
1706146283.473991,1398085,34740,1,BI,1,100,1040
1706146284.353981,1398965,34897,1,BI,1,100,880
1706146285.086972,1399698,35013,1,BI,1,100,720
1706146286.006962,1400618,35161,1,BI,1,100,920
1706146286.886952,1401498,35296,1,BI,1,100,880
1706146287.486945,1402098,35397,1,BI,1,100,600
1706146288.446934,1403058,35546,1,BI,1,100,960
1706146289.379924,1403991,35685,1,BI,1,100,920
1706146290.139915,1404751,35800,1,BI,1,100,760
1706146290.979906,1405591,35932,1,BI,1,100,840
1706146291.859895,1406471,36084,1,BI,1,100,880
1706146292.619887,1407231,36216,1,BI,1,100,760
1706146293.512877,1408124,36349,1,BI,1,100,880
1706146294.272868,1408884,36488,1,BI,1,100,760
1706146295.152858,1409764,36607,1,BI,1,100,880
1706146295.952849,1410564,36739,1,BI,1,100,800
1706146296.805840,1411417,36874,1,BI,1,100,840
1706146297.685829,1412297,37022,1,BI,1,100,880
1706146298.445821,1413057,37139,1,BI,1,100,760
1706146299.285811,1413897,37287,1,BI,1,100,840
1706146300.125802,1414737,37409,1,BI,1,100,840
1706146300.938792,1415550,37541,1,BI,1,100,800
1706146301.618785,1416230,37658,1,BI,1,100,680
1706146302.298777,1416910,37714,1,BI,1,100,680
