LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1706146186.636090,1301246.000,18937,1,BV,1,100,3.67
1706146191.635033,1306245.000,19760,1,BV,1,100,3.67
1706146196.634976,1311245.000,20580,1,BV,1,100,3.67
1706146201.634919,1316245.000,21399,1,BV,1,100,3.67
1706146206.633863,1321244.000,22219,1,BV,1,100,3.67
1706146211.632806,1326243.000,23023,1,BV,1,100,3.67
1706146216.632749,1331243.000,23846,1,BV,1,100,3.67
1706146221.632693,1336243.000,24646,1,BV,1,100,3.67
1706146226.631636,1341242.000,25471,1,BV,1,100,3.67
1706146231.630579,1346241.000,26294,1,BV,1,100,3.67
1706146236.630522,1351241.000,27114,1,BV,1,100,3.67
1706146241.629466,1356240.000,27926,1,BV,1,100,3.67
1706146246.629409,1361240.000,28766,1,BV,1,100,3.67
1706146251.628352,1366239.000,29570,1,BV,1,100,3.68
1706146256.628295,1371239.000,30376,1,BV,1,100,3.67
1706146261.628239,1376239.000,31198,1,BV,1,100,3.68
1706146266.627182,1381238.000,32020,1,BV,1,100,3.67
1706146271.626125,1386237.000,32839,1,BV,1,100,3.68
1706146276.626068,1391237.000,33638,1,BV,1,100,3.68
1706146281.626012,1396237.000,34457,1,BV,1,100,3.68
1706146286.624955,1401236.000,35262,1,BV,1,100,3.68
1706146291.624898,1406236.000,36065,1,BV,1,100,3.68
1706146296.623842,1411235.000,36871,1,BV,1,100,3.68
1706146301.622785,1416234.000,37677,1,BV,1,100,3.68
1706146306.622728,1421234.000,38435,1,BV,1,100,3.67
1706146311.622671,1426234.000,39257,1,BV,1,100,3.68
1706146316.621614,1431233.000,40079,1,BV,1,100,3.68
1706146321.620558,1436232.000,40897,1,BV,1,100,3.68
1706146326.620501,1441232.000,41685,1,BV,1,100,3.68
1706146331.620444,1446232.000,42504,1,BV,1,100,3.68
1706146336.619388,1451231.000,43326,1,BV,1,100,3.68
1706146341.618331,1456230.000,44144,1,BV,1,100,3.68
1706146346.618274,1461230.000,44963,1,BV,1,100,3.68
1706146351.617217,1466229.000,45772,1,BV,1,100,3.68
1706146356.617161,1471229.000,46597,1,BV,1,100,3.68
1706146361.617104,1476229.000,47401,1,BV,1,100,3.68
1706146366.616047,1481228.000,48231,1,BV,1,100,3.68
1706146371.615990,1486228.000,49051,1,BV,1,100,3.68
1706146376.614934,1491227.000,49891,1,BV,1,100,3.68
