LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1706146186.003097,1300613.000,18828,2,EA,1,100,0.065792
1706146186.003097,1300613.000,18828,2,EA,1,100,0.065792
1706146186.070096,1300680.000,18845,1,EA,1,100,0.065810
1706146186.136595,1300746.500,18860,2,EA,1,100,0.065787
1706146186.203095,1300813.000,18860,2,EA,1,100,0.065795
1706146186.270094,1300880.000,18876,1,EA,1,100,0.065820
1706146186.336593,1300946.500,18893,2,EA,1,100,0.065757
1706146186.403092,1301013.000,18893,2,EA,1,100,0.065795
1706146186.470092,1301080.000,18910,2,EA,1,100,0.065815
1706146186.537091,1301147.000,18910,2,EA,1,100,0.065811
1706146186.603090,1301213.000,18926,1,EA,1,100,0.065772
1706146186.670089,1301280.000,18944,2,EA,1,100,0.065775
1706146186.737088,1301347.000,18944,2,EA,1,100,0.065782
1706146186.803088,1301413.000,18960,1,EA,1,100,0.065764
1706146186.870087,1301480.000,18982,2,EA,1,100,0.065783
1706146186.937086,1301547.000,18982,2,EA,1,100,0.065770
1706146187.003086,1301613.000,18999,1,EA,1,100,0.065757
1706146187.070085,1301680.000,19014,2,EA,1,100,0.065767
1706146187.137084,1301747.000,19014,2,EA,1,100,0.065759
1706146187.203083,1301813.000,19030,1,EA,1,100,0.065764
1706146187.270082,1301880.000,19048,2,EA,1,100,0.065740
1706146187.337082,1301947.000,19048,2,EA,1,100,0.065743
1706146187.403081,1302013.000,19066,1,EA,1,100,0.065740
1706146187.470080,1302080.000,19082,2,EA,1,100,0.065748
1706146187.537080,1302147.000,19082,2,EA,1,100,0.065800
1706146187.603079,1302213.000,19097,1,EA,1,100,0.065773
1706146187.670078,1302280.000,19115,2,EA,1,100,0.065743
1706146187.737077,1302347.000,19115,2,EA,1,100,0.065763
1706146187.803077,1302413.000,19131,1,EA,1,100,0.065762
1706146187.869576,1302479.500,19147,2,EA,1,100,0.065748
1706146187.936075,1302546.000,19147,2,EA,1,100,0.065757
1706146188.003074,1302613.000,19163,2,EA,1,100,0.065745
1706146188.070073,1302680.000,19163,2,EA,1,100,0.065699
1706146188.136073,1302746.000,19182,1,EA,1,100,0.065731
1706146188.203072,1302813.000,19198,2,EA,1,100,0.065736
1706146188.270071,1302880.000,19198,2,EA,1,100,0.065729
1706146188.336070,1302946.000,19216,1,EA,1,100,0.065743
1706146188.403070,1303013.000,19230,2,EA,1,100,0.065730
1706146188.470069,1303080.000,19230,2,EA,1,100,0.065724
1706146188.536068,1303146.000,19247,1,EA,1,100,0.065748
1706146188.603067,1303213.000,19264,2,EA,1,100,0.065730
1706146188.670067,1303280.000,19264,2,EA,1,100,0.065722
1706146188.737066,1303347.000,19281,1,EA,1,100,0.065723
1706146188.803565,1303413.500,19295,2,EA,1,100,0.065744
1706146188.870064,1303480.000,19295,2,EA,1,100,0.065717
1706146188.936064,1303546.000,19312,1,EA,1,100,0.065715
1706146189.003063,1303613.000,19329,2,EA,1,100,0.065727
1706146189.070062,1303680.000,19329,2,EA,1,100,0.065717
1706146189.137061,1303747.000,19348,1,EA,1,100,0.065707
1706146189.203561,1303813.500,19362,2,EA,1,100,0.065726
1706146189.270060,1303880.000,19362,2,EA,1,100,0.065717
1706146189.336059,1303946.000,19380,1,EA,1,100,0.065731
1706146189.403058,1304013.000,19396,2,EA,1,100,0.065709
1706146189.470057,1304080.000,19396,2,EA,1,100,0.065709
1706146189.536057,1304146.000,19413,1,EA,1,100,0.065751
1706146189.603056,1304213.000,19429,2,EA,1,100,0.065782
1706146189.670055,1304280.000,19429,2,EA,1,100,0.065798
1706146189.736555,1304346.500,19445,2,EA,1,100,0.065831
1706146189.803054,1304413.000,19445,2,EA,1,100,0.065861
1706146189.870053,1304480.000,19463,1,EA,1,100,0.065831
1706146189.936552,1304546.500,19483,2,EA,1,100,0.065793
1706146190.003052,1304613.000,19483,2,EA,1,100,0.065796
1706146190.070051,1304680.000,19499,1,EA,1,100,0.065773
1706146190.136550,1304746.500,19514,2,EA,1,100,0.065787
1706146190.203049,1304813.000,19514,2,EA,1,100,0.065772
1706146190.270048,1304880.000,19530,1,EA,1,100,0.065736
1706146190.336548,1304946.500,19548,2,EA,1,100,0.065689
1706146190.403047,1305013.000,19548,2,EA,1,100,0.065667
1706146190.470046,1305080.000,19564,1,EA,1,100,0.065676
1706146190.536546,1305146.500,19579,2,EA,1,100,0.065668
1706146190.603045,1305213.000,19579,2,EA,1,100,0.065646
1706146190.670044,1305280.000,19598,1,EA,1,100,0.065648
1706146190.736543,1305346.500,19615,2,EA,1,100,0.065635
1706146190.803042,1305413.000,19615,2,EA,1,100,0.065630
1706146190.870042,1305480.000,19631,1,EA,1,100,0.065636
1706146190.936541,1305546.500,19647,2,EA,1,100,0.065676
1706146191.003040,1305613.000,19647,2,EA,1,100,0.065681
1706146191.070039,1305680.000,19663,1,EA,1,100,0.065708
1706146191.136539,1305746.500,19680,2,EA,1,100,0.065689
1706146191.203038,1305813.000,19680,2,EA,1,100,0.065665
1706146191.270037,1305880.000,19696,1,EA,1,100,0.065654
1706146191.336536,1305946.500,19712,2,EA,1,100,0.065656
1706146191.403036,1306013.000,19712,2,EA,1,100,0.065652
1706146191.470035,1306080.000,19730,1,EA,1,100,0.065676
1706146191.536534,1306146.500,19747,2,EA,1,100,0.065642
1706146191.603033,1306213.000,19747,2,EA,1,100,0.065656
1706146191.669533,1306279.500,19766,2,EA,1,100,0.065687
1706146191.736032,1306346.000,19766,2,EA,1,100,0.065659
1706146191.803031,1306413.000,19783,1,EA,1,100,0.065623
1706146191.869530,1306479.500,19797,2,EA,1,100,0.065660
1706146191.936029,1306546.000,19797,2,EA,1,100,0.065619
1706146192.002529,1306612.500,19818,2,EA,1,100,0.065606
1706146192.069028,1306679.000,19818,2,EA,1,100,0.065646
1706146192.136027,1306746.000,19835,2,EA,1,100,0.065659
1706146192.203027,1306813.000,19835,2,EA,1,100,0.065632
1706146192.269026,1306879.000,19851,1,EA,1,100,0.065664
1706146192.336025,1306946.000,19871,2,EA,1,100,0.065663
1706146192.403024,1307013.000,19871,2,EA,1,100,0.065648
1706146192.469023,1307079.000,19887,1,EA,1,100,0.065627
1706146192.536023,1307146.000,19902,2,EA,1,100,0.065643
1706146192.603022,1307213.000,19902,2,EA,1,100,0.065644
1706146192.669021,1307279.000,19919,1,EA,1,100,0.065660
1706146192.736021,1307346.000,19936,2,EA,1,100,0.065657
1706146192.803020,1307413.000,19936,2,EA,1,100,0.065621
1706146192.869019,1307479.000,19952,1,EA,1,100,0.065632
1706146192.936018,1307546.000,19968,2,EA,1,100,0.065620
1706146193.003017,1307613.000,19968,2,EA,1,100,0.065661
1706146193.069017,1307679.000,19986,1,EA,1,100,0.065646
1706146193.136016,1307746.000,20003,2,EA,1,100,0.065639
1706146193.203015,1307813.000,20003,2,EA,1,100,0.065642
1706146193.269014,1307879.000,20019,1,EA,1,100,0.065656
1706146193.336014,1307946.000,20035,2,EA,1,100,0.065623
1706146193.403013,1308013.000,20035,2,EA,1,100,0.065629
1706146193.469012,1308079.000,20051,1,EA,1,100,0.065644
1706146193.536011,1308146.000,20068,2,EA,1,100,0.065629
1706146193.603011,1308213.000,20068,2,EA,1,100,0.065643
1706146193.669010,1308279.000,20085,1,EA,1,100,0.065641
1706146193.736009,1308346.000,20103,2,EA,1,100,0.065583
1706146193.803008,1308413.000,20103,2,EA,1,100,0.065577
1706146193.869008,1308479.000,20118,1,EA,1,100,0.065616
1706146193.936007,1308546.000,20136,2,EA,1,100,0.065564
1706146194.003006,1308613.000,20136,2,EA,1,100,0.065574
1706146194.069505,1308679.500,20152,2,EA,1,100,0.065607
1706146194.136005,1308746.000,20152,2,EA,1,100,0.065614
1706146194.203004,1308813.000,20169,1,EA,1,100,0.065629
1706146194.269503,1308879.500,20184,2,EA,1,100,0.065620
1706146194.336002,1308946.000,20184,2,EA,1,100,0.065626
1706146194.403002,1309013.000,20201,1,EA,1,100,0.065582
1706146194.469501,1309079.500,20217,2,EA,1,100,0.065575
1706146194.536000,1309146.000,20217,2,EA,1,100,0.065557
1706146194.602999,1309213.000,20234,1,EA,1,100,0.065587
1706146194.669498,1309279.500,20251,2,EA,1,100,0.065602
1706146194.735998,1309346.000,20251,2,EA,1,100,0.065593
1706146194.802997,1309413.000,20268,1,EA,1,100,0.065620
1706146194.869496,1309479.500,20284,2,EA,1,100,0.065622
1706146194.935996,1309546.000,20284,2,EA,1,100,0.065603
1706146195.002995,1309613.000,20302,1,EA,1,100,0.065633
1706146195.069494,1309679.500,20316,2,EA,1,100,0.065596
1706146195.135993,1309746.000,20316,2,EA,1,100,0.065585
1706146195.202992,1309813.000,20333,1,EA,1,100,0.065579
1706146195.269492,1309879.500,20350,2,EA,1,100,0.065564
1706146195.335991,1309946.000,20350,2,EA,1,100,0.065588
1706146195.402990,1310013.000,20367,1,EA,1,100,0.065587
1706146195.469489,1310079.500,20383,2,EA,1,100,0.065559
1706146195.535989,1310146.000,20383,2,EA,1,100,0.065547
1706146195.601988,1310212.000,20400,1,EA,1,100,0.065590
1706146195.668987,1310279.000,20417,2,EA,1,100,0.065570
1706146195.735986,1310346.000,20417,2,EA,1,100,0.065548
1706146195.801986,1310412.000,20434,1,EA,1,100,0.065543
1706146195.868985,1310479.000,20448,2,EA,1,100,0.065548
1706146195.935984,1310546.000,20448,2,EA,1,100,0.065565
1706146196.001983,1310612.000,20466,1,EA,1,100,0.065587
1706146196.068983,1310679.000,20482,2,EA,1,100,0.065571
1706146196.135982,1310746.000,20482,2,EA,1,100,0.065571
1706146196.202481,1310812.500,20499,2,EA,1,100,0.065612
1706146196.268980,1310879.000,20499,2,EA,1,100,0.065581
1706146196.335980,1310946.000,20518,1,EA,1,100,0.065615
1706146196.402479,1311012.500,20533,2,EA,1,100,0.065596
1706146196.468978,1311079.000,20533,2,EA,1,100,0.065569
1706146196.535977,1311146.000,20549,1,EA,1,100,0.065610
1706146196.602477,1311212.500,20567,2,EA,1,100,0.065635
1706146196.668976,1311279.000,20567,2,EA,1,100,0.065611
1706146196.735975,1311346.000,20585,1,EA,1,100,0.065613
1706146196.802474,1311412.500,20600,2,EA,1,100,0.065594
1706146196.868973,1311479.000,20600,2,EA,1,100,0.065579
1706146196.935973,1311546.000,20616,1,EA,1,100,0.065590
1706146197.002472,1311612.500,20634,2,EA,1,100,0.065603
1706146197.068971,1311679.000,20634,2,EA,1,100,0.065572
