LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1706146186.003097,1300613.000,18829,2,EL,1,100,1613.400024
1706146186.003097,1300613.000,18829,2,EL,1,100,1613.199951
1706146186.070096,1300680.000,18846,1,EL,1,100,1607.400024
1706146186.136595,1300746.500,18861,2,EL,1,100,1614.800049
1706146186.203095,1300813.000,18861,2,EL,1,100,1612.400024
1706146186.270094,1300880.000,18877,1,EL,1,100,1604.199951
1706146186.336593,1300946.500,18894,2,EL,1,100,1624.400024
1706146186.403092,1301013.000,18894,2,EL,1,100,1612.400024
1706146186.470092,1301080.000,18911,2,EL,1,100,1605.800049
1706146186.537091,1301147.000,18911,2,EL,1,100,1607.000000
1706146186.603090,1301213.000,18927,1,EL,1,100,1619.599976
1706146186.670089,1301280.000,18945,2,EL,1,100,1618.599976
1706146186.737088,1301347.000,18945,2,EL,1,100,1616.400024
1706146186.803088,1301413.000,18961,1,EL,1,100,1622.400024
1706146186.870087,1301480.000,18983,2,EL,1,100,1616.000000
1706146186.937086,1301547.000,18983,2,EL,1,100,1620.400024
1706146187.003086,1301613.000,19000,1,EL,1,100,1624.400024
1706146187.070085,1301680.000,19015,2,EL,1,100,1621.199951
1706146187.137084,1301747.000,19015,2,EL,1,100,1623.800049
1706146187.203083,1301813.000,19031,1,EL,1,100,1622.199951
1706146187.270082,1301880.000,19049,2,EL,1,100,1630.199951
1706146187.337082,1301947.000,19049,2,EL,1,100,1629.199951
1706146187.403081,1302013.000,19067,1,EL,1,100,1630.199951
1706146187.470080,1302080.000,19083,2,EL,1,100,1627.400024
1706146187.537080,1302147.000,19083,2,EL,1,100,1610.599976
1706146187.603079,1302213.000,19098,1,EL,1,100,1619.400024
1706146187.670078,1302280.000,19116,2,EL,1,100,1629.199951
1706146187.737077,1302347.000,19116,2,EL,1,100,1622.599976
1706146187.803077,1302413.000,19132,1,EL,1,100,1622.800049
1706146187.869576,1302479.500,19148,2,EL,1,100,1627.599976
1706146187.936075,1302546.000,19148,2,EL,1,100,1624.599976
1706146188.003074,1302613.000,19164,2,EL,1,100,1628.400024
1706146188.070073,1302680.000,19164,2,EL,1,100,1643.400024
1706146188.136073,1302746.000,19183,1,EL,1,100,1632.800049
1706146188.203072,1302813.000,19199,2,EL,1,100,1631.199951
1706146188.270071,1302880.000,19199,2,EL,1,100,1633.599976
1706146188.336070,1302946.000,19217,1,EL,1,100,1629.000000
1706146188.403070,1303013.000,19231,2,EL,1,100,1633.400024
1706146188.470069,1303080.000,19231,2,EL,1,100,1635.199951
1706146188.536068,1303146.000,19248,1,EL,1,100,1627.400024
1706146188.603067,1303213.000,19265,2,EL,1,100,1633.400024
1706146188.670067,1303280.000,19265,2,EL,1,100,1635.800049
1706146188.737066,1303347.000,19282,1,EL,1,100,1635.599976
1706146188.803565,1303413.500,19296,2,EL,1,100,1628.800049
1706146188.870064,1303480.000,19296,2,EL,1,100,1637.599976
1706146188.936064,1303546.000,19313,1,EL,1,100,1638.199951
1706146189.003063,1303613.000,19330,2,EL,1,100,1634.199951
1706146189.070062,1303680.000,19330,2,EL,1,100,1637.599976
1706146189.137061,1303747.000,19349,1,EL,1,100,1640.599976
1706146189.203561,1303813.500,19363,2,EL,1,100,1634.599976
1706146189.270060,1303880.000,19363,2,EL,1,100,1637.599976
1706146189.336059,1303946.000,19381,1,EL,1,100,1632.800049
1706146189.403058,1304013.000,19397,2,EL,1,100,1640.000000
1706146189.470057,1304080.000,19397,2,EL,1,100,1640.199951
1706146189.536057,1304146.000,19414,1,EL,1,100,1626.599976
1706146189.603056,1304213.000,19430,2,EL,1,100,1616.400024
1706146189.670055,1304280.000,19430,2,EL,1,100,1611.400024
1706146189.736555,1304346.500,19446,2,EL,1,100,1600.800049
1706146189.803054,1304413.000,19446,2,EL,1,100,1591.000000
1706146189.870053,1304480.000,19464,1,EL,1,100,1600.800049
1706146189.936552,1304546.500,19484,2,EL,1,100,1613.000000
1706146190.003052,1304613.000,19484,2,EL,1,100,1611.800049
1706146190.070051,1304680.000,19500,1,EL,1,100,1619.400024
1706146190.136550,1304746.500,19515,2,EL,1,100,1615.000000
1706146190.203049,1304813.000,19515,2,EL,1,100,1619.800049
1706146190.270048,1304880.000,19531,1,EL,1,100,1631.400024
1706146190.336548,1304946.500,19549,2,EL,1,100,1646.400024
1706146190.403047,1305013.000,19549,2,EL,1,100,1653.599976
1706146190.470046,1305080.000,19565,1,EL,1,100,1650.800049
1706146190.536546,1305146.500,19580,2,EL,1,100,1653.400024
1706146190.603045,1305213.000,19580,2,EL,1,100,1660.400024
1706146190.670044,1305280.000,19599,1,EL,1,100,1660.000000
1706146190.736543,1305346.500,19616,2,EL,1,100,1664.199951
1706146190.803042,1305413.000,19616,2,EL,1,100,1665.800049
1706146190.870042,1305480.000,19632,1,EL,1,100,1663.599976
1706146190.936541,1305546.500,19648,2,EL,1,100,1650.800049
1706146191.003040,1305613.000,19648,2,EL,1,100,1649.000000
1706146191.070039,1305680.000,19664,1,EL,1,100,1640.400024
