LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1706146185.927098,1300537.000,18811,4,EM,1,100,RS
1706146185.927098,1300537.000,18811,4,EM,1,100,RB
1706146185.927098,1300537.000,18811,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146185.927098,1300537.000,18811,4,EM,1,100,PS
1706146185.977347,1300587.250,18841,4,EM,1,100,RS
1706146186.027597,1300637.500,18841,4,EM,1,100,RB
1706146186.077846,1300687.750,18841,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146186.128095,1300738.000,18841,4,EM,1,100,PS
1706146186.178345,1300788.250,18872,4,EM,1,100,RS
1706146186.228594,1300838.500,18872,4,EM,1,100,RB
1706146186.278844,1300888.750,18872,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146186.329093,1300939.000,18872,4,EM,1,100,PS
1706146186.379593,1300989.500,18906,4,EM,1,100,RS
1706146186.430092,1301040.000,18906,4,EM,1,100,RB
1706146186.480592,1301090.500,18906,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146186.531091,1301141.000,18906,4,EM,1,100,PS
1706146186.581340,1301191.250,18939,4,EM,1,100,RS
1706146186.631590,1301241.500,18939,4,EM,1,100,RB
1706146186.681839,1301291.750,18939,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146186.732089,1301342.000,18939,4,EM,1,100,PS
1706146186.785838,1301395.750,18978,4,EM,1,100,RS
1706146186.839587,1301449.500,18978,4,EM,1,100,RB
1706146186.893337,1301503.250,18978,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146186.947086,1301557.000,18978,4,EM,1,100,PS
1706146186.997336,1301607.250,19010,4,EM,1,100,RS
1706146187.047585,1301657.500,19010,4,EM,1,100,RB
1706146187.097834,1301707.750,19010,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146187.148084,1301758.000,19010,4,EM,1,100,PS
1706146187.199083,1301809.000,19043,4,EM,1,100,RS
1706146187.250083,1301860.000,19043,4,EM,1,100,RB
1706146187.301082,1301911.000,19043,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146187.352082,1301962.000,19043,4,EM,1,100,PS
1706146187.402331,1302012.250,19078,4,EM,1,100,RS
1706146187.452580,1302062.500,19078,4,EM,1,100,RB
1706146187.502830,1302112.750,19078,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146187.553079,1302163.000,19078,4,EM,1,100,PS
1706146187.603329,1302213.250,19110,4,EM,1,100,RS
1706146187.653578,1302263.500,19110,4,EM,1,100,RB
1706146187.703828,1302313.750,19110,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146187.754077,1302364.000,19110,4,EM,1,100,PS
1706146187.804327,1302414.250,19143,4,EM,1,100,RS
1706146187.854576,1302464.500,19143,4,EM,1,100,RB
1706146187.904825,1302514.750,19143,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146187.955075,1302565.000,19143,4,EM,1,100,PS
1706146188.005324,1302615.250,19176,4,EM,1,100,RS
1706146188.055574,1302665.500,19176,4,EM,1,100,RB
1706146188.105823,1302715.750,19176,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146188.156072,1302766.000,19176,4,EM,1,100,PS
1706146188.206322,1302816.250,19211,4,EM,1,100,RS
1706146188.256571,1302866.500,19211,4,EM,1,100,RB
1706146188.306821,1302916.750,19211,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146188.357070,1302967.000,19211,4,EM,1,100,PS
1706146188.407320,1303017.250,19243,4,EM,1,100,RS
1706146188.457569,1303067.500,19243,4,EM,1,100,RB
1706146188.507818,1303117.750,19243,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146188.558068,1303168.000,19243,4,EM,1,100,PS
1706146188.608317,1303218.250,19277,4,EM,1,100,RS
1706146188.658567,1303268.500,19277,4,EM,1,100,RB
1706146188.708816,1303318.750,19277,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146188.759066,1303369.000,19277,4,EM,1,100,PS
1706146188.809315,1303419.250,19308,4,EM,1,100,RS
1706146188.859565,1303469.500,19308,4,EM,1,100,RB
1706146188.909814,1303519.750,19308,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146188.960063,1303570.000,19308,4,EM,1,100,PS
1706146189.010313,1303620.250,19342,4,EM,1,100,RS
1706146189.060562,1303670.500,19342,4,EM,1,100,RB
1706146189.110812,1303720.750,19342,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146189.161061,1303771.000,19342,4,EM,1,100,PS
1706146189.212060,1303822.000,19375,4,EM,1,100,RS
1706146189.263060,1303873.000,19375,4,EM,1,100,RB
1706146189.314059,1303924.000,19375,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146189.365059,1303975.000,19375,4,EM,1,100,PS
1706146189.415308,1304025.250,19409,4,EM,1,100,RS
1706146189.465558,1304075.500,19409,4,EM,1,100,RB
1706146189.515807,1304125.750,19409,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146189.566056,1304176.000,19409,4,EM,1,100,PS
1706146189.616306,1304226.250,19441,4,EM,1,100,RS
1706146189.666555,1304276.500,19441,4,EM,1,100,RB
1706146189.716805,1304326.750,19441,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146189.767054,1304377.000,19441,4,EM,1,100,PS
1706146189.817304,1304427.250,19476,4,EM,1,100,RS
1706146189.867553,1304477.500,19476,4,EM,1,100,RB
1706146189.917803,1304527.750,19476,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146189.968052,1304578.000,19476,4,EM,1,100,PS
1706146190.018301,1304628.250,19510,4,EM,1,100,RS
1706146190.068551,1304678.500,19510,4,EM,1,100,RB
1706146190.118800,1304728.750,19510,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146190.169050,1304779.000,19510,4,EM,1,100,PS
1706146190.219299,1304829.250,19543,4,EM,1,100,RS
1706146190.269548,1304879.500,19543,4,EM,1,100,RB
1706146190.319798,1304929.750,19543,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146190.370047,1304980.000,19543,4,EM,1,100,PS
1706146190.420297,1305030.250,19575,4,EM,1,100,RS
1706146190.470546,1305080.500,19575,4,EM,1,100,RB
1706146190.520796,1305130.750,19575,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146190.571045,1305181.000,19575,4,EM,1,100,PS
1706146190.621294,1305231.250,19611,4,EM,1,100,RS
1706146190.671544,1305281.500,19611,4,EM,1,100,RB
1706146190.721793,1305331.750,19611,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146190.772043,1305382.000,19611,4,EM,1,100,PS
1706146190.822292,1305432.250,19642,4,EM,1,100,RS
1706146190.872542,1305482.500,19642,4,EM,1,100,RB
1706146190.922791,1305532.750,19642,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146190.973041,1305583.000,19642,4,EM,1,100,PS
1706146191.023290,1305633.250,19676,4,EM,1,100,RS
1706146191.073539,1305683.500,19676,4,EM,1,100,RB
1706146191.123789,1305733.750,19676,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146191.174038,1305784.000,19676,4,EM,1,100,PS
1706146191.225038,1305835.000,19707,4,EM,1,100,RS
1706146191.276037,1305886.000,19707,4,EM,1,100,RB
1706146191.327036,1305937.000,19707,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146191.378036,1305988.000,19707,4,EM,1,100,PS
1706146191.428035,1306038.000,19743,4,EM,1,100,RS
1706146191.478035,1306088.000,19743,4,EM,1,100,RB
1706146191.528034,1306138.000,19743,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146191.578034,1306188.000,19743,4,EM,1,100,PS
1706146191.628533,1306238.500,19779,4,EM,1,100,RS
1706146191.679033,1306289.000,19779,4,EM,1,100,RB
1706146191.729532,1306339.500,19779,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146191.780031,1306390.000,19779,4,EM,1,100,PS
1706146191.830031,1306440.000,19810,4,EM,1,100,RS
1706146191.880030,1306490.000,19810,4,EM,1,100,RB
1706146191.930030,1306540.000,19810,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146191.980029,1306590.000,19810,4,EM,1,100,PS
1706146192.030278,1306640.250,19831,4,EM,1,100,RS
1706146192.080528,1306690.500,19831,4,EM,1,100,RB
1706146192.130777,1306740.750,19831,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146192.181027,1306791.000,19831,4,EM,1,100,PS
1706146192.231526,1306841.500,19864,4,EM,1,100,RS
1706146192.282026,1306892.000,19864,4,EM,1,100,RB
1706146192.332525,1306942.500,19864,4,EM,1,100,2024-01-24_20-29-45-003036.csv
1706146192.383024,1306993.000,19864,4,EM,1,100,PS
