LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1706146187.458080,1302068,19062,1,HR,1,100,75
1706146188.138073,1302748,19178,1,HR,1,100,78
1706146189.138061,1303748,19344,1,HR,1,100,74
1706146189.818053,1304428,19459,1,HR,1,100,77
1706146190.631044,1305241,19593,1,HR,1,100,77
1706146191.471035,1306081,19726,1,HR,1,100,76
1706146192.311025,1306921,19866,1,HR,1,100,75
1706146193.031017,1307641,19982,1,HR,1,100,77
1706146193.791008,1308401,20099,1,HR,1,100,77
1706146194.670999,1309281,20246,1,HR,1,100,75
1706146195.483989,1310094,20379,1,HR,1,100,75
1706146196.323980,1310934,20513,1,HR,1,100,74
1706146197.163970,1311774,20654,1,HR,1,100,74
1706146198.003961,1312614,20786,1,HR,1,100,73
1706146198.843951,1313454,20919,1,HR,1,100,73
1706146199.576943,1314187,21051,1,HR,1,100,75
1706146200.416933,1315027,21184,1,HR,1,100,74
1706146201.336923,1315947,21332,1,HR,1,100,72
1706146201.936916,1316547,21435,1,HR,1,100,78
1706146202.936905,1317547,21590,1,HR,1,100,74
1706146203.869894,1318480,21739,1,HR,1,100,72
1706146204.709885,1319320,21889,1,HR,1,100,72
1706146205.469876,1320080,22004,1,HR,1,100,74
1706146206.348866,1320959,22153,1,HR,1,100,72
1706146207.282855,1321893,22304,1,HR,1,100,71
1706146208.042847,1322653,22428,1,HR,1,100,73
1706146208.921837,1323532,22574,1,HR,1,100,72
1706146209.881826,1324492,22724,1,HR,1,100,70
1706146210.761816,1325372,22873,1,HR,1,100,69
1706146211.535807,1326146,22990,1,HR,1,100,71
1706146212.454797,1327065,23140,1,HR,1,100,70
1706146213.254788,1327865,23281,1,HR,1,100,71
1706146214.174777,1328785,23430,1,HR,1,100,70
1706146215.014768,1329625,23563,1,HR,1,100,70
1706146215.947757,1330558,23711,1,HR,1,100,69
1706146216.547750,1331158,23811,1,HR,1,100,76
1706146217.627738,1332238,23985,1,HR,1,100,71
1706146218.587727,1333198,24134,1,HR,1,100,69
1706146219.400718,1334011,24267,1,HR,1,100,71
1706146220.120710,1334731,24383,1,HR,1,100,73
1706146220.960700,1335571,24515,1,HR,1,100,73
1706146221.720691,1336331,24650,1,HR,1,100,74
1706146222.640681,1337251,24798,1,HR,1,100,72
1706146223.480672,1338091,24936,1,HR,1,100,72
1706146224.413661,1339024,25085,1,HR,1,100,71
1706146225.453649,1340064,25268,1,HR,1,100,68
1706146226.213640,1340824,25388,1,HR,1,100,70
1706146227.093631,1341704,25539,1,HR,1,100,70
1706146228.066620,1342677,25691,1,HR,1,100,68
1706146228.866611,1343477,25825,1,HR,1,100,70
1706146229.666601,1344277,25962,1,HR,1,100,71
1706146230.506592,1345117,26097,1,HR,1,100,71
1706146231.386582,1345997,26246,1,HR,1,100,70
1706146232.079574,1346690,26364,1,HR,1,100,74
1706146232.879565,1347490,26501,1,HR,1,100,74
1706146233.839554,1348450,26634,1,HR,1,100,72
1706146234.759544,1349370,26786,1,HR,1,100,70
1706146235.812532,1350423,26950,1,HR,1,100,68
1706146237.132517,1351743,27185,1,HR,1,100,63
1706146238.212504,1352823,27354,1,HR,1,100,61
1706146239.052495,1353663,27487,1,HR,1,100,63
1706146239.812486,1354423,27605,1,HR,1,100,67
1706146240.825475,1355436,27779,1,HR,1,100,65
1706146241.665465,1356276,27929,1,HR,1,100,67
1706146242.425457,1357036,28046,1,HR,1,100,69
1706146243.345446,1357956,28201,1,HR,1,100,68
1706146244.318435,1358929,28367,1,HR,1,100,67
1706146244.998427,1359609,28466,1,HR,1,100,72
1706146245.838418,1360449,28618,1,HR,1,100,72
1706146246.758407,1361369,28769,1,HR,1,100,70
1706146247.638397,1362249,28905,1,HR,1,100,70
1706146248.331389,1362942,29024,1,HR,1,100,74
1706146249.131381,1363742,29141,1,HR,1,100,74
1706146250.051370,1364662,29289,1,HR,1,100,72
1706146250.891361,1365502,29439,1,HR,1,100,72
1706146251.730351,1366341,29574,1,HR,1,100,72
1706146252.624341,1367235,29706,1,HR,1,100,71
1706146253.464331,1368075,29848,1,HR,1,100,71
1706146254.224323,1368835,29980,1,HR,1,100,73
1706146255.143312,1369754,30130,1,HR,1,100,71
1706146256.023302,1370634,30262,1,HR,1,100,71
1706146256.797293,1371408,30397,1,HR,1,100,72
1706146257.557285,1372168,30514,1,HR,1,100,74
1706146258.437275,1373048,30662,1,HR,1,100,73
1706146259.277265,1373888,30799,1,HR,1,100,72
1706146259.836259,1374447,30884,1,HR,1,100,80
1706146260.850247,1375461,31048,1,HR,1,100,76
1706146261.570239,1376181,31165,1,HR,1,100,77
1706146262.490229,1377101,31317,1,HR,1,100,75
1706146263.370219,1377981,31466,1,HR,1,100,73
1706146264.089211,1378700,31589,1,HR,1,100,75
1706146264.903202,1379514,31721,1,HR,1,100,75
1706146265.582194,1380193,31822,1,HR,1,100,78
1706146266.262186,1380873,31937,1,HR,1,100,80
1706146267.062177,1381673,32072,1,HR,1,100,79
1706146267.742169,1382353,32188,1,HR,1,100,81
1706146268.596159,1383207,32322,1,HR,1,100,79
1706146269.356151,1383967,32460,1,HR,1,100,79
1706146270.315140,1384926,32608,1,HR,1,100,75
1706146271.235130,1385846,32756,1,HR,1,100,73
1706146272.155119,1386766,32907,1,HR,1,100,71
1706146272.928110,1387539,33039,1,HR,1,100,73
1706146273.728101,1388339,33172,1,HR,1,100,73
1706146274.608091,1389219,33293,1,HR,1,100,72
1706146276.248073,1390859,33573,1,HR,1,100,64
1706146277.181062,1391792,33724,1,HR,1,100,65
1706146278.141051,1392752,33874,1,HR,1,100,64
1706146278.861043,1393472,33989,1,HR,1,100,68
1706146279.821032,1394432,34143,1,HR,1,100,67
1706146280.754022,1395365,34308,1,HR,1,100,67
1706146281.474013,1396085,34424,1,HR,1,100,70
1706146282.434003,1397045,34575,1,HR,1,100,69
1706146283.473991,1398085,34741,1,HR,1,100,66
1706146284.353981,1398965,34898,1,HR,1,100,67
1706146285.086972,1399698,35014,1,HR,1,100,70
1706146286.006962,1400618,35162,1,HR,1,100,69
1706146286.886952,1401498,35297,1,HR,1,100,69
1706146287.486945,1402098,35398,1,HR,1,100,76
1706146288.446934,1403058,35547,1,HR,1,100,73
1706146289.379924,1403991,35686,1,HR,1,100,71
1706146290.139915,1404751,35801,1,HR,1,100,73
1706146290.979906,1405591,35933,1,HR,1,100,73
1706146291.859895,1406471,36085,1,HR,1,100,72
1706146292.619887,1407231,36217,1,HR,1,100,73
1706146293.512877,1408124,36350,1,HR,1,100,72
1706146294.272868,1408884,36489,1,HR,1,100,74
1706146295.152858,1409764,36608,1,HR,1,100,72
1706146295.952849,1410564,36740,1,HR,1,100,73
1706146296.805840,1411417,36875,1,HR,1,100,73
1706146297.685829,1412297,37023,1,HR,1,100,72
1706146298.445821,1413057,37140,1,HR,1,100,73
1706146299.285811,1413897,37288,1,HR,1,100,73
1706146300.125802,1414737,37410,1,HR,1,100,73
1706146300.938792,1415550,37542,1,HR,1,100,73
1706146301.618785,1416230,37659,1,HR,1,100,76
1706146302.298777,1416910,37715,1,HR,1,100,79
1706146303.098768,1417710,37848,1,HR,1,100,78
1706146303.738761,1418350,37948,1,HR,1,100,82
1706146304.498752,1419110,38081,1,HR,1,100,81
1706146305.231744,1419843,38205,1,HR,1,100,82
1706146305.991735,1420603,38321,1,HR,1,100,81
1706146306.911725,1421523,38472,1,HR,1,100,77
1706146307.831714,1422443,38622,1,HR,1,100,75
1706146308.591706,1423203,38754,1,HR,1,100,76
