LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1706146185.925098,1300535.000,18814,1,PG,1,100,4627
1706146185.965097,1300575.000,18827,2,PG,1,100,4647
1706146186.005097,1300615.000,18827,2,PG,1,100,4652
1706146186.045096,1300655.000,18844,3,PG,1,100,4655
1706146186.085096,1300695.000,18844,3,PG,1,100,4661
1706146186.125096,1300735.000,18844,3,PG,1,100,4669
1706146186.165095,1300775.000,18859,2,PG,1,100,4687
1706146186.205095,1300815.000,18859,2,PG,1,100,4677
1706146186.245094,1300855.000,18875,3,PG,1,100,4705
1706146186.285094,1300895.000,18875,3,PG,1,100,4689
1706146186.325093,1300935.000,18875,3,PG,1,100,4673
1706146186.365093,1300975.000,18892,2,PG,1,100,4672
1706146186.405092,1301015.000,18892,2,PG,1,100,4667
1706146186.445092,1301055.000,18909,3,PG,1,100,4656
1706146186.485091,1301095.000,18909,3,PG,1,100,4669
1706146186.525091,1301135.000,18909,3,PG,1,100,4664
1706146186.565090,1301175.000,18925,2,PG,1,100,4670
1706146186.605090,1301215.000,18925,2,PG,1,100,4668
1706146186.649423,1301259.333,18943,3,PG,1,100,4674
1706146186.693756,1301303.667,18943,3,PG,1,100,4663
1706146186.738089,1301348.000,18943,3,PG,1,100,4687
1706146186.778088,1301388.000,18959,2,PG,1,100,4677
1706146186.818088,1301428.000,18959,2,PG,1,100,4680
1706146186.858087,1301468.000,18981,3,PG,1,100,4683
1706146186.898087,1301508.000,18981,3,PG,1,100,4700
1706146186.938086,1301548.000,18981,3,PG,1,100,4709
1706146186.978086,1301588.000,18998,2,PG,1,100,4724
1706146187.018085,1301628.000,18998,2,PG,1,100,4718
1706146187.058085,1301668.000,19013,3,PG,1,100,4721
1706146187.098084,1301708.000,19013,3,PG,1,100,4704
1706146187.138084,1301748.000,19013,3,PG,1,100,4711
1706146187.178084,1301788.000,19029,3,PG,1,100,4671
1706146187.218083,1301828.000,19029,3,PG,1,100,4706
1706146187.258083,1301868.000,19029,3,PG,1,100,4710
1706146187.298082,1301908.000,19047,2,PG,1,100,4695
1706146187.338082,1301948.000,19047,2,PG,1,100,4685
1706146187.378081,1301988.000,19065,3,PG,1,100,4701
1706146187.418081,1302028.000,19065,3,PG,1,100,4698
1706146187.458080,1302068.000,19065,3,PG,1,100,4702
1706146187.498080,1302108.000,19081,2,PG,1,100,4716
1706146187.538080,1302148.000,19081,2,PG,1,100,4710
1706146187.578079,1302188.000,19096,3,PG,1,100,4712
1706146187.618078,1302228.000,19096,3,PG,1,100,4720
1706146187.658078,1302268.000,19096,3,PG,1,100,4725
1706146187.698078,1302308.000,19114,2,PG,1,100,4732
1706146187.738077,1302348.000,19114,2,PG,1,100,4748
1706146187.778077,1302388.000,19130,3,PG,1,100,4759
1706146187.818076,1302428.000,19130,3,PG,1,100,4748
1706146187.858076,1302468.000,19130,3,PG,1,100,4742
1706146187.898075,1302508.000,19146,2,PG,1,100,4735
1706146187.938075,1302548.000,19146,2,PG,1,100,4747
1706146187.978075,1302588.000,19162,3,PG,1,100,4749
1706146188.018074,1302628.000,19162,3,PG,1,100,4735
