LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1706146186.886087,1301496.000,18975,2,RD,1,100,TL
1706146186.886087,1301496.000,18975,2,RD,1,100,TU
1706146189.441558,1304051.500,19813,2,RD,1,100,TL
1706146191.997029,1306607.000,19813,2,RD,1,100,TU
1706146194.562000,1309172.000,20651,2,RD,1,100,TL
1706146197.126971,1311737.000,20651,2,RD,1,100,TU
1706146199.689942,1314300.000,21488,2,RD,1,100,TL
1706146202.252913,1316863.000,21488,2,RD,1,100,TU
1706146204.819383,1319429.500,22326,2,RD,1,100,TL
1706146207.385854,1321996.000,22326,2,RD,1,100,TU
1706146209.952325,1324562.500,23161,2,RD,1,100,TL
1706146212.518796,1327129.000,23161,2,RD,1,100,TU
1706146215.071267,1329681.500,23980,2,RD,1,100,TL
1706146217.623738,1332234.000,23980,2,RD,1,100,TU
1706146220.183709,1334794.000,24818,2,RD,1,100,TL
1706146222.743680,1337354.000,24818,2,RD,1,100,TU
1706146225.300151,1339910.500,25656,2,RD,1,100,TL
1706146227.856622,1342467.000,25656,2,RD,1,100,TU
1706146230.410093,1345020.500,26497,2,RD,1,100,TL
1706146232.963564,1347574.000,26497,2,RD,1,100,TU
1706146235.522535,1350133.000,27335,2,RD,1,100,TL
1706146238.081506,1352692.000,27335,2,RD,1,100,TU
1706146240.649477,1355260.000,28180,2,RD,1,100,TL
1706146243.217448,1357828.000,28180,2,RD,1,100,TU
1706146245.770419,1360381.000,29022,2,RD,1,100,TL
1706146248.323390,1362934.000,29022,2,RD,1,100,TU
1706146250.877861,1365488.500,29844,2,RD,1,100,TL
1706146253.432332,1368043.000,29844,2,RD,1,100,TU
1706146255.988303,1370599.000,30681,2,RD,1,100,TL
1706146258.544274,1373155.000,30681,2,RD,1,100,TU
1706146261.112745,1375723.500,31518,2,RD,1,100,TL
1706146263.681215,1378292.000,31518,2,RD,1,100,TU
1706146266.234686,1380845.500,32356,2,RD,1,100,TL
1706146268.788157,1383399.000,32356,2,RD,1,100,TU
1706146271.341128,1385952.000,33192,2,RD,1,100,TL
1706146273.894099,1388505.000,33192,2,RD,1,100,TU
1706146276.452070,1391063.000,34025,2,RD,1,100,TL
1706146279.010041,1393621.000,34025,2,RD,1,100,TU
1706146281.569512,1396180.500,34859,2,RD,1,100,TL
1706146284.128983,1398740.000,34859,2,RD,1,100,TU
1706146286.678454,1401289.500,35664,2,RD,1,100,TL
1706146289.227926,1403839.000,35664,2,RD,1,100,TU
1706146291.783896,1406395.000,36485,2,RD,1,100,TL
1706146294.339867,1408951.000,36485,2,RD,1,100,TU
1706146296.894338,1411505.500,37308,2,RD,1,100,TL
1706146299.448809,1414060.000,37308,2,RD,1,100,TU
1706146302.021280,1416632.500,38102,2,RD,1,100,TL
1706146304.593751,1419205.000,38102,2,RD,1,100,TU
1706146307.153722,1421765.000,38938,2,RD,1,100,TL
1706146309.713693,1424325.000,38938,2,RD,1,100,TU
1706146312.279664,1426891.000,39777,2,RD,1,100,TL
1706146314.845635,1429457.000,39777,2,RD,1,100,TU
1706146317.414606,1432026.000,40612,2,RD,1,100,TL
1706146319.983576,1434595.000,40612,2,RD,1,100,TU
1706146322.537047,1437148.500,41434,2,RD,1,100,TL
1706146325.090518,1439702.000,41434,2,RD,1,100,TU
1706146327.651489,1442263.000,42269,2,RD,1,100,TL
1706146330.212460,1444824.000,42269,2,RD,1,100,TU
1706146332.776931,1447388.500,43104,2,RD,1,100,TL
1706146335.341402,1449953.000,43104,2,RD,1,100,TU
1706146337.900873,1452512.500,43941,2,RD,1,100,TL
1706146340.460344,1455072.000,43941,2,RD,1,100,TU
1706146343.018315,1457630.000,44778,2,RD,1,100,TL
1706146345.576286,1460188.000,44778,2,RD,1,100,TU
1706146348.144757,1462756.500,45620,2,RD,1,100,TL
1706146350.713228,1465325.000,45620,2,RD,1,100,TU
1706146353.273199,1467885.000,46459,2,RD,1,100,TL
1706146355.833169,1470445.000,46459,2,RD,1,100,TU
1706146358.386641,1472998.500,47280,2,RD,1,100,TL
1706146360.940112,1475552.000,47280,2,RD,1,100,TU
1706146363.503083,1478115.000,48125,2,RD,1,100,TL
1706146366.066053,1480678.000,48125,2,RD,1,100,TU
1706146368.635024,1483247.000,48980,2,RD,1,100,TL
1706146371.203995,1485816.000,48980,2,RD,1,100,TU
1706146373.770466,1488382.500,49836,2,RD,1,100,TL
1706146376.336937,1490949.000,49836,2,RD,1,100,TU
