LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SA
1706146189.670055,1304280,19477,1,SA,1,100,0.000033
1706146225.132653,1339743,25233,1,SA,1,100,0.000007
1706146225.999643,1340610,25368,1,SA,1,100,0.000033
1706146228.865610,1343476,25859,1,SA,1,100,0.000014
1706146229.132607,1343743,25894,1,SA,1,100,0.000020
1706146229.398604,1344009,25963,1,SA,1,100,0.000008
1706146233.998552,1348609,26700,1,SA,1,100,0.000004
1706146236.597523,1351208,27133,1,SA,1,100,0.000012
1706146239.464490,1354075,27570,1,SA,1,100,0.000009
1706146239.931485,1354542,27656,1,SA,1,100,0.000008
1706146240.131483,1354742,27689,1,SA,1,100,0.000025
1706146240.331480,1354942,27725,1,SA,1,100,0.000015
1706146240.530478,1355141,27759,1,SA,1,100,0.000017
1706146245.530421,1360141,28583,1,SA,1,100,0.000025
1706146246.730408,1361341,28787,1,SA,1,100,0.000002
1706146246.930405,1361541,28821,1,SA,1,100,0.000033
1706146311.990667,1426602,39326,1,SA,1,100,0.000008
1706146346.652274,1461264,44965,1,SA,1,100,0.000012
1706146346.852272,1461464,45018,1,SA,1,100,0.000047
1706146353.451197,1468063,46088,1,SA,1,100,0.000017
1706146353.718194,1468330,46158,1,SA,1,100,0.000061
1706146363.650081,1478262,47768,1,SA,1,100,0.000062
1706146364.850067,1479462,47970,1,SA,1,100,0.000051
1706146365.251063,1479863,48006,1,SA,1,100,0.000038
1706146366.051054,1480663,48147,1,SA,1,100,0.000024
1706146366.450049,1481062,48234,1,SA,1,100,0.000036
1706146367.317039,1481929,48368,1,SA,1,100,0.000020
1706146367.650035,1482262,48469,1,SA,1,100,0.000195
1706146368.850022,1483462,48655,1,SA,1,100,0.000042
1706146369.450015,1484062,48740,1,SA,1,100,0.000110
1706146370.250006,1484862,48891,1,SA,1,100,0.000102
1706146370.784000,1485396,48926,1,SA,1,100,0.000028
1706146370.983998,1485596,48962,1,SA,1,100,0.000020
1706146371.316994,1485929,49033,1,SA,1,100,0.000058
1706146371.782989,1486395,49122,1,SA,1,100,0.000076
1706146372.382982,1486995,49223,1,SA,1,100,0.000121
1706146373.448970,1488061,49373,1,SA,1,100,0.000061
1706146373.848965,1488461,49441,1,SA,1,100,0.000021
1706146374.248960,1488861,49543,1,SA,1,100,0.000060
1706146374.648956,1489261,49577,1,SA,1,100,0.000017
1706146374.848954,1489461,49647,1,SA,1,100,0.000110
1706146375.381948,1489994,49715,1,SA,1,100,0.000040
1706146375.848942,1490461,49785,1,SA,1,100,0.000035
1706146376.248938,1490861,49857,1,SA,1,100,0.000023
1706146376.781932,1491394,49928,1,SA,1,100,0.000040
1706146376.982929,1491595,50015,1,SA,1,100,0.000169
1706146377.782920,1492395,50130,1,SA,1,100,0.000117
1706146378.448913,1493061,50249,1,SA,1,100,0.000051
1706146378.848908,1493461,50302,1,SA,1,100,0.000149
1706146379.448902,1494061,50369,1,SA,1,100,0.000022
1706146379.781898,1494394,50438,1,SA,1,100,0.000050
1706146380.048895,1494661,50472,1,SA,1,100,0.000018
