LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1706146186.003097,1300613.000,18824,1,SF,1,100,20.5435
1706146186.403092,1301013.000,18889,1,SF,1,100,20.3058
1706146186.737088,1301347.000,18940,1,SF,1,100,20.0709
1706146187.003086,1301613.000,18995,1,SF,1,100,19.8388
1706146187.337082,1301947.000,19044,1,SF,1,100,19.6093
1706146187.737077,1302347.000,19111,1,SF,1,100,19.3824
1706146188.070073,1302680.000,19159,1,SF,1,100,19.1582
1706146188.336070,1302946.000,19212,1,SF,1,100,18.9366
1706146188.670067,1303280.000,19260,1,SF,1,100,18.7175
1706146189.070062,1303680.000,19325,1,SF,1,100,18.5010
1706146189.336059,1303946.000,19376,1,SF,1,100,18.2870
1706146189.670055,1304280.000,19425,1,SF,1,100,18.0754
1706146190.003052,1304613.000,19479,1,SF,1,100,19.9486
1706146190.403047,1305013.000,19544,1,SF,1,100,19.7178
1706146190.670044,1305280.000,19594,1,SF,1,100,19.4897
1706146191.003040,1305613.000,19643,1,SF,1,100,19.2643
1706146191.403036,1306013.000,19708,1,SF,1,100,19.0414
1706146191.736032,1306346.000,19762,1,SF,1,100,18.8211
1706146192.069028,1306679.000,19814,1,SF,1,100,18.6034
1706146192.403024,1307013.000,19867,1,SF,1,100,18.3882
1706146192.669021,1307279.000,19915,1,SF,1,100,18.1755
1706146193.003017,1307613.000,19964,1,SF,1,100,17.9652
1706146193.403013,1308013.000,20031,1,SF,1,100,17.7574
1706146193.669010,1308279.000,20081,1,SF,1,100,17.5520
1706146194.003006,1308613.000,20132,1,SF,1,100,17.3490
1706146194.336002,1308946.000,20180,1,SF,1,100,17.1483
1706146194.735998,1309346.000,20247,1,SF,1,100,16.9499
1706146195.002995,1309613.000,20298,1,SF,1,100,16.7538
1706146195.335991,1309946.000,20346,1,SF,1,100,16.5600
1706146195.735986,1310346.000,20413,1,SF,1,100,16.3684
1706146196.001983,1310612.000,20462,1,SF,1,100,16.1791
1706146196.335980,1310946.000,20514,1,SF,1,100,15.9919
1706146196.668976,1311279.000,20563,1,SF,1,100,15.8069
1706146197.068971,1311679.000,20630,1,SF,1,100,15.6241
1706146197.335968,1311946.000,20671,1,SF,1,100,15.4433
1706146197.735964,1312346.000,20736,1,SF,1,100,15.2647
1706146198.001961,1312612.000,20787,1,SF,1,100,15.0881
1706146198.334957,1312945.000,20835,1,SF,1,100,14.9136
