LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SR
1706146189.670055,1304280,19478,1,SR,1,100,0.200000
1706146225.132653,1339743,25234,1,SR,1,100,0.066667
1706146225.999643,1340610,25369,1,SR,1,100,0.066667
1706146228.865610,1343476,25860,1,SR,1,100,0.133333
1706146229.132607,1343743,25895,1,SR,1,100,0.066667
1706146229.398604,1344009,25964,1,SR,1,100,0.200000
1706146233.998552,1348609,26701,1,SR,1,100,0.200000
1706146236.597523,1351208,27134,1,SR,1,100,0.200000
1706146239.464490,1354075,27571,1,SR,1,100,0.066667
1706146239.931485,1354542,27657,1,SR,1,100,0.066667
1706146240.131483,1354742,27690,1,SR,1,100,0.066667
1706146240.331480,1354942,27726,1,SR,1,100,0.066667
1706146240.530478,1355141,27760,1,SR,1,100,0.133333
1706146245.530421,1360141,28584,1,SR,1,100,0.066667
1706146246.730408,1361341,28788,1,SR,1,100,0.066667
1706146246.930405,1361541,28822,1,SR,1,100,0.066667
1706146311.990667,1426602,39327,1,SR,1,100,0.066667
1706146346.652274,1461264,44966,1,SR,1,100,0.066667
1706146346.852272,1461464,45019,1,SR,1,100,0.200000
1706146353.451197,1468063,46089,1,SR,1,100,0.133333
1706146353.718194,1468330,46159,1,SR,1,100,0.266667
1706146363.650081,1478262,47769,1,SR,1,100,0.266667
1706146364.850067,1479462,47971,1,SR,1,100,0.266667
1706146365.251063,1479863,48007,1,SR,1,100,0.066667
1706146366.051054,1480663,48148,1,SR,1,100,0.133333
1706146366.450049,1481062,48235,1,SR,1,100,0.200000
1706146367.317039,1481929,48369,1,SR,1,100,0.200000
1706146367.650035,1482262,48470,1,SR,1,100,0.400000
1706146368.850022,1483462,48656,1,SR,1,100,0.333333
1706146369.450015,1484062,48741,1,SR,1,100,0.266667
1706146370.250006,1484862,48892,1,SR,1,100,0.400000
1706146370.784000,1485396,48927,1,SR,1,100,0.066667
1706146370.983998,1485596,48963,1,SR,1,100,0.066667
1706146371.316994,1485929,49034,1,SR,1,100,0.200000
1706146371.782989,1486395,49123,1,SR,1,100,0.200000
1706146372.382982,1486995,49224,1,SR,1,100,0.266667
1706146373.448970,1488061,49374,1,SR,1,100,0.133333
1706146373.848965,1488461,49442,1,SR,1,100,0.133333
1706146374.248960,1488861,49544,1,SR,1,100,0.266667
1706146374.648956,1489261,49578,1,SR,1,100,0.066667
1706146374.848954,1489461,49648,1,SR,1,100,0.266667
1706146375.381948,1489994,49716,1,SR,1,100,0.200000
1706146375.848942,1490461,49786,1,SR,1,100,0.133333
1706146376.248938,1490861,49858,1,SR,1,100,0.133333
1706146376.781932,1491394,49929,1,SR,1,100,0.066667
1706146376.982929,1491595,50016,1,SR,1,100,0.400000
1706146377.782920,1492395,50131,1,SR,1,100,0.266667
1706146378.448913,1493061,50250,1,SR,1,100,0.266667
1706146378.848908,1493461,50303,1,SR,1,100,0.200000
1706146379.448902,1494061,50370,1,SR,1,100,0.066667
1706146379.781898,1494394,50439,1,SR,1,100,0.133333
1706146380.048895,1494661,50473,1,SR,1,100,0.066667
