LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1706146185.997097,1300607.000,18830,1,T1,1,100,36.940
1706146186.130095,1300740.000,18847,1,T1,1,100,36.903
1706146186.263094,1300873.000,18878,1,T1,1,100,36.923
1706146186.397092,1301007.000,18895,1,T1,1,100,36.931
1706146186.530091,1301140.000,18912,1,T1,1,100,36.935
1706146186.663089,1301273.000,18946,1,T1,1,100,36.936
1706146186.796088,1301406.000,18962,1,T1,1,100,36.902
1706146186.930086,1301540.000,18984,1,T1,1,100,36.851
1706146187.063085,1301673.000,19016,1,T1,1,100,36.865
1706146187.196083,1301806.000,19032,1,T1,1,100,36.906
1706146187.330082,1301940.000,19050,1,T1,1,100,36.888
1706146187.463080,1302073.000,19068,1,T1,1,100,36.916
1706146187.596079,1302206.000,19099,1,T1,1,100,36.928
1706146187.730077,1302340.000,19117,1,T1,1,100,36.898
1706146187.863076,1302473.000,19133,1,T1,1,100,36.956
1706146187.996074,1302606.000,19165,1,T1,1,100,37.016
1706146188.130073,1302740.000,19184,1,T1,1,100,36.830
1706146188.263071,1302873.000,19200,1,T1,1,100,36.785
1706146188.396070,1303006.000,19232,1,T1,1,100,36.836
1706146188.530068,1303140.000,19249,1,T1,1,100,36.929
1706146188.663067,1303273.000,19266,1,T1,1,100,36.969
1706146188.796065,1303406.000,19297,1,T1,1,100,36.916
1706146188.930064,1303540.000,19314,1,T1,1,100,36.857
1706146189.063062,1303673.000,19331,1,T1,1,100,36.903
1706146189.196061,1303806.000,19364,1,T1,1,100,36.958
1706146189.330059,1303940.000,19382,1,T1,1,100,36.840
1706146189.463058,1304073.000,19398,1,T1,1,100,36.931
1706146189.596056,1304206.000,19415,1,T1,1,100,36.970
1706146189.730055,1304340.000,19447,1,T1,1,100,36.810
1706146189.863053,1304473.000,19465,1,T1,1,100,36.918
1706146189.996052,1304606.000,19485,1,T1,1,100,36.964
1706146190.129050,1304739.000,19516,1,T1,1,100,36.914
1706146190.263049,1304873.000,19532,1,T1,1,100,36.927
1706146190.396047,1305006.000,19550,1,T1,1,100,36.968
1706146190.529046,1305139.000,19581,1,T1,1,100,36.845
1706146190.663044,1305273.000,19600,1,T1,1,100,36.933
1706146190.796042,1305406.000,19617,1,T1,1,100,36.971
1706146190.929041,1305539.000,19649,1,T1,1,100,36.952
1706146191.063040,1305673.000,19665,1,T1,1,100,36.802
1706146191.196038,1305806.000,19682,1,T1,1,100,36.985
1706146191.329036,1305939.000,19714,1,T1,1,100,36.958
1706146191.463035,1306073.000,19732,1,T1,1,100,36.876
1706146191.596033,1306206.000,19749,1,T1,1,100,36.946
1706146191.729032,1306339.000,19768,1,T1,1,100,36.906
1706146191.863030,1306473.000,19799,1,T1,1,100,36.853
1706146191.996029,1306606.000,19820,1,T1,1,100,36.972
1706146192.129027,1306739.000,19837,1,T1,1,100,36.881
1706146192.263026,1306873.000,19853,1,T1,1,100,36.878
1706146192.396024,1307006.000,19873,1,T1,1,100,36.876
1706146192.529023,1307139.000,19904,1,T1,1,100,37.017
1706146192.663021,1307273.000,19921,1,T1,1,100,36.937
1706146192.796020,1307406.000,19938,1,T1,1,100,36.973
1706146192.929018,1307539.000,19970,1,T1,1,100,36.953
1706146193.063017,1307673.000,19988,1,T1,1,100,36.909
1706146193.196015,1307806.000,20005,1,T1,1,100,36.890
1706146193.329014,1307939.000,20037,1,T1,1,100,36.952
1706146193.462012,1308072.000,20053,1,T1,1,100,36.944
1706146193.596011,1308206.000,20070,1,T1,1,100,36.976
1706146193.729009,1308339.000,20087,1,T1,1,100,36.989
1706146193.862008,1308472.000,20120,1,T1,1,100,36.960
1706146193.996006,1308606.000,20138,1,T1,1,100,36.947
1706146194.129005,1308739.000,20154,1,T1,1,100,36.977
1706146194.262003,1308872.000,20186,1,T1,1,100,36.919
1706146194.396002,1309006.000,20203,1,T1,1,100,36.965
1706146194.529000,1309139.000,20219,1,T1,1,100,36.914
1706146194.661999,1309272.000,20253,1,T1,1,100,36.927
1706146194.795997,1309406.000,20270,1,T1,1,100,36.898
1706146194.928996,1309539.000,20286,1,T1,1,100,36.849
1706146195.061994,1309672.000,20318,1,T1,1,100,36.864
1706146195.195992,1309806.000,20335,1,T1,1,100,36.835
1706146195.328991,1309939.000,20352,1,T1,1,100,36.928
1706146195.461990,1310072.000,20385,1,T1,1,100,37.005
1706146195.595988,1310206.000,20402,1,T1,1,100,36.860
1706146195.728987,1310339.000,20419,1,T1,1,100,36.904
1706146195.861985,1310472.000,20450,1,T1,1,100,36.888
1706146195.995983,1310606.000,20468,1,T1,1,100,36.880
1706146196.128982,1310739.000,20484,1,T1,1,100,36.913
1706146196.261981,1310872.000,20501,1,T1,1,100,36.891
1706146196.395979,1311006.000,20535,1,T1,1,100,36.847
1706146196.528977,1311139.000,20551,1,T1,1,100,36.863
1706146196.661976,1311272.000,20569,1,T1,1,100,36.905
1706146196.794974,1311405.000,20602,1,T1,1,100,36.817
1706146196.928973,1311539.000,20618,1,T1,1,100,36.815
1706146197.061971,1311672.000,20636,1,T1,1,100,36.884
1706146197.194970,1311805.000,20660,1,T1,1,100,36.844
1706146197.328968,1311939.000,20677,1,T1,1,100,36.897
1706146197.461967,1312072.000,20708,1,T1,1,100,36.991
1706146197.594965,1312205.000,20725,1,T1,1,100,36.925
1706146197.728964,1312339.000,20742,1,T1,1,100,36.932
1706146197.861962,1312472.000,20773,1,T1,1,100,37.006
1706146197.994961,1312605.000,20793,1,T1,1,100,36.861
1706146198.128959,1312739.000,20809,1,T1,1,100,36.833
1706146198.261958,1312872.000,20841,1,T1,1,100,36.892
1706146198.394956,1313005.000,20858,1,T1,1,100,36.918
1706146198.528955,1313139.000,20874,1,T1,1,100,37.000
1706146198.661953,1313272.000,20906,1,T1,1,100,36.965
1706146198.794952,1313405.000,20925,1,T1,1,100,36.914
1706146198.928950,1313539.000,20941,1,T1,1,100,36.856
1706146199.061949,1313672.000,20959,1,T1,1,100,36.938
1706146199.194947,1313805.000,20990,1,T1,1,100,36.938
1706146199.328946,1313939.000,21007,1,T1,1,100,36.938
1706146199.461944,1314072.000,21024,1,T1,1,100,36.938
1706146199.594943,1314205.000,21058,1,T1,1,100,36.902
1706146199.728941,1314339.000,21074,1,T1,1,100,36.958
1706146199.861940,1314472.000,21091,1,T1,1,100,36.911
1706146199.994938,1314605.000,21123,1,T1,1,100,36.890
1706146200.127937,1314738.000,21139,1,T1,1,100,36.882
1706146200.261935,1314872.000,21156,1,T1,1,100,36.949
1706146200.394933,1315005.000,21190,1,T1,1,100,36.978
1706146200.528932,1315139.000,21206,1,T1,1,100,36.920
1706146200.661931,1315272.000,21224,1,T1,1,100,36.965
1706146200.794929,1315405.000,21255,1,T1,1,100,36.949
1706146200.927927,1315538.000,21271,1,T1,1,100,36.907
1706146201.061926,1315672.000,21289,1,T1,1,100,37.031
1706146201.194925,1315805.000,21305,1,T1,1,100,36.942
1706146201.327923,1315938.000,21339,1,T1,1,100,36.940
1706146201.461921,1316072.000,21356,1,T1,1,100,36.938
1706146201.594920,1316205.000,21372,1,T1,1,100,36.973
1706146201.727918,1316338.000,21406,1,T1,1,100,36.953
1706146201.861917,1316472.000,21423,1,T1,1,100,36.980
1706146201.994915,1316605.000,21442,1,T1,1,100,37.098
1706146202.127914,1316738.000,21473,1,T1,1,100,36.829
1706146202.261912,1316872.000,21496,1,T1,1,100,36.855
1706146202.394911,1317005.000,21512,1,T1,1,100,36.973
1706146202.527909,1317138.000,21529,1,T1,1,100,37.024
1706146202.661908,1317272.000,21546,1,T1,1,100,37.046
1706146202.794906,1317405.000,21577,1,T1,1,100,36.984
1706146202.927905,1317538.000,21596,1,T1,1,100,36.887
1706146203.061903,1317672.000,21613,1,T1,1,100,36.951
1706146203.194902,1317805.000,21644,1,T1,1,100,36.943
1706146203.327900,1317938.000,21662,1,T1,1,100,36.940
1706146203.460899,1318071.000,21678,1,T1,1,100,37.045
1706146203.594897,1318205.000,21710,1,T1,1,100,36.984
1706146203.727896,1318338.000,21727,1,T1,1,100,37.029
1706146203.860894,1318471.000,21745,1,T1,1,100,36.941
1706146203.994893,1318605.000,21777,1,T1,1,100,36.939
1706146204.127891,1318738.000,21794,1,T1,1,100,37.009
1706146204.260890,1318871.000,21810,1,T1,1,100,36.933
1706146204.394888,1319005.000,21828,1,T1,1,100,37.006
1706146204.527887,1319138.000,21859,1,T1,1,100,37.038
1706146204.660885,1319271.000,21876,1,T1,1,100,36.910
1706146204.794884,1319405.000,21895,1,T1,1,100,36.926
1706146204.927882,1319538.000,21927,1,T1,1,100,37.039
1706146205.060881,1319671.000,21943,1,T1,1,100,37.052
1706146205.194879,1319805.000,21960,1,T1,1,100,37.094
1706146205.327878,1319938.000,21992,1,T1,1,100,37.111
1706146205.460876,1320071.000,22010,1,T1,1,100,37.013
1706146205.594875,1320205.000,22027,1,T1,1,100,37.006
1706146205.727873,1320338.000,22059,1,T1,1,100,37.038
1706146205.860872,1320471.000,22075,1,T1,1,100,36.981
1706146205.994870,1320605.000,22093,1,T1,1,100,37.098
1706146206.127868,1320738.000,22124,1,T1,1,100,37.078
1706146206.260867,1320871.000,22140,1,T1,1,100,36.998
1706146206.394866,1321005.000,22160,1,T1,1,100,36.999
1706146206.527864,1321138.000,22176,1,T1,1,100,37.035
1706146206.660862,1321271.000,22208,1,T1,1,100,37.051
1706146206.793861,1321404.000,22227,1,T1,1,100,37.093
1706146206.927859,1321538.000,22243,1,T1,1,100,37.111
1706146207.060858,1321671.000,22275,1,T1,1,100,37.048
1706146207.193856,1321804.000,22292,1,T1,1,100,36.950
1706146207.327855,1321938.000,22311,1,T1,1,100,36.943
1706146207.460853,1322071.000,22333,1,T1,1,100,36.975
1706146207.593852,1322204.000,22349,1,T1,1,100,37.025
1706146207.727850,1322338.000,22381,1,T1,1,100,36.975
1706146207.860849,1322471.000,22398,1,T1,1,100,36.989
1706146207.993847,1322604.000,22415,1,T1,1,100,36.995
1706146208.127846,1322738.000,22448,1,T1,1,100,37.033
1706146208.260844,1322871.000,22465,1,T1,1,100,37.121
1706146208.393843,1323004.000,22482,1,T1,1,100,37.052
1706146208.527841,1323138.000,22513,1,T1,1,100,37.058
1706146208.660840,1323271.000,22531,1,T1,1,100,37.061
