LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1706146186.011097,1300621.000,18831,1,TH,1,100,35.689
1706146186.145095,1300755.000,18862,1,TH,1,100,35.689
1706146186.278094,1300888.000,18879,1,TH,1,100,35.766
1706146186.411092,1301021.000,18896,1,TH,1,100,35.766
1706146186.545091,1301155.000,18913,1,TH,1,100,35.668
1706146186.678089,1301288.000,18947,1,TH,1,100,35.668
1706146186.811088,1301421.000,18963,1,TH,1,100,35.708
1706146186.945086,1301555.000,18985,1,TH,1,100,35.708
1706146187.078085,1301688.000,19017,1,TH,1,100,35.661
1706146187.211083,1301821.000,19033,1,TH,1,100,35.661
1706146187.345082,1301955.000,19051,1,TH,1,100,35.666
1706146187.478080,1302088.000,19084,1,TH,1,100,35.666
1706146187.611079,1302221.000,19100,1,TH,1,100,35.701
1706146187.745077,1302355.000,19118,1,TH,1,100,35.709
1706146187.878076,1302488.000,19149,1,TH,1,100,35.768
1706146188.011074,1302621.000,19166,1,TH,1,100,35.761
1706146188.145072,1302755.000,19185,1,TH,1,100,35.773
1706146188.278071,1302888.000,19201,1,TH,1,100,35.780
1706146188.411070,1303021.000,19233,1,TH,1,100,35.766
1706146188.545068,1303155.000,19250,1,TH,1,100,35.766
1706146188.678066,1303288.000,19267,1,TH,1,100,35.740
1706146188.811065,1303421.000,19298,1,TH,1,100,35.740
1706146188.944063,1303554.000,19315,1,TH,1,100,35.694
1706146189.078062,1303688.000,19332,1,TH,1,100,35.694
1706146189.211061,1303821.000,19365,1,TH,1,100,35.818
1706146189.345059,1303955.000,19383,1,TH,1,100,35.818
1706146189.478057,1304088.000,19399,1,TH,1,100,35.751
1706146189.611056,1304221.000,19431,1,TH,1,100,35.751
1706146189.744054,1304354.000,19448,1,TH,1,100,35.742
1706146189.878053,1304488.000,19466,1,TH,1,100,35.742
1706146190.011051,1304621.000,19486,1,TH,1,100,35.773
1706146190.145050,1304755.000,19517,1,TH,1,100,35.773
1706146190.278048,1304888.000,19533,1,TH,1,100,35.768
1706146190.411047,1305021.000,19551,1,TH,1,100,35.768
1706146190.545045,1305155.000,19582,1,TH,1,100,35.740
1706146190.678044,1305288.000,19601,1,TH,1,100,35.740
1706146190.811042,1305421.000,19618,1,TH,1,100,35.678
1706146190.944041,1305554.000,19650,1,TH,1,100,35.678
1706146191.078039,1305688.000,19666,1,TH,1,100,35.699
1706146191.211038,1305821.000,19683,1,TH,1,100,35.707
1706146191.344036,1305954.000,19715,1,TH,1,100,35.794
1706146191.478035,1306088.000,19733,1,TH,1,100,35.794
1706146191.611033,1306221.000,19750,1,TH,1,100,35.811
1706146191.744032,1306354.000,19769,1,TH,1,100,35.811
1706146191.878030,1306488.000,19800,1,TH,1,100,35.828
1706146192.011029,1306621.000,19821,1,TH,1,100,35.828
1706146192.144027,1306754.000,19838,1,TH,1,100,35.709
1706146192.278026,1306888.000,19854,1,TH,1,100,35.709
1706146192.411024,1307021.000,19874,1,TH,1,100,35.778
1706146192.544023,1307154.000,19905,1,TH,1,100,35.778
1706146192.678021,1307288.000,19922,1,TH,1,100,35.809
1706146192.811020,1307421.000,19939,1,TH,1,100,35.809
1706146192.944018,1307554.000,19971,1,TH,1,100,35.756
1706146193.077017,1307687.000,19989,1,TH,1,100,35.756
1706146193.211015,1307821.000,20006,1,TH,1,100,35.837
1706146193.344014,1307954.000,20038,1,TH,1,100,35.837
1706146193.477012,1308087.000,20054,1,TH,1,100,35.707
1706146193.611011,1308221.000,20071,1,TH,1,100,35.707
1706146193.744009,1308354.000,20105,1,TH,1,100,35.818
1706146193.877007,1308487.000,20121,1,TH,1,100,35.818
1706146194.011006,1308621.000,20139,1,TH,1,100,35.768
1706146194.144005,1308754.000,20155,1,TH,1,100,35.768
1706146194.277003,1308887.000,20187,1,TH,1,100,35.840
1706146194.411001,1309021.000,20204,1,TH,1,100,35.847
1706146194.544000,1309154.000,20220,1,TH,1,100,35.864
1706146194.676998,1309287.000,20254,1,TH,1,100,35.864
1706146194.810997,1309421.000,20271,1,TH,1,100,35.752
1706146194.943995,1309554.000,20287,1,TH,1,100,35.752
1706146195.076994,1309687.000,20319,1,TH,1,100,35.833
1706146195.210992,1309821.000,20336,1,TH,1,100,35.833
1706146195.343991,1309954.000,20353,1,TH,1,100,35.750
1706146195.476989,1310087.000,20386,1,TH,1,100,35.750
1706146195.610988,1310221.000,20403,1,TH,1,100,35.807
1706146195.743986,1310354.000,20420,1,TH,1,100,35.807
1706146195.876985,1310487.000,20451,1,TH,1,100,35.807
1706146196.009983,1310620.000,20469,1,TH,1,100,35.807
1706146196.143982,1310754.000,20485,1,TH,1,100,35.814
1706146196.276980,1310887.000,20502,1,TH,1,100,35.814
1706146196.410979,1311021.000,20536,1,TH,1,100,35.835
1706146196.543977,1311154.000,20552,1,TH,1,100,35.835
1706146196.676976,1311287.000,20570,1,TH,1,100,35.795
1706146196.809974,1311420.000,20603,1,TH,1,100,35.795
1706146196.943973,1311554.000,20619,1,TH,1,100,35.909
1706146197.076971,1311687.000,20637,1,TH,1,100,35.909
1706146197.210970,1311821.000,20661,1,TH,1,100,35.852
1706146197.343968,1311954.000,20678,1,TH,1,100,35.859
1706146197.476967,1312087.000,20709,1,TH,1,100,35.849
1706146197.610965,1312221.000,20726,1,TH,1,100,35.849
1706146197.743964,1312354.000,20743,1,TH,1,100,35.833
1706146197.876962,1312487.000,20774,1,TH,1,100,35.833
1706146198.009961,1312620.000,20794,1,TH,1,100,35.809
1706146198.143959,1312754.000,20810,1,TH,1,100,35.809
1706146198.276958,1312887.000,20842,1,TH,1,100,35.778
1706146198.409956,1313020.000,20859,1,TH,1,100,35.778
1706146198.543955,1313154.000,20875,1,TH,1,100,35.819
1706146198.676953,1313287.000,20907,1,TH,1,100,35.819
1706146198.809952,1313420.000,20926,1,TH,1,100,35.840
1706146198.943950,1313554.000,20942,1,TH,1,100,35.840
1706146199.076948,1313687.000,20974,1,TH,1,100,35.814
1706146199.209947,1313820.000,20991,1,TH,1,100,35.814
1706146199.342946,1313953.000,21008,1,TH,1,100,35.821
1706146199.476944,1314087.000,21025,1,TH,1,100,35.821
1706146199.609942,1314220.000,21059,1,TH,1,100,35.826
1706146199.743941,1314354.000,21075,1,TH,1,100,35.833
1706146199.876940,1314487.000,21092,1,TH,1,100,35.883
1706146200.009938,1314620.000,21124,1,TH,1,100,35.883
1706146200.142936,1314753.000,21140,1,TH,1,100,35.800
1706146200.276935,1314887.000,21157,1,TH,1,100,35.800
1706146200.409933,1315020.000,21191,1,TH,1,100,35.876
1706146200.542932,1315153.000,21207,1,TH,1,100,35.876
1706146200.676930,1315287.000,21225,1,TH,1,100,35.847
1706146200.809929,1315420.000,21256,1,TH,1,100,35.847
1706146200.942927,1315553.000,21272,1,TH,1,100,35.942
1706146201.076926,1315687.000,21290,1,TH,1,100,35.942
1706146201.209924,1315820.000,21321,1,TH,1,100,35.847
1706146201.342923,1315953.000,21340,1,TH,1,100,35.847
1706146201.476921,1316087.000,21357,1,TH,1,100,35.824
1706146201.609920,1316220.000,21373,1,TH,1,100,35.824
1706146201.742918,1316353.000,21407,1,TH,1,100,35.876
1706146201.876917,1316487.000,21424,1,TH,1,100,35.876
1706146202.009915,1316620.000,21443,1,TH,1,100,35.869
1706146202.142914,1316753.000,21474,1,TH,1,100,35.869
1706146202.276912,1316887.000,21497,1,TH,1,100,35.833
1706146202.409911,1317020.000,21513,1,TH,1,100,35.833
1706146202.542909,1317153.000,21530,1,TH,1,100,35.878
1706146202.676908,1317287.000,21547,1,TH,1,100,35.878
1706146202.809906,1317420.000,21578,1,TH,1,100,35.900
1706146202.942905,1317553.000,21597,1,TH,1,100,35.907
1706146203.075903,1317686.000,21614,1,TH,1,100,35.931
1706146203.209902,1317820.000,21645,1,TH,1,100,35.931
1706146203.342900,1317953.000,21663,1,TH,1,100,35.781
1706146203.475899,1318086.000,21679,1,TH,1,100,35.781
1706146203.609897,1318220.000,21711,1,TH,1,100,35.848
1706146203.742896,1318353.000,21728,1,TH,1,100,35.848
1706146203.876894,1318487.000,21746,1,TH,1,100,35.802
1706146204.009892,1318620.000,21778,1,TH,1,100,35.802
1706146204.142891,1318753.000,21795,1,TH,1,100,35.945
1706146204.275889,1318886.000,21811,1,TH,1,100,35.945
1706146204.409888,1319020.000,21843,1,TH,1,100,35.769
1706146204.542886,1319153.000,21860,1,TH,1,100,35.769
1706146204.675885,1319286.000,21877,1,TH,1,100,35.886
1706146204.809883,1319420.000,21896,1,TH,1,100,35.886
1706146204.942882,1319553.000,21928,1,TH,1,100,35.893
1706146205.075881,1319686.000,21944,1,TH,1,100,35.900
1706146205.209879,1319820.000,21961,1,TH,1,100,35.943
1706146205.342877,1319953.000,21993,1,TH,1,100,35.943
1706146205.475876,1320086.000,22011,1,TH,1,100,35.860
1706146205.609874,1320220.000,22028,1,TH,1,100,35.860
1706146205.742873,1320353.000,22060,1,TH,1,100,35.841
1706146205.875871,1320486.000,22076,1,TH,1,100,35.841
1706146206.008870,1320619.000,22094,1,TH,1,100,35.800
1706146206.142868,1320753.000,22125,1,TH,1,100,35.800
1706146206.275867,1320886.000,22141,1,TH,1,100,35.872
1706146206.408865,1321019.000,22161,1,TH,1,100,35.872
1706146206.542864,1321153.000,22192,1,TH,1,100,35.864
1706146206.675862,1321286.000,22209,1,TH,1,100,35.864
1706146206.808861,1321419.000,22228,1,TH,1,100,35.841
1706146206.942859,1321553.000,22244,1,TH,1,100,35.841
1706146207.075858,1321686.000,22276,1,TH,1,100,35.841
1706146207.208856,1321819.000,22293,1,TH,1,100,35.841
1706146207.342855,1321953.000,22312,1,TH,1,100,35.836
1706146207.475853,1322086.000,22334,1,TH,1,100,35.843
1706146207.608852,1322219.000,22366,1,TH,1,100,35.924
1706146207.742850,1322353.000,22382,1,TH,1,100,35.924
1706146207.875849,1322486.000,22399,1,TH,1,100,35.877
1706146208.008847,1322619.000,22416,1,TH,1,100,35.877
1706146208.142846,1322753.000,22449,1,TH,1,100,35.900
1706146208.275844,1322886.000,22466,1,TH,1,100,35.900
1706146208.408843,1323019.000,22483,1,TH,1,100,35.903
1706146208.542841,1323153.000,22514,1,TH,1,100,35.903
1706146208.675840,1323286.000,22532,1,TH,1,100,35.969
1706146208.808838,1323419.000,22548,1,TH,1,100,35.969
1706146208.942837,1323553.000,22582,1,TH,1,100,35.874
1706146209.075835,1323686.000,22599,1,TH,1,100,35.874
1706146209.208833,1323819.000,22615,1,TH,1,100,35.931
1706146209.342832,1323953.000,22647,1,TH,1,100,35.931
1706146209.475831,1324086.000,22664,1,TH,1,100,35.850
1706146209.608829,1324219.000,22680,1,TH,1,100,35.850
1706146209.742827,1324353.000,22712,1,TH,1,100,35.950
1706146209.875826,1324486.000,22731,1,TH,1,100,35.957
1706146210.008824,1324619.000,22748,1,TH,1,100,36.005
1706146210.142823,1324753.000,22765,1,TH,1,100,36.005
1706146210.275821,1324886.000,22797,1,TH,1,100,35.972
1706146210.408820,1325019.000,22813,1,TH,1,100,35.972
1706146210.541818,1325152.000,22830,1,TH,1,100,35.934
1706146210.675817,1325286.000,22862,1,TH,1,100,35.934
1706146210.808815,1325419.000,22880,1,TH,1,100,35.948
1706146210.941814,1325552.000,22897,1,TH,1,100,35.948
1706146211.075812,1325686.000,22929,1,TH,1,100,35.919
1706146211.208811,1325819.000,22945,1,TH,1,100,35.919
1706146211.341809,1325952.000,22963,1,TH,1,100,35.974
1706146211.475808,1326086.000,22996,1,TH,1,100,35.974
