LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1706146186.880087,1301490.000,18973,1,TL,1,100,2024-01-24_20-29-42-093396
1706146186.940086,1301550.000,18976,1,TL,1,100,2024-01-24_20-29-46-931591
1706146191.992029,1306602.000,19811,1,TL,1,100,2024-01-24_20-29-46-969095
1706146197.118971,1311729.000,20647,1,TL,1,100,2024-01-24_20-29-52-121566
1706146197.124971,1311735.000,20649,1,TL,1,100,2024-01-24_20-29-52-130139
1706146202.248913,1316859.000,21484,1,TL,1,100,2024-01-24_20-29-57-244939
1706146202.250912,1316861.000,21486,1,TL,1,100,2024-01-24_20-29-57-266110
1706146207.381854,1321992.000,22322,1,TL,1,100,2024-01-24_20-30-02-395408
1706146207.384854,1321995.000,22324,1,TL,1,100,2024-01-24_20-30-02-395512
1706146212.514796,1327125.000,23157,1,TL,1,100,2024-01-24_20-30-07-504957
1706146212.517796,1327128.000,23159,1,TL,1,100,2024-01-24_20-30-07-523084
1706146212.597795,1327208.000,23162,1,TL,1,100,2024-01-24_20-30-12-592984
1706146217.622738,1332233.000,23978,1,TL,1,100,2024-01-24_20-30-12-644916
1706146217.727737,1332338.000,23981,1,TL,1,100,2024-01-24_20-30-17-722712
1706146222.740680,1337351.000,24816,1,TL,1,100,2024-01-24_20-30-17-822249
1706146222.752680,1337363.000,24819,1,TL,1,100,2024-01-24_20-30-22-748180
1706146227.854622,1342465.000,25654,1,TL,1,100,2024-01-24_20-30-22-834733
1706146227.876622,1342487.000,25657,1,TL,1,100,2024-01-24_20-30-27-869969
1706146232.961564,1347572.000,26495,1,TL,1,100,2024-01-24_20-30-27-916947
1706146233.061563,1347672.000,26498,1,TL,1,100,2024-01-24_20-30-33-038051
1706146238.079506,1352690.000,27333,1,TL,1,100,2024-01-24_20-30-33-123572
1706146243.213448,1357824.000,28176,1,TL,1,100,2024-01-24_20-30-38-243498
1706146243.215448,1357826.000,28178,1,TL,1,100,2024-01-24_20-30-38-243578
1706146243.227448,1357838.000,28181,1,TL,1,100,2024-01-24_20-30-43-223303
1706146248.321390,1362932.000,29020,1,TL,1,100,2024-01-24_20-30-43-319579
1706146253.429332,1368040.000,29840,1,TL,1,100,2024-01-24_20-30-48-483610
1706146253.431332,1368042.000,29842,1,TL,1,100,2024-01-24_20-30-48-486137
1706146253.497331,1368108.000,29845,1,TL,1,100,2024-01-24_20-30-53-491685
1706146258.540274,1373151.000,30679,1,TL,1,100,2024-01-24_20-30-53-598687
1706146263.677215,1378288.000,31514,1,TL,1,100,2024-01-24_20-30-58-689642
1706146263.679215,1378290.000,31516,1,TL,1,100,2024-01-24_20-30-58-690842
1706146263.745215,1378356.000,31519,1,TL,1,100,2024-01-24_20-31-03-741135
1706146268.784158,1383395.000,32354,1,TL,1,100,2024-01-24_20-31-03-815772
1706146268.823157,1383434.000,32357,1,TL,1,100,2024-01-24_20-31-08-812889
1706146273.892099,1388503.000,33190,1,TL,1,100,2024-01-24_20-31-09-017925
1706146273.903099,1388514.000,33193,1,TL,1,100,2024-01-24_20-31-13-898013
1706146279.005041,1393616.000,34023,1,TL,1,100,2024-01-24_20-31-14-051489
1706146284.121983,1398733.000,34855,1,TL,1,100,2024-01-24_20-31-19-055399
1706146284.123983,1398735.000,34857,1,TL,1,100,2024-01-24_20-31-19-163828
1706146284.203982,1398815.000,34860,1,TL,1,100,2024-01-24_20-31-24-199547
1706146289.225925,1403837.000,35662,1,TL,1,100,2024-01-24_20-31-24-283880
1706146289.242925,1403854.000,35665,1,TL,1,100,2024-01-24_20-31-29-237817
1706146294.334867,1408946.000,36483,1,TL,1,100,2024-01-24_20-31-29-443386
1706146294.373867,1408985.000,36486,1,TL,1,100,2024-01-24_20-31-34-359248
1706146299.442810,1414054.000,37306,1,TL,1,100,2024-01-24_20-31-34-478483
1706146304.586751,1419198.000,38098,1,TL,1,100,2024-01-24_20-31-39-593025
1706146304.591751,1419203.000,38100,1,TL,1,100,2024-01-24_20-31-39-596403
1706146304.631751,1419243.000,38103,1,TL,1,100,2024-01-24_20-31-44-621831
1706146309.711693,1424323.000,38936,1,TL,1,100,2024-01-24_20-31-44-724694
1706146309.766692,1424378.000,38939,1,TL,1,100,2024-01-24_20-31-49-762574
1706146314.843635,1429455.000,39775,1,TL,1,100,2024-01-24_20-31-49-861863
1706146314.866634,1429478.000,39778,1,TL,1,100,2024-01-24_20-31-54-862575
1706146319.978576,1434590.000,40610,1,TL,1,100,2024-01-24_20-31-55-000466
1706146325.086519,1439698.000,41430,1,TL,1,100,2024-01-24_20-32-00-052327
1706146325.088518,1439700.000,41432,1,TL,1,100,2024-01-24_20-32-00-201055
1706146325.179518,1439791.000,41435,1,TL,1,100,2024-01-24_20-32-05-171100
1706146330.210460,1444822.000,42267,1,TL,1,100,2024-01-24_20-32-05-296236
1706146330.322459,1444934.000,42270,1,TL,1,100,2024-01-24_20-32-10-315530
1706146335.339402,1449951.000,43102,1,TL,1,100,2024-01-24_20-32-10-381415
1706146335.371402,1449983.000,43105,1,TL,1,100,2024-01-24_20-32-15-367268
1706146340.458344,1455070.000,43939,1,TL,1,100,2024-01-24_20-32-15-483609
1706146340.469344,1455081.000,43942,1,TL,1,100,2024-01-24_20-32-20-464844
1706146345.574286,1460186.000,44776,1,TL,1,100,2024-01-24_20-32-20-593289
1706146350.708228,1465320.000,45616,1,TL,1,100,2024-01-24_20-32-25-664404
1706146350.711228,1465323.000,45618,1,TL,1,100,2024-01-24_20-32-25-729596
1706146350.727227,1465339.000,45621,1,TL,1,100,2024-01-24_20-32-30-724019
1706146355.831170,1470443.000,46457,1,TL,1,100,2024-01-24_20-32-30-851322
1706146355.862169,1470474.000,46460,1,TL,1,100,2024-01-24_20-32-35-858246
1706146360.938112,1475550.000,47278,1,TL,1,100,2024-01-24_20-32-35-968941
1706146360.954111,1475566.000,47281,1,TL,1,100,2024-01-24_20-32-40-945497
1706146366.061054,1480673.000,48123,1,TL,1,100,2024-01-24_20-32-41-286028
1706146366.158052,1480770.000,48126,1,TL,1,100,2024-01-24_20-32-46-144211
1706146371.201995,1485814.000,48978,1,TL,1,100,2024-01-24_20-32-46-247760
1706146371.229995,1485842.000,48981,1,TL,1,100,2024-01-24_20-32-51-225512
1706146376.334937,1490947.000,49834,1,TL,1,100,2024-01-24_20-32-51-363667
1706146376.425936,1491038.000,49837,1,TL,1,100,2024-01-24_20-32-56-421853
