RD,TS_received,TS_sent,AK,RoundTrip,
1301496,1301550,2024-01-24_20-29-46-931591,1301551,54,
1306607,1311729,2024-01-24_20-29-52-121566,1311730,5122,
1311737,1316859,2024-01-24_20-29-57-244939,1316860,5122,
1316863,1321992,2024-01-24_20-30-02-395408,1321994,5129,
1321996,1327125,2024-01-24_20-30-07-504957,1327126,5129,
1327129,1327208,2024-01-24_20-30-12-592984,1327209,79,
1332234,1332338,2024-01-24_20-30-17-722712,1332339,104,
1337354,1337363,2024-01-24_20-30-22-748180,1337365,9,
1342467,1342487,2024-01-24_20-30-27-869969,1342491,20,
1347574,1347672,2024-01-24_20-30-33-038051,1347674,98,
1352692,1357824,2024-01-24_20-30-38-243498,1357825,5132,
1357828,1357838,2024-01-24_20-30-43-223303,1357840,10,
1362934,1368040,2024-01-24_20-30-48-483610,1368041,5106,
1368043,1368108,2024-01-24_20-30-53-491685,1368109,65,
1373155,1378288,2024-01-24_20-30-58-689642,1378289,5133,
1378292,1378356,2024-01-24_20-31-03-741135,1378367,64,
1383399,1383434,2024-01-24_20-31-08-812889,1383435,35,
1388505,1388514,2024-01-24_20-31-13-898013,1388516,9,
1393621,1398733,2024-01-24_20-31-19-055399,1398734,5112,
1398740,1398815,2024-01-24_20-31-24-199547,1398818,75,
1403839,1403854,2024-01-24_20-31-29-237817,1403855,15,
1408951,1408985,2024-01-24_20-31-34-359248,1408986,34,
1414060,1419198,2024-01-24_20-31-39-593025,1419199,5138,
1419205,1419243,2024-01-24_20-31-44-621831,1419244,38,
1424325,1424378,2024-01-24_20-31-49-762574,1424379,53,
1429457,1429478,2024-01-24_20-31-54-862575,1429482,21,
1434595,1439698,2024-01-24_20-32-00-052327,1439699,5103,
1439702,1439791,2024-01-24_20-32-05-171100,1439793,89,
1444824,1444934,2024-01-24_20-32-10-315530,1449950,110,
1449953,1449983,2024-01-24_20-32-15-367268,1449987,30,
1455072,1455081,2024-01-24_20-32-20-464844,1455083,9,
1460188,1465320,2024-01-24_20-32-25-664404,1465321,5132,
1465325,1465339,2024-01-24_20-32-30-724019,1465340,14,
1470445,1470474,2024-01-24_20-32-35-858246,1470479,29,
1475552,1475566,2024-01-24_20-32-40-945497,1475567,14,
1480678,1480770,2024-01-24_20-32-46-144211,1480771,92,
1485816,1485842,2024-01-24_20-32-51-225512,1485843,26,
1490949,1491038,2024-01-24_20-32-56-421853,1491040,89,
